	IDH2_2	Group_control_3	Group_control_4	Group_control_6	Group_control_7	IDH2_14	IDH2_18	IDH2_19	Group_control_20	Group_control_26	IDH2_30	IDH2_32	Group_control_34	IDH2_35	IDH2_39	Group_control_41	IDH2_44	IDH2_52	IDH2_54	IDH2_59	Group_control_60	Group_control_63	Group_control_65	IDH2_66	Group_control_69	Group_control_75	Group_control_77	IDH2_84	Group_control_91	IDH2_95	Group_control_106	Group_control_107	IDH2_113	IDH2_117	Group_control_119	Group_control_121	Group_control_123	IDH2_129	IDH2_142	IDH2_143	IDH2_149	IDH2_156	Group_control_161	Group_control_162	IDH2_163	Group_control_165	Group_control_170	IDH2_175
ABR	19.5760380972238	20.8163326989367	23.4764871533641	19.9221888921089	20.3747766485583	19.8767716674792	23.2988241633276	20.1569582412327	21.593823462331	20.9391675080012	22.3453967734269	22.5045634426138	20.3828214663874	21.1079062461664	20.8216464241018	21.9551659114118	21.9171973539635	23.2873176883912	22.4957263252316	22.5080797379523	22.9849920218303	21.646341955086	21.3297076643663	22.8126875846242	22.4887586092309	21.5737813633608	22.6258267411105	23.5275239858155	20.6748558164896	20.3834640000538	22.4471731059958	21.6813476727832	20.0505959119436	20.6561121642177	21.9769663435437	20.1181409618394	19.7656931273903	20.7738257391208	22.0603498376738	22.7829173469628	21.1150560250683	20.7655543169186	22.2835059787221	18.2702093327502	22.4223009304436	18.3426644446558	22.0822536226458	20.6795570684573
ACAA1	23.789125998181	23.3555481056533	23.5047206953143	23.2260615243976	23.2223825472154	25.2597554040437	24.7706183631913	24.7022699562049	23.6362756856183	23.372186132758	21.5866834514234	23.244565009937	23.6543055950077	24.2055456223599	22.2211904563178	21.7555690525049	21.0918459480214	24.0321234302006	21.1706686379769	23.7543951298755	24.4699291735164	23.3911084836361	22.2454294876697	23.976956909572	23.7401955685492	22.5668460678063	21.2926178268747	21.8459763539571	24.6489468569735	24.5073644935838	22.3158590033741	22.9005548248879	24.2882384824971	23.0483313732181	21.5704581618724	23.3466327782407	20.4607980250409	23.4606144215699	22.0948735300023	22.6175267874753	24.3961917835125	22.9259180058977	25.2623538452487	23.3865937094726	22.9855867822083	24.4692797773371	23.9175925458631	24.0808981777082
ACAA2	27.1302201625245	27.7606298626525	28.5136280347271	28.2955476285773	28.2126069858488	27.850157630811	28.2946174048187	29.1630397417823	27.5673167060822	28.7811383800589	27.8550635615323	27.8443528896545	27.5759113899041	27.2880222736737	28.073627159188	28.8596302650485	28.6974600915301	28.6725520292199	29.008672098672	28.5855480133004	28.404100842219	29.044539832566	28.068305369152	28.9089974572063	28.2786833359794	28.542791893127	26.6528791165455	28.7737258055536	27.6769184896425	28.2261850735328	27.6846321937861	28.5101282445747	28.8331462428592	29.4973946102479	27.924779615567	29.1774579093983	27.0066083915127	29.0758287788666	27.1461816766668	26.831639001912	28.4795958272446	27.9565811865271	29.4756148696112	29.6873190423982	28.3066067667669	30.4005453372414	28.8979922312679	28.8109325657172
ACAD8	24.2055887756344	22.2812019626041	21.5624203617656	23.3992137832051	23.6588122240348	23.5453576061041	22.6104855054187	23.2363330982073	21.8625109867462	22.0639502696799	24.3914701612669	23.4845140491376	22.6431927756007	23.807130959868	24.5308586550786	23.5017494221951	24.8919191126732	22.3944625814859	22.2359402292188	23.2111627391792	22.7378727882764	24.432878572662	21.5836796993644	23.052535635172	23.2045373268176	23.3979682539121	21.8336140402576	24.2319486934303	23.6337367836504	23.6253728803363	21.4652604342165	22.2153468152177	23.239052940961	25.2184332537232	23.3002927967495	23.5038576837968	23.1089224803942	23.8404760258359	21.9438377861717	21.8553077165225	22.7497160680979	23.4619657752904	23.3828395998794	21.6556626263645	22.2277679311302	23.9159196674538	21.0514191620299	23.565755059458
ACAD9	23.8939666468024	24.0720914516116	23.7585917416595	24.0328165912627	23.8515851353984	22.9236426051834	24.0598746512974	24.4114082090113	24.8891553399775	24.2837529943437	23.1054229479177	24.0498485278604	25.9791076647474	24.3157963773847	24.4672358037754	23.9017366222816	23.0443605624596	23.827318442196	23.0944447672005	24.8788316447444	24.8183255989407	24.5535888667332	24.8630986507099	23.6344466799146	25.072942820372	23.6025568376605	23.3730994914398	23.9065776808586	25.0946674898562	23.9314406332609	25.1906164227006	24.530540535985	24.0547959979308	23.9454712843949	25.418255678477	25.5524846418591	25.3369052859398	25.1778399017896	25.0565677524928	24.5544747224224	24.4871248519397	24.6626631500207	24.2178137817443	25.6942709890769	24.4827579878412	26.1500483538736	24.7714948866645	24.1660171851207
ACADM	26.7643094193038	27.4762890970437	26.7105621995745	26.500748436009	27.1382608427996	27.2871170372033	27.7490189942554	28.5723571111911	27.2938827149825	27.2721659289915	26.7176716451963	27.5074691706565	28.3775593163245	26.3957730986855	27.5031855400205	27.0823165363757	25.7671733400797	26.9590775561065	26.0685605939931	26.5311358481241	27.4850608203215	28.0260259875992	28.0207397136539	27.1913680223751	28.0005750129472	27.0957976210162	27.5728136093683	27.8739890433032	27.7694673765155	27.3698734320132	26.2164158776239	25.9057751567619	27.3727926146697	26.8736372741351	26.9005382712879	28.4976600061314	28.0118350151529	28.4620774545716	27.0674682352359	27.1040919603839	27.8169371410635	26.3368530371707	27.5982935207041	29.1150452005287	27.2085282902951	27.860348897897	27.5652449794451	26.9717127928399
ACADS	24.9995759913876	24.3893545180535	24.5490443545626	24.9893955381241	23.7482304626691	24.044645505855	22.9661098329978	24.336070673976	22.6047775852836	24.484100054672	22.6049664651837	23.6467162525848	25.6977821317741	24.8153872430941	25.073845787618	25.7484295554706	24.5097491963417	24.6442733630002	23.2095141236618	24.4586755679863	25.1353434072257	25.5574593570349	24.7512465041897	24.6825069193188	23.5311057762732	25.1260139469384	23.4764830180699	26.0643156648634	26.161627034296	26.3678351644134	24.1439700244365	24.6156883972982	25.2601965584944	25.3751964968662	24.9531307972944	25.5994010845888	24.724712072289	25.925473325879	23.2140009271207	24.1996727310166	25.277938138603	24.4929012245593	25.9125187923757	25.5943066496937	23.4193763271028	24.982821504092	23.6807453010004	25.8524844070687
ACADSB	22.9313716616205	21.988594554411	22.8460438474461	23.2198435087713	23.8520035169602	22.3848825691139	23.1142890406475	23.1429330212602	23.410840158529	25.0531422596498	24.4400889841449	23.7381975451275	23.150718464035	23.4177908491833	24.666818235732	22.2394056883678	23.3201750003767	22.4182237688093	22.3133263912121	22.8138445249183	22.718771505935	23.2248811610249	23.1605886599072	22.2844159415019	23.6177251865282	22.6626410185214	22.4411329219759	22.3360310054462	22.9957193287676	24.0335690152054	22.3865799142785	22.0546450146131	22.2891680990893	23.3295126366873	23.8066499022007	23.2828945113343	22.4307836764243	22.7336548174163	22.2549261178385	22.2506927194285	22.0981661337317	22.8142389827825	22.5035458263584	23.6987784893705	21.4478181381248	23.9910263712825	22.3924474833873	22.4806464114038
ACADVL	27.1157643582148	26.7230580161955	28.2316244350845	27.2003545421873	27.7024700193904	26.9008065861044	27.6709403386424	28.0453261858039	27.8370429709268	27.5935262493495	27.4766013714559	27.9712234915502	29.8826364907815	27.4517970147154	27.4955681102046	27.3306620607144	27.014267787325	28.1340228243569	28.3517409118032	27.9758650890207	28.9572734017471	28.6290725146908	29.6221744898919	28.6632343569908	28.7046534737522	28.0778257083989	29.0015577892119	27.7989400472762	28.7600217915899	28.75709684858	28.0671916377787	26.8258394921385	28.1020605308887	28.2191379501194	27.5040031799414	28.6729474535994	28.5522108696682	30.0379765285859	27.7140408717111	27.7263696123705	28.3404478905509	27.5845245624323	29.0827545830268	29.6570080195891	28.0712599247467	29.8625499295435	28.8064099500723	28.8156646054513
ACAP1	22.9102073253706	23.4827072465573	23.0064282551417	24.5816466387177	24.198336888476	22.6137084295493	23.1205359101746	21.2903971731559	24.0227159792709	23.6220753407904	24.801253260681	23.3980966161884	23.6601773638242	24.3787267350683	23.2802728858344	23.9061079882555	24.2903729884242	22.8153688596652	23.0073492675821	23.7927852449136	22.8368849489326	22.7780063721096	20.0885138398384	23.7497468675824	22.7917967025696	24.0947466778102	21.5960165939737	23.9227647192174	22.6325641330751	24.3001790587617	23.1145782588614	22.7308794611289	23.885726566089	23.6117614944868	23.9168862302751	24.0785119724837	23.0364703354407	22.302130303736	22.5036323159374	22.7626186277375	23.1853089817935	22.9581622400616	23.1731438756862	19.856708941884	22.2061707863681	19.4938285359236	22.0250074834233	23.2812411704443
