	IDH2_2	Group_control_3	Group_control_4	Group_control_6	Group_control_7	IDH2_14	IDH2_18	IDH2_19	Group_control_20	Group_control_26	IDH2_30	IDH2_32	Group_control_34	IDH2_35	IDH2_39	Group_control_41	IDH2_44	IDH2_52	IDH2_54	IDH2_59	Group_control_60	Group_control_63	Group_control_65	IDH2_66	Group_control_69	Group_control_75	Group_control_77	IDH2_84	Group_control_91	IDH2_95	Group_control_106	Group_control_107	IDH2_113	IDH2_117	Group_control_119	Group_control_121	Group_control_123	IDH2_129	IDH2_142	IDH2_143	IDH2_149	IDH2_156	Group_control_161	Group_control_162	IDH2_163	Group_control_165	Group_control_170	IDH2_175
A0A096LPI6	28.3169522492589	28.1320372739789	27.040549836277	28.1074490491462	29.4588790969207	29.2988110022189	27.3473005601198	29.2745744953934	28.7479029119424	28.4198009801179	28.8496286688204	28.6565469168237	28.5819603497176	29.15543230765	28.7181223148043	28.2152216711346	30.1742315892849	27.5166791894101	29.4963463033436	28.4555034823146	28.6545094204661	29.2766838915954	28.1597000999923	28.3446440111113	29.1951986415553	28.7993607791987	28.4844381787556	29.3420322360606	29.6355645580046	29.3695930281894	27.4921622483811	27.9795194354861	28.6826875770448	30.4074899228919	29.3710958210086	29.5946131804713	28.1121600282963	29.7009629670342	28.5996680764616	28.4545843612096	28.6655447910648	29.7971570927429	29.3706010975849	29.4321062896649	27.6818621062604	28.6242703489981	27.9527672943783	28.14876439585
A0A0A6YYC8	19.7867514753024	24.1627936888323	22.1501310405725	22.0468747327269	19.7875853399661	20.2923255470568	22.6647308389561	21.1263627470069	21.8617319314241	21.7548817110703	21.3024148205667	22.9783733479425	21.3092625138445	22.1597607735281	22.5857594931504	21.6548833656013	21.5921293073504	22.9981727482963	22.0338330809407	22.1572307309586	21.3586707561369	21.6013154428599	21.5955386526005	21.7436938401767	21.5442550198617	21.0109716009597	21.9726898421993	18.0796478263149	21.6352290513086	21.766359331498	22.2886497749029	22.0946798019978	22.134828583615	18.7161201427347	20.4557454115791	17.8711001548076	20.0694669951998	22.9786532892601	23.0551602031188	23.5229044873356	22.0604685123132	22.1400964440759	19.9514615798774	21.3867731246436	19.1338939889942	18.6833368889035	21.6396059302003	20.1384598664215
A1BG	26.7862528108757	25.7362834621283	25.497226816286	25.3909119949539	25.0355905285055	24.6800661096641	26.0484566417579	26.4645940834027	25.7910849986901	26.2567105975114	27.5948446570072	27.0131152879455	27.0908917441077	28.1169371363669	27.2021816466894	26.482227534118	25.7216995923909	23.1844968128271	28.8550250768173	24.9855189430181	28.9352434484727	28.1638033640041	26.9479084003977	30.5187565838302	28.4566686231738	26.0364843602931	31.8071668352286	33.1598505497155	29.7345190108592	31.0858663296821	22.2200063448575	20.4014896211598	23.1420461264116	27.2383217265711	27.0334970462563	27.7185469762497	28.7562945101524	23.5792039539309	24.9499237350703	21.4275630638493	26.1332976013956	23.709604379059	28.3568481462531	27.9067592498834	25.5634808429711	27.1395063207168	23.7163221607087	26.6815723931667
A2M	29.2306831534059	27.1359284829971	27.4697083300902	27.0921235602198	28.1674506310689	26.9117854953656	28.383328722883	28.3951797332195	27.0802051524764	28.6379364703003	29.363271384228	28.5033759843325	31.5704598460679	28.7483037671111	29.6956636206098	28.9885639208527	28.8277643076232	26.9484160397544	31.6549931852242	28.5637777451334	31.8152089968969	29.9350866274059	28.9395344773945	32.427716234984	29.9130548400008	28.7174301278266	33.9341754148625	38.4277649298191	34.4857321620684	33.8290499612796	23.1632403625906	23.492896554776	25.0842887521588	30.8647953969528	29.5878318970014	31.9595798801494	30.2020624914785	27.1387798552667	27.3097832943036	26.3620850469539	28.8640452017407	26.0963990547057	31.1744748419605	33.4550614111838	28.0863793687752	29.3581116084967	26.0201330176034	31.5635225689813
AAAS	22.0246666823226	22.3880623842828	21.3114924133038	22.2453895703533	22.5216799928061	22.8680122844068	22.3056296163284	24.3664971123884	23.1460911915755	22.4988506897559	21.8907891390924	22.7068437142968	23.0241652550483	23.123553195594	23.0471189402763	22.5042700709245	22.165788136459	22.599743658854	23.4744939218219	23.1025133756498	22.3428484591306	23.2030676120067	22.5613941285748	23.0657218678457	23.909827651457	23.2472210490896	23.3854633879402	23.8359433316567	23.5459920712635	23.165903363714	22.4082924746439	23.5563751365751	23.6716306220211	23.525993274306	24.517263771541	21.8237960278306	23.4119028659313	23.8412695081084	22.8981372748685	21.707878710294	24.4039967636837	23.6448417986735	24.7972001101653	18.4655520473991	23.061472541359	25.3378687536547	24.4706352628375	23.6485224739538
AAK1	20.4121808620716	20.6436853833935	23.1795805139492	21.8764203136459	21.1644502061393	21.3970981285181	21.0912410656602	20.5178772596116	21.648299627075	21.9461109387401	21.5541795321522	22.3973423471749	22.1033218643497	19.4725825634179	20.9913217878607	21.3128203714065	21.7764624527248	23.0634979797477	21.2063609132884	20.341642302851	21.4940388318236	21.148597739029	22.5261635156763	20.9204920498455	21.0983035557725	21.2803227650936	21.9970713883903	21.4543567851079	21.7432147751191	20.9658511341599	22.6278273790159	22.3070156581158	20.7005877356657	20.2491567470838	21.1716106908682	22.0694292854923	18.6476083927087	21.503526463852	21.4451846722388	23.0162444159258	20.9715655763015	20.9137768054195	21.7596489824249	23.3731045108403	23.5128196849011	19.1821313965629	21.2806634040271	22.5803510656796
AAMDC	22.5304034289062	21.7187528739632	21.6446106982451	22.3057375039137	22.9742967079842	24.221909445529	22.082199435346	22.3112049032374	21.3870419821204	23.0701146450967	22.1768467117999	21.3234578665388	21.310690781935	21.7522715592291	22.0925309125713	22.8713926779795	23.2485163376958	22.2141112744244	21.270488707856	21.8229871438854	21.3211895389746	23.0146227857658	22.410704631554	22.7447366481983	22.2959856978673	22.9204361953778	23.455881332886	22.8556464783231	24.1128125258784	22.9199959939945	23.2573473601078	22.4459471905534	21.8334063087221	22.1173169824812	21.4527631004367	23.3451323753982	22.2278397650225	20.910448959493	21.6147879012457	22.9513808468874	22.27981586633	23.7376070898027	22.4846032404716	20.09249146443	24.7260252256359	18.1287134020061	21.761571368957	21.3718487107782
AARS	27.6148935615111	25.3668092621566	24.0899643656013	24.5783717209748	24.0686963121017	24.2665897109453	25.0220656818679	22.8847483167427	24.6350534624258	24.598101816803	25.0368453608582	24.4574098769115	23.379140369859	24.937569086107	24.5529174622538	25.1010634367229	26.3034086598277	25.192180085629	26.5793756271207	24.4311922274573	23.794416074521	24.3144621637058	25.059665850031	24.6799533490964	24.1707101957009	24.3317093382762	25.3023578618189	25.0660861121715	24.4561883725604	24.1983103619245	25.1311485331151	25.3511166213418	25.179809590816	25.0024329522014	24.041361958403	24.8919034365368	24.4422756641342	23.1106021776998	25.7029095577615	24.5080055151554	24.5475304933017	24.7088870991308	23.8208273873429	21.1420776187585	24.8421621764274	20.5966101982281	22.8948948852777	24.6408658308789
AARS2	21.7129291378873	22.2835679824712	22.4256569394815	22.4369938987337	23.3453867264016	22.5888796478956	22.1395898440725	24.6178867232633	24.2892394611247	21.6280111091745	23.4179828285263	22.2002269237382	22.7591998838386	23.6607118401682	24.0163214687455	22.428672850782	22.2674981368417	21.8271516105571	23.9483615349523	22.6774232818519	23.4628703271743	22.369723675538	22.2599574267315	22.883668180636	23.5536839536631	22.1115603668026	23.1946236879314	22.1214589720148	23.171266461343	23.1405984926968	21.868248439988	21.2750558953681	23.1753291010049	24.1960097051956	23.8283624625661	23.5254836824597	24.1985467639264	23.7650519290982	22.8146917937034	22.5097286140201	22.8343157052957	24.2016355227542	22.54770672156	23.440766908258	22.2653789908461	23.1206484531142	22.9112983278926	21.8954893028193
ABCB10	25.5585481849801	22.5789742190436	22.7517204456728	22.0501352235194	22.5087534452397	19.6828590270334	24.5164154969867	23.3289108389811	23.1629851505043	23.4521979997257	22.8305318348267	22.0955882524226	25.7770870781717	25.4512550823659	23.0316388224876	21.553115657417	22.5271399633505	21.2908008752058	22.2061918574756	22.492931440023	22.5845864401819	22.0165663564789	24.2833949293799	21.0174555835436	21.6757566728388	20.8276194882131	24.3977303633799	22.4352018625569	22.8715321396479	22.1121156249974	22.5341099091598	20.8707838910104	22.9869275556152	25.0880569028781	25.0273718840985	22.5294037453788	22.4843942241438	22.9706463317832	21.2934420078381	21.2543675241906	24.8585466902166	23.9033438961	22.8324370148299	25.194521426913	22.7534571501293	24.8598750327074	23.0125899467135	22.3717229358167
ABCB7	22.898824461498	22.0987587477333	21.3141902530303	22.0008527609226	22.782245144141	22.5631419683661	22.1050228708928	23.591308213018	22.8746914004835	21.894981826491	22.2658609958227	22.0541973316995	23.5878839153252	22.5269555153352	22.8857390730025	20.2321985049298	23.4711386094554	22.4938354159023	22.4339501235808	23.015230325676	22.6195285140723	22.7580538996941	21.6883472245809	22.5136169026479	23.8528411973418	21.5162322581798	21.7855290145448	22.1154862145455	23.2763235142206	23.3193628352133	22.3075490799386	21.9883387505339	23.4663062638018	23.9171944615935	23.2741511626086	23.3969684082174	23.3041768272281	22.1769909358893	21.9935242033799	22.8528159216939	23.0478057174464	23.5053043343187	23.4504875703467	23.1546083468977	24.3264564071113	24.7224727570131	22.2009297167093	23.7081634869442
ABCC1	22.4871658585308	20.5541228752551	20.120504376199	22.0565696434017	22.4132470335329	22.6790913688024	20.3027072371615	23.0733951202893	20.777964989758	20.5403777447987	21.6084825734913	21.2881983997395	21.1538698309904	22.976773402134	22.701333792876	22.3234138205987	20.8340796250657	21.0766327963858	21.6215541191058	21.8743615142915	21.2265487442923	22.9611565075504	17.6915914450065	21.4980173016637	21.6955793027006	22.4932541937706	19.2471180769092	22.6971375741807	23.1651205804688	22.2005672579543	19.80105399675	19.5171031341451	21.8548159031289	22.4757834192909	21.89497798437	21.6061510539621	22.646351169434	21.5358284058175	22.4614334859914	21.9038688315988	20.9104962952206	22.5419158668643	21.8744153729276	18.8740531236255	21.610727262142	21.9251303535808	21.4823233168426	21.6191987755386
ABCD1	21.335880788951	21.6402991176396	22.2712020084039	21.588934472848	21.6932123655756	19.5335400903015	22.3475687611671	20.2429428656696	21.9458410523079	21.4061534657866	21.035472957151	22.9024443079405	22.1746631341217	22.5731650374949	21.3834318730239	20.3519277663731	19.7002367385305	23.4224837867721	15.3635325594254	22.3850322779149	23.6610821988421	21.4115433371814	23.3934684934075	20.4118410592792	22.3312595916171	22.7030509066167	23.1062297627761	21.4893565667998	22.3313871163391	21.7253002306343	22.1668430326007	22.9929017344552	18.8671964507539	21.4297862337952	20.8029011192682	21.6033810794836	22.70936808882	21.8137347515439	21.6811374461762	22.0853887216434	21.325934759195	20.963015987165	23.1518352699323	19.1426114346912	22.2659849227633	23.7007561290556	24.6004201087158	19.4693234795069
ABCD3	22.2942342507127	20.8290572691973	21.8759757019524	20.8474613565831	21.5110288358121	19.0751237410593	22.0205819301496	22.6545374690681	22.9814796874101	20.7842076336593	21.5371413037193	21.9962731258078	20.8298982326084	23.5187362211943	22.1395339170035	20.4674010774458	21.0281653889165	21.9073221739793	22.5843078007422	22.2656204093805	22.0806819163002	21.6679679537489	22.596437191118	23.0099039967137	22.9364990151708	21.0496935358571	22.4770560284941	22.7390190112177	21.8491230180707	21.7865714890208	22.2259502484259	21.6622752443426	22.3448272737668	22.5749109955504	22.1994876266504	21.6647244726222	23.6911509180458	23.1035041180986	21.9739612586254	22.9526648454738	20.1425641519059	22.7564157655437	22.7060425022976	19.3427050170792	21.5810221712501	23.6402062181895	23.0221117339833	22.6737655695772
ABCE1	25.810255188764	25.8226720411767	24.7962790037197	25.0742692873796	24.7053720605965	25.1582906618179	24.7011381700221	24.2169329174994	25.4541435718905	25.5148623805359	24.9199870625462	24.7262705247316	24.2349037872631	25.6117404787144	25.768575584558	25.2972122544822	25.3662916690679	25.2569138121137	26.6228007478514	25.492712811593	24.1564459680817	24.9582936796033	25.1556627780517	24.9961921020593	25.755813664076	24.7707214392187	25.0250574480096	24.8439687836762	25.3866833930825	24.9101072411983	24.5760860430835	24.6293218654346	26.025228884777	24.9860872173881	24.7983584733078	24.9870924553347	26.0074122331434	24.1979037222161	24.7940549628527	24.010073748743	25.4239965845426	25.9029192227721	23.5407425721047	24.4987384625931	23.5331761119281	21.0980765674906	24.2109357285271	25.1110834255558
ABCF1	25.5206341593055	25.4284411943034	25.4213987649369	25.5065295755307	25.2597564839589	24.6383289421312	25.2719693168506	23.6920948885745	25.4311037320875	25.1831867906355	25.0053946089668	25.2198164982197	24.1977688169106	25.5327673521762	25.3908924498037	25.4044333499211	25.1949716329623	25.1664712600003	24.9163666265376	24.3347624909243	24.4636967309398	23.4422231689348	24.1952462623815	24.7337514471712	24.1172871983368	24.4461006280683	26.7412730417007	24.9763649075786	24.6575453194172	24.54921707672	25.307099620302	24.858392984027	24.318650493959	24.2486103663865	25.1497557044171	24.2830572753809	24.3527708637974	24.0688257969078	25.3565761862457	25.5156270125635	25.0383497731626	24.7925634115023	23.8863113152488	18.6026509196148	23.2175000100312	23.27292491468	24.4179624668946	24.2892233416126
ABCF2	20.7784667060028	22.0095136325039	22.2020103542429	21.709038835002	21.1887163367271	21.0047716390988	22.2445891891484	21.0316353906222	22.1547288672783	21.4217345722282	21.0799368183112	22.0877255644497	22.4397727748354	21.7891612714246	21.5102014862669	20.5832639161796	20.2086280439892	21.5321493285961	22.3927756071138	21.7289234272194	21.1829216462558	20.7889482922859	23.8931747747202	20.8725945744879	21.582053629933	20.5522811396594	23.2046936993168	21.6774551462309	23.1087689121717	21.4589931530366	22.0652051669701	20.4393892198839	21.7295755466293	20.1174098359498	22.7142123633388	20.0694211503086	21.166997247556	24.1324630751614	22.5611958480688	23.8319441920444	20.9087217803204	21.441384808823	19.5127091640424	17.9336945151734	23.0395147228367	20.8406132104936	21.525171359557	21.2089972945627
ABCF3	20.1581944001232	22.2621295341636	21.976343995947	22.1116084592116	21.0279424013704	21.120721039535	21.9639417228443	20.0699781572176	21.6035039460554	21.734020340779	21.9052882242533	22.8773558411795	21.4183302589357	21.939446813834	20.6553902475897	21.2363142533882	20.8921336735111	21.6555141815426	21.6071704495482	21.9695938139405	21.5620186221502	21.3434769851523	22.4558609863338	21.3025898314249	21.8042719470811	21.9488243661903	23.2646953860674	20.5683833335478	22.4278168528721	21.0347831032136	21.2003960516597	21.6919659082841	21.6793264783551	20.5291261467187	21.3266426999622	19.9739291655522	21.5544907085884	20.4230921477303	21.7339545116231	21.471940363307	21.8357110518931	21.2682181230651	20.6616570676557	18.7971508382213	23.3568354970802	23.6333966975965	21.5330196205794	21.7116611007092
ABHD10	24.3587597081256	24.8475111821886	23.4112196297143	24.9312693549267	25.1806679418173	25.1980513371448	24.4528936343363	25.6608109683219	24.7286555166786	25.8696066641401	25.7912161707886	24.6616377868997	27.6048085715731	24.1938309386279	25.2418187712287	25.5743828257378	25.8725477858663	24.3135499518268	25.7797763276584	25.3384021500195	23.6497426158207	26.4649433916549	23.7550367245551	25.4602061080604	25.4654424331963	26.0955627222175	23.0892780960457	24.4322813268082	24.2137578978894	25.1474161484742	22.6240619449592	24.3401336444885	26.3473105526554	26.7753897418506	24.4495148124209	24.9332655033591	25.5784845705367	25.584247094808	23.5594254007607	23.867319074447	25.7722487404628	25.9716347875697	26.1880879721359	27.5977772529762	25.3667405202451	29.7484471787596	24.5807850292093	27.8071053562667
ABHD11	22.0957194130864	20.8630615913111	21.9384876780741	20.5375848887505	21.2493672362461	22.2164479230901	21.4962055636377	22.7826632156494	22.6425906223053	26.516943928987	21.2368731848591	21.8643386643185	22.4311021776397	20.6751698686517	22.56880782642	19.6900914163656	21.9514613611846	21.6116129714483	20.8462642310826	20.621121186172	21.706461249644	21.2947283197206	21.7501089992813	19.6960334877918	22.3306825136007	22.5015785441565	22.0811949362246	22.4651233577049	21.2403778455677	21.6426770856426	21.9867081297953	22.0396265592375	18.8821571983279	21.3443065526225	20.9886481057827	21.6751695847182	22.0659982353356	24.0115363768341	21.8434839191274	22.4481255357741	20.3850234804777	21.3224490296521	23.0027760183076	20.0027585532352	22.7117055556459	21.9211340883176	22.6622603099344	20.5708788510271
ABHD12	22.5785461624207	23.5331727190876	23.4598673064931	23.0147211278577	22.7056957452715	24.0813476676952	23.2947413363619	24.3605099279687	23.4981232085028	22.7730781631281	23.3494836679848	23.3142327534615	22.0243920186627	23.534778990049	23.582777182008	22.2645951437817	23.1483933018581	22.7927329744737	22.7143667586784	22.6596925597994	22.5749636642592	22.5746729330467	21.7699172021927	22.8073496129729	21.9826179080358	21.1848884881388	21.9728918195051	21.7267808896789	22.3161811106081	22.2087184849354	22.4823892919439	21.8842338763834	22.5566149057693	22.6907594073338	22.6497671758623	23.5314852938298	21.8380812727759	24.1504246284205	23.3588042283747	22.3928270348569	23.400515801043	23.9748871431777	24.9861931605218	20.51184963943	21.9383633059279	25.2230735092512	22.7249021286098	21.6385741699378
ABHD14B	27.1518894420386	26.4399146874707	27.5684608056391	26.6387566436204	26.3014255843319	27.0880684024118	27.8905906586178	25.030728336164	25.380984506367	26.3427817836508	27.0933205799429	25.3622537796066	23.4370645757507	26.5454815630786	25.4661578500869	26.9779664040682	28.0706379501647	26.5193296806932	27.4188077366619	26.1455323175953	24.8424618869748	26.3600883160831	26.2867212631583	26.6664434317477	24.7725448589581	26.9949388107076	25.0404942849472	26.6441925095983	25.2931101927305	26.0084165488767	26.9176810830992	26.7802214749456	26.0169766691431	26.9080311239099	24.5634732937007	25.8548735224294	24.0379170980738	24.8639671686938	26.9169230077191	25.2124446497207	26.5615471973331	26.6294171645126	24.9177084269308	25.8531261400292	24.5694928136994	22.167214581442	25.3582533867444	26.2174718254632
ABHD16A	26.0843239656816	22.255334440521	22.899740956868	23.1209179098176	24.3265491967598	23.340711314554	23.2408855304855	23.8113480606543	23.9460078839468	23.1187190410242	23.9084270076765	23.0479833836654	24.727843828834	22.3546544466018	24.3965726006726	23.3991449508871	23.3509044047477	23.5081221643993	22.8293639803876	23.0307681512664	24.0196207704038	24.4575486578612	23.013275069282	21.9181012436698	24.7899293342009	22.6777316086491	22.0395731842949	25.5338511252789	23.3388354903423	23.2867867811901	22.8486751358752	23.3349935825507	23.2475648417022	23.6134783015855	24.2473066754899	24.908739687664	24.4816323848496	24.1079372594663	22.3824892133539	21.9985673340827	22.4902906458453	21.8582082600366	24.6459046812273	19.3079857477941	24.0861034132992	25.0405581596283	24.4589350060559	22.9643964855643
ABI1	25.8067494398146	24.45238586439	24.888943306196	24.9076668640577	24.0165717402744	24.2695183818783	24.8546986301743	22.7456580878506	22.6135058902809	24.1494236590865	25.1009443015249	24.0008546042718	24.1713530707119	24.0051552811805	24.4987586904188	25.2922349565911	24.7336698936381	25.2370911822519	25.1807693466813	24.9732848890714	23.7723428403954	24.0368299300372	23.4429673602604	24.724994288273	22.9817707855539	24.8906382510174	24.2504744805564	25.395438963056	23.550349010287	24.2745279409347	23.5835984166544	25.2209711017032	23.6449119098639	24.1130258864437	23.3325514578638	25.4664423096205	24.3380553743804	22.0721791411687	24.753630647807	24.1941616359604	24.3325977861101	23.5135565499526	24.5770737008265	19.1574598235876	24.4267814202547	24.3099918178726	24.2286953044804	23.4619098704148
