	Group_control_4	Group_control_7	IDH1_13	IDH1_24	IDH1_31	Group_control_41	IDH1_46	Group_control_56	IDH1_58	IDH1_64	IDH1_68	Group_control_72	Group_control_75	IDH1_81	IDH1_82	Group_control_107	Group_control_110	IDH1_112	IDH1_115	Group_control_123	Group_control_126	IDH1_133	Group_control_141	Group_control_148	Group_control_151	IDH1_158	IDH1_160	Group_control_176
A0A096LPI6	27.1164951571995	29.5450240117565	29.4730578372729	29.4285029047819	28.2421262676834	28.2802331815492	30.8851229659352	30.0606773933374	28.7946749965898	29.6888389687248	29.418232493988	29.8090207092674	28.8973029286014	28.1556832696561	29.2425066536147	28.0598025617924	29.3368001467807	30.1633272753308	30.3017339502603	28.1490255779207	29.4849222507298	29.3590591336264	28.6677537722176	29.5584610148995	26.4587557152127	28.7794297032889	27.5372058153801	27.4630505120415
A0A0A6YYC8	22.2260763614951	19.8737302548019	20.487866560914	21.9888563987778	21.8343962435752	21.7198948760158	20.4930154857016	20.7366836135762	21.4283318256125	21.3670421530185	20.4303866587541	19.7274677635361	21.1089137503625	21.9070103738057	20.1750096251731	22.1749629283055	20.8394561984984	20.6226551273788	20.5791379576518	20.1063325448244	20.5964925307635	20.7254814926339	22.3897653131365	22.6351694909791	24.3766726591522	22.9146291039183	23.9554268373652	23.2282789046194
A1BG	25.5731721372086	25.1217354433413	25.3426219352078	26.2843221865693	27.1648225998004	26.5472390445326	30.1993667321495	27.9878997202906	26.4846316971184	27.3776126593199	27.8522303079542	30.7812528973225	26.1344265096957	29.2084034140423	31.8108356462565	20.4817727474709	23.3282205596351	28.1060008661719	25.2881378519646	28.7931600597768	36.2434435740303	26.9578519345212	24.7797339178731	25.4343873979647	21.3230643356068	22.6192805751475	25.1229855070062	26.6789601842688
A2M	27.5456536510128	28.2535955459047	26.8404856344604	27.980657442597	29.52914008671	29.0535754312673	32.4672112016749	31.3615699386574	29.0695228288295	29.5936210960262	29.8124489139109	31.4130956174302	28.8153722772293	30.8891575636284	34.4197187964976	23.5731796810828	23.402028837927	29.644000341462	26.7321168914399	30.2389280411029	38.0776139142644	30.7400789615174	27.3325683657757	29.0615824158669	22.2736560980484	25.3349231584144	27.7507535353325	30.4874586879595
AAAS	21.3874377342265	22.6078249076419	23.7038934921629	23.1989024373725	22.6207083217109	22.5692815813391	23.4095244995113	23.2059138838592	23.7811077521949	23.0969344956968	23.3279098058257	24.5263475588956	23.3451631984923	22.3308164690173	23.390156512447	23.6366582628819	24.7354108755678	24.8941144696904	25.1153318399669	23.4487684155557	25.009004167223	21.7685355802457	23.2837168682729	24.32844623352	22.8897734422105	22.5118719293533	21.9781411490753	22.797634434914
AAMDC	21.7205560191677	23.06044162282	23.6111570549345	23.498160669704	22.827965891285	22.9364041883941	22.365056570759	22.9275314487693	22.2142399491367	23.4843413950267	22.9130339929173	21.5843316967629	23.0183783447805	22.4054903643337	23.4783917411478	22.5262303168608	22.0223218625232	19.806969778211	21.8851232164661	22.264705314647	18.4917667746934	24.4158088455245	22.1928951478568	21.5679502614319	23.802148213019	22.9154802939924	21.3675926077713	23.1188072049167
AARS	24.1659096865239	24.1548412269376	24.9706662997658	24.3285759352396	24.711317705463	25.1660749471376	25.1309915031513	23.2817852160596	24.3724973033561	25.0954566549889	24.9734189155628	25.0184508373428	24.4296514876789	24.7314465901061	25.2977600302624	25.4313997476481	23.6406217437892	24.3936579869564	23.2276663676166	24.4791412137586	23.4036741143746	25.594606109534	25.3590048306909	24.044379579969	25.3450528514481	23.2331184611449	24.5929826298348	25.1664098495
AARS2	22.5016022604041	23.4315316412375	24.7565270748467	24.2319875022521	22.288167114786	22.4936843611966	23.5491052447173	23.1735253801913	23.0396202089797	23.1602543810414	23.1039891085293	24.1919452753679	22.2095025162054	22.1920003521829	22.8415428692482	21.355339021677	23.7031192929605	23.7896448541875	25.7594951757238	24.2354123135509	22.5313629848516	22.7043252915677	23.2630863291882	22.8930656564884	23.752187683753	23.8701981642511	21.9335185914606	21.0540076354462
AASDHPPT	23.8909897195321	23.4135123801768	24.7667413557362	24.193914780123	23.7307178861708	23.3905213064147	23.0389249974078	22.4605599179344	23.3812648216126	23.4002467010933	23.27513602123	24.2002551988034	23.3288318906294	23.0443157284393	22.8552340451862	22.8258203690516	23.1957523009807	22.412520302907	23.1168673884763	22.9680912818324	18.1114312882935	24.5439490190563	24.1809577681026	23.2394855897066	23.3269966013022	22.8991057052783	21.7469059879217	23.3586264015637
AATF	20.9063710728422	21.1102497473975	23.6433724351976	23.2163879012681	23.1535533081128	21.6407341991223	23.5274503921536	23.6235308173454	23.3643997165846	22.9426959688754	23.4375546289332	24.1253793261813	22.0648002036042	21.0054413888534	22.244050718064	21.5685982026208	22.5838331993876	23.7195298752003	24.175459301679	21.6423555279083	22.873945349261	23.7301536003917	22.9155988016397	20.924421711493	24.0407843997325	22.9082379648872	20.7718316906367	21.3416810265994
