""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"CD109"	-1.02792956805714	6.33603844253828	-6.13389373177223	1.99632191758418e-09	2.26378538999413e-05	10.8895554515914	"CD109"
"ADGRG1"	-1.39879129142857	7.27992508369378	-6.13001512313435	2.04146937505107e-09	2.26378538999413e-05	10.8691872439042	"ADGRG1"
"KIAA0125"	-1.33318583809524	8.24977444258373	-6.00449476653544	4.1844131260287e-09	3.09339714363548e-05	10.2157732940997	"KIAA0125"
"C10orf128"	-0.876929814152381	6.11879118740431	-5.38850741676414	1.19168795751876e-07	0.000340712250550792	7.17444024156294	"C10orf128"
"SPNS3"	-0.919000790476192	7.02013855263158	-5.26788539560467	2.21855865231834e-07	0.000546702153234623	6.61185256577654	"SPNS3"
"DDIT4"	-1.03779290476191	8.68958098803828	-5.21435330703097	2.91247841456436e-07	0.000602277032896308	6.36571116880024	"DDIT4"
"MSLN"	1.00163617142857	5.7559125215311	4.94954120955633	1.08239772305176e-06	0.00171467262156014	5.18044137195031	"MSLN"
"TRH"	1.32731693333333	6.29868518660287	4.91576667293586	1.27452569613002e-06	0.00177345517745018	5.03317439141798	"TRH"
"TSPAN2"	-0.852746647619048	7.21562207655502	-4.89628148449363	1.39992985038905e-06	0.00177345517745018	4.9486182125323	"TSPAN2"
"CLIC2"	-0.802555952380954	5.8181713492823	-4.89050174120247	1.4393630261567e-06	0.00177345517745018	4.92359402923958	"CLIC2"
"SH3BP5"	-0.819023619047619	7.73938765789474	-4.83141906856065	1.90906852455424e-06	0.00195593001451012	4.66928853143106	"SH3BP5"
"WBP5"	-0.879582304761906	6.90034761004785	-4.63883921769975	4.69959363092024e-06	0.00376084183931598	3.85948245387411	"WBP5"
"NGFRAP1"	-1.2463014	7.85347323444976	-4.49643158695585	8.97226016508828e-06	0.00537802124165751	3.27963355724986	"NGFRAP1"
"TCF4"	-0.754770838095238	8.53320653110048	-4.40212202690508	1.3642576981158e-05	0.00702265247804505	2.9046002394874	"TCF4"
"POU4F1"	1.20509994285714	6.02700319856459	4.39734418319933	1.39325777362243e-05	0.00702265247804505	2.88579188222556	"POU4F1"
"IQCJ-SCHIP1; SCHIP1"	-1.01474071428571	7.32949223684211	-4.37182751298597	1.55840134950296e-05	0.00735366492112269	2.78565675920058	"IQCJ-SCHIP1; SCHIP1"
"SPINK2"	-1.24142557142857	7.92643524401914	-4.29930726336788	2.13628238451776e-05	0.00911124436996826	2.50395308004572	"SPINK2"
"HOPX"	-0.864305180952382	6.90835738277512	-4.22563560390112	2.92999266896855e-05	0.0103134375873752	2.2221677872869	"HOPX"
"SDPR"	-0.759381847619046	6.35515097368421	-4.11121403380826	4.74311426779635e-05	0.0131450173515418	1.79334305369648	"SDPR"
"TRGC2; TARP; TRGV9"	-0.754367161904762	9.52827045215311	-4.04445581025589	6.25050928270325e-05	0.0145371526839066	1.54813515040012	"TRGC2; TARP; TRGV9"
"CLU"	-0.908222523809522	7.49240158133971	-4.02323968169224	6.81811262286384e-05	0.0152739496717045	1.47097940237473	"CLU"
"CPNE8"	-0.77018460952381	7.12465931578947	-3.96959252474267	8.47971205089412e-05	0.0174132457282157	1.27755060962066	"CPNE8"
"FHL1"	-0.757677076190475	8.48764440191388	-3.8748540307627	0.000123899563681122	0.0230911304480666	0.941820502262217	"FHL1"
"SOCS2"	-0.911665961904761	7.91784355980861	-3.72554062776417	0.000221780799729716	0.0308369985922342	0.427961284347346	"SOCS2"
"SLC40A1"	-0.833681876190475	8.82356873444976	-3.68613668587476	0.000257798105939968	0.0330488230840267	0.295486857336948	"SLC40A1"
"PRAME"	0.76924400952381	5.73610186842105	3.56746978446766	0.000402372264006521	0.0437441768192972	-0.0955161415498074	"PRAME"
"HPGDS"	0.773357390476189	6.40231434210526	3.50777414172814	0.000501090648111489	0.0498349255328099	-0.28768011550661	"HPGDS"
"STAB1"	-0.789958552380954	8.43588335645933	-3.49287227691463	0.000529049731809436	0.0510141954437812	-0.335175432358295	"STAB1"
"HOXA9; HOXA10-HOXA9; MIR196B"	-1.15571555238096	8.76868816746411	-3.4371095781868	0.000647142707578132	0.0550029348676165	-0.511216033921127	"HOXA9; HOXA10-HOXA9; MIR196B"
"SEPP1"	-1.09761536190477	7.84512769617225	-3.42359145968349	0.000679263742228278	0.0567939372780266	-0.553490727797901	"SEPP1"
"LAPTM4B"	-0.825547723809522	8.45988848803828	-3.41958894309151	0.000689055997893281	0.0571318699024401	-0.56597754514127	"LAPTM4B"
"PPBP"	-1.0207068952381	7.44654762440191	-3.36170313816811	0.000846224647764736	0.0639153740537429	-0.745026638739629	"PPBP"
"TPSB2"	0.92354078095238	7.72766098086124	3.34727803112038	0.000890281595707292	0.0651639116488328	-0.789196675021952	"TPSB2"
"MEIS1"	-0.777873476190476	7.6459726076555	-3.32718962718122	0.000955197664146615	0.0669817124279698	-0.850409028505866	"MEIS1"
"TPSAB1; TPSB2"	0.883798790476189	7.99670294736842	3.30380569379873	0.00103629547163459	0.0696453362724603	-0.921224759217195	"TPSAB1; TPSB2"
"TPSB2; TPSAB1"	0.830083514285715	7.54884159569378	3.19010739571654	0.0015298390234513	0.0867496174254094	-1.25880553140312	"TPSB2; TPSAB1"
"TPSAB1"	0.887824542857144	7.91109878229665	3.18902903400211	0.0015354192333062	0.0867496174254094	-1.26195362286865	"TPSAB1"
"HLA-DQA2; HLA-DQA1"	0.794581123809524	8.0177436937799	3.08604554467421	0.00216385219221293	0.103426538618315	-1.55793321656047	"HLA-DQA2; HLA-DQA1"
"HOXA9; MIR196B; HOXA10-HOXA9"	-0.917027076190478	8.02352974162679	-3.05063060263898	0.00242967618945282	0.111563889295413	-1.65758008556573	"HOXA9; MIR196B; HOXA10-HOXA9"
"CLEC11A"	0.76658179047619	9.72551009090909	3.04642730428578	0.00246314279112722	0.112171623863695	-1.66933410481822	"CLEC11A"
"HOXA10"	-0.770265333333337	8.03560500956938	-2.97485392415436	0.0031019709793866	0.125539256169409	-1.8671059270801	"HOXA10"
"HOXB3"	-0.809746057142857	8.06225663157895	-2.87007580489648	0.00431297763143287	0.145267799566898	-2.14851705964676	"HOXB3"
