""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"PLSCR4"	-0.852022657657659	5.14505457894737	-5.71869894218519	2.05494792821499e-08	0.00045574635151952	8.65283177371607	"PLSCR4"
"HDGFRP3"	-1.48026043513514	6.07995067942584	-5.50869066094351	6.35159512638109e-08	0.000704328383564399	7.6436575089267	"HDGFRP3"
"PAWR"	-1.38040918198198	5.92515904784689	-5.18534172126476	3.37562571161952e-07	0.00124774378387163	6.15316193977429	"PAWR"
"ATP8A1"	-0.967342789765768	7.81380622751914	-4.9470194554893	1.09667040848061e-06	0.00304024453991038	5.10481175189862	"ATP8A1"
"DMXL2"	1.63504012252252	8.85204509569378	4.89639825514481	1.40031419009906e-06	0.00310561681080169	4.88771145110112	"DMXL2"
"ABCB1"	-1.1505164645973	5.76922431939952	-4.76004224018191	2.67721874510098e-06	0.00499508839266511	4.3127440536417	"ABCB1"
"APP"	-1.44124664473153	7.87705983858852	-4.75802331072757	2.70272615709177e-06	0.00499508839266511	4.30433908477212	"APP"
"PRICKLE1"	0.963538309909912	7.25520286602871	4.67336505493576	4.01042106962678e-06	0.00684177834478329	3.95475686674725	"PRICKLE1"
"ABCB4; ABCB1"	-0.941666416071171	5.61554447189713	-4.6194035259818	5.14171373397794e-06	0.00814520908515448	3.73485406664288	"ABCB4; ABCB1"
"TMEM65"	1.0694624027027	6.98915775837321	4.58274401752322	6.07901054880489e-06	0.00898801973009298	3.58676345768126	"TMEM65"
"PCDHGA4; PCDHGA8; PCDHGA6; PCDHGA5; PCDHGB1; PCDHGA10; PCDHGA9; PCDHGB4; PCDHGA12; PCDHGB5; PCDHGA11; PCDHGA7; PCDHGA1; PCDHGC3; PCDHGB7; PCDHGB2; PCDHGC5; PCDHGC4; PCDHGA3; PCDHGB3; PCDHGB6; PCDHGA2"	-1.09454760630631	6.71409378229665	-4.46183092321952	1.04785381553365e-05	0.0118978571065087	3.10583267012565	"PCDHGA4; PCDHGA8; PCDHGA6; PCDHGA5; PCDHGB1; PCDHGA10; PCDHGA9; PCDHGB4; PCDHGA12; PCDHGB5; PCDHGA11; PCDHGA7; PCDHGA1; PCDHGC3; PCDHGB7; PCDHGB2; PCDHGC5; PCDHGC4; PCDHGA3; PCDHGB3; PCDHGB6; PCDHGA2"
"MLLT3"	-1.16047985315315	6.10289684210526	-4.45913481774724	1.06050765987407e-05	0.0118978571065087	3.09524083597951	"MLLT3"
"MPP7"	0.953254846846845	6.57817030143541	4.4409468558047	1.14977644558427e-05	0.0118978571065087	3.02393901817407	"MPP7"
"ZNF91"	-0.839503975675678	8.56290416746412	-4.43437895917143	1.18374766141774e-05	0.0118978571065087	2.99825566066035	"ZNF91"
"ZBED3"	-0.965446050450453	7.04969180861244	-4.41084708157216	1.31352963728528e-05	0.0118978571065087	2.90651744516734	"ZBED3"
"HOXB-AS3"	1.08400067747748	6.32425207416268	4.39721628853625	1.39482498317804e-05	0.0118978571065087	2.85357996774233	"HOXB-AS3"
"CD200"	-1.61785520140541	6.73331890206938	-4.38102707223383	1.49764122341894e-05	0.0123017359455501	2.79089888291502	"CD200"
"HOXB6"	1.53277856666667	6.46685747368421	4.33324426194128	1.84511823823701e-05	0.0136403440958734	2.60711511240505	"HOXB6"
"BAALC"	-1.7593314851027	6.73633122832297	-4.29630380545022	2.16528235300303e-05	0.0154908490402907	2.46628628487469	"BAALC"
"CBX2"	-0.875832526938741	6.43553177202632	-4.28187813759278	2.3041856637657e-05	0.0159694467659362	2.41158828279121	"CBX2"
"ITM2C"	-1.26529639279279	8.70510626794258	-4.2249578938666	2.93988218708679e-05	0.0181113075403363	2.19739604133503	"ITM2C"
"ACSL1"	1.25819280894234	9.15481455596651	4.20824749407179	3.15624717840773e-05	0.0184208552428228	2.13501013352959	"ACSL1"
