""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"ROGDI"	-1.3472236792278	7.62777151196172	-10.3331612316766	1.9915587839634e-22	4.41687907107402e-18	39.3777504990333	"ROGDI"
"TRIM73; TRIM74"	0.959568596602313	5.26022420813397	8.72951884994943	6.29638929059779e-17	5.97125283325271e-13	27.3937337850233	"TRIM73; TRIM74"
"HDGFRP3"	1.64422242942085	6.07995067942584	8.69613225245372	8.07726508240514e-17	5.97125283325271e-13	27.1581721699144	"HDGFRP3"
"PLSCR4"	0.891274372895754	5.14505457894737	8.50183795143129	3.39823016652111e-16	1.56038117819984e-12	25.7995539838569	"PLSCR4"
"PAWR"	1.59164798864865	5.92515904784689	8.49712253810713	3.51785818874525e-16	1.56038117819984e-12	25.7668433263958	"PAWR"
"LINC00173"	1.17965608664093	6.60964175119617	8.46456676463142	4.46541728237605e-16	1.65056707480893e-12	25.5413474960609	"LINC00173"
"ZNF185"	-1.39956572779923	8.56719251435407	-7.94959068388365	1.78539242168389e-14	5.42300558525638e-11	22.0558223340606	"ZNF185"
"GTSF1"	-1.98885229312741	7.59068133014354	-7.93654214850429	1.95617479854139e-14	5.42300558525638e-11	21.9695413641204	"GTSF1"
"CIDEB"	-1.1734751376834	7.77799717464115	-7.79323858763518	5.29752817731652e-14	1.30542866573918e-10	21.0287727470341	"CIDEB"
"C1orf21"	1.31166172817213	6.45367134899761	7.56138862017459	2.58276011553011e-13	5.20731398565698e-10	19.5335031739084	"C1orf21"
"MANEAL"	1.00778304463321	6.44042663875598	7.53587077552542	3.06823941858148e-13	5.67061781877501e-10	19.3709852651067	"MANEAL"
"BZRAP1"	1.31777309165992	6.82570602004785	7.31932191108771	1.30090935558421e-12	2.21935136062666e-09	18.0085196756416	"BZRAP1"
"KYNU"	-1.51347112972973	7.73482361722488	-7.21113616350006	2.64615729284035e-12	4.19189117432952e-09	17.3391749624002	"KYNU"
"CPED1"	0.871056642471044	5.72490521052632	7.19584880033863	2.9235842332167e-12	4.32261674161867e-09	17.2452083936296	"CPED1"
"CD93"	-1.81830729069274	8.5620707957799	-7.03919163719062	8.04780804251747e-12	1.00778368177451e-08	16.2911690862429	"CD93"
"LOC100288152"	1.00120856177606	5.50797489473684	7.03666265371656	8.1793246784837e-12	1.00778368177451e-08	16.2759011951841	"LOC100288152"
"FGFRL1"	0.859674985328188	6.1833224354067	7.00401243486932	1.00793860740094e-11	1.17652960183885e-08	16.0791700910117	"FGFRL1"
"NECAB1"	1.03990689212355	5.43223643062201	6.93258535761668	1.58774976703281e-11	1.60059610605699e-08	15.6512846312405	"NECAB1"
"NEGR1"	1.83466258486487	6.44766712679426	6.85894791068353	2.52718158129186e-11	2.43686230912569e-08	15.2137611667257	"NEGR1"
"ZNF667"	0.966732201467183	6.08870981339713	6.59406099563455	1.30357332046358e-10	1.20461037921839e-07	13.6705825400582	"ZNF667"
"PTH2R"	-0.92738800216216	6.11564642822966	-6.55893276193036	1.61438431099938e-10	1.43215260997377e-07	13.4695822499348	"PTH2R"
"C8orf88"	0.803960956335139	5.50657471306699	6.14879332017571	1.83534802135287e-09	1.19718671816365e-06	11.1875199695099	"C8orf88"
"LGALS3BP"	-1.76092488254826	8.21284733492823	-6.05562372470243	3.13388024577845e-09	1.87846475921282e-06	10.6860139809566	"LGALS3BP"
"NPDC1"	1.39164399691119	6.27203559808612	6.02410388522965	3.75023424191794e-09	2.18875513203305e-06	10.5177912197259	"NPDC1"
"GAS6-AS1"	1.00068208223938	6.23874943301435	5.95953583799966	5.40487077826127e-09	3.07356984923791e-06	10.1754744244651	"GAS6-AS1"
"NRXN2"	1.05342373158301	6.32303735885167	5.91764646962854	6.83967956060763e-09	3.7922603323789e-06	9.95504153746413	"NRXN2"
"PFKFB4"	-0.948784346023166	6.27340729186603	-5.8713318293105	8.85973402634882e-09	4.67836145800867e-06	9.7128396702721	"PFKFB4"
"DST"	0.886500301776063	6.27820357416268	5.80252609653123	1.29742455456409e-08	6.53960949343689e-06	9.35597766917757	"DST"
"CACNA2D4"	-1.28953226251575	7.34456576153589	-5.78332401210562	1.44223564348751e-08	7.10797824472579e-06	9.25701903973262	"CACNA2D4"
