""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"LOC286052"	0.783041854285712	7.60730343779904	4.91886809504201	1.25666144797069e-06	0.000306266347176857	5.09773370135048	"LOC286052"
"HOXB2"	1.70192411809524	7.40875565550239	4.88950484019965	1.44747534218034e-06	0.000348935958031257	4.96735144061589	"HOXB2"
"HOXA10"	1.69293637619048	8.03560500956938	4.81530704762891	2.06251592835938e-06	0.00046675998223627	4.64097690708908	"HOXA10"
"IRX3"	1.60786991619047	6.3526213708134	4.77647021378084	2.47811135288747e-06	0.000533587898877071	4.47191490179045	"IRX3"
"CA2"	1.72254251908286	8.19485478499521	4.76875994295467	2.56971570933067e-06	0.000547991875014765	4.43849616537589	"CA2"
"HOXB5"	0.784566368571432	7.05003159090909	4.76189367315133	2.6540314344114e-06	0.000560581991927392	4.40877611622585	"HOXB5"
"EREG"	1.89549561333334	7.39915352392345	4.72878387851434	3.09943765274433e-06	0.000624902984205125	4.2659997484841	"EREG"
"CD74"	-0.807171817550476	12.0886831218373	-4.65511370983646	4.36321516991895e-06	0.000815536645733647	3.95151557951829	"CD74"
"ZNF185"	-0.896436380952379	8.56719251435407	-4.62694558424467	4.96691443121628e-06	0.000892012627153681	3.83244062808882	"ZNF185"
"GTSF1"	-1.27572812285714	7.59068133014354	-4.62605056573364	4.98735529655769e-06	0.000892012627153681	3.82866775184882	"GTSF1"
"F3"	0.828802678095236	5.40188735406699	4.59407262880949	5.7731164581144e-06	0.000998837551037328	3.69429761102303	"F3"
"SESTD1"	0.821007656190476	7.04886207655502	4.56644452276779	6.5465735276584e-06	0.00104248524687036	3.57888017736507	"SESTD1"
"HOTAIRM1"	0.76122106857143	6.4126416291866	4.55988998932566	6.74416810552069e-06	0.00104248524687036	3.55159032880741	"HOTAIRM1"
"HLA-DMA"	-0.979337449523811	9.65845580382775	-4.55932997931729	6.76131327876549e-06	0.00104248524687036	3.54926035951694	"HLA-DMA"
"CIDEB"	-0.755457997142855	7.77799717464115	-4.55908670808013	6.7687742604983e-06	0.00104248524687036	3.54824828911589	"CIDEB"
"ELL2"	0.88826775904762	7.24409664114833	4.55133516567547	7.01069093481466e-06	0.00107143904026014	3.51602535987289	"ELL2"
"GIMAP6"	-1.06539792380952	7.35177385885167	-4.54979562776382	7.05971610933836e-06	0.00107143904026014	3.50963142575352	"GIMAP6"
"IRX5"	0.798948236190476	5.33999430382775	4.54848529175633	7.10170163757962e-06	0.00107143904026014	3.50419093698365	"IRX5"
"ARMCX1"	-0.764629764816187	6.8081590848756	-4.53773606569229	7.45529080900494e-06	0.00109890834130801	3.45961367269775	"ARMCX1"
"FOSL2"	0.895335924761905	9.35569598803828	4.53711820617039	7.47612020401e-06	0.00109890834130801	3.45705428530208	"FOSL2"
"CLECL1"	-1.15408020285714	6.21655604784689	-4.5307915916521	7.69264301325704e-06	0.001107058386794	3.43086534350449	"CLECL1"
"C3orf80"	1.32397252358	6.56161894956459	4.52341003344667	7.95287859740637e-06	0.00111632241476758	3.40035112751945	"C3orf80"
"HPGDS"	-1.35948269238095	6.40231434210526	-4.504802724242	8.64689431134416e-06	0.00116641522744529	3.32363060210739	"HPGDS"
"LOC102724587"	0.98249918761905	7.05596424162679	4.48513265796595	9.44357850807731e-06	0.00120367634570195	3.24283865045075	"LOC102724587"
"MEST"	-1.46770494095238	8.82306927272727	-4.44028632381146	1.15315021879093e-05	0.00144489070917204	3.05983411420458	"MEST"
"PBX3"	1.35937167809524	8.32942057416268	4.42031191710318	1.25977066439444e-05	0.00152673190136284	2.97886040465731	"PBX3"
"VMP1"	0.820454851428572	8.11430540909091	4.41793370987953	1.27307685120513e-05	0.00153447273945801	2.96924148960703	"VMP1"
"LIN7A"	0.980512007619047	5.64215066267943	4.39787570745562	1.39078368333935e-05	0.00161491102246597	2.88830145610733	"LIN7A"
"NEGR1"	1.29121195333333	6.44766712679426	4.38654195773801	1.46182808052159e-05	0.00168856370676082	2.84271411464518	"NEGR1"
"HLA-DRB4; HLA-DRB1"	-1.16743709809524	10.7033061555024	-4.37195174693392	1.55840995419655e-05	0.00179079875462026	2.78418562955621	"HLA-DRB4; HLA-DRB1"
"LY86"	-1.16244725619048	8.44982253110048	-4.3514707921816	1.70433928925551e-05	0.00190903215944993	2.70232532678754	"LY86"
"ATP8B4"	1.01459758623428	9.18492143955981	4.34990974400809	1.7159824416884e-05	0.00191241500461132	2.69610030228953	"ATP8B4"
"OAS2"	-0.764924182857142	7.74774883971292	-4.3401417348076	1.79058316275932e-05	0.00196591848434041	2.65719431664695	"OAS2"
"SIDT1"	-0.787848738095239	6.40558493062201	-4.32437987089192	1.9175395151688e-05	0.00207449713987384	2.59458256864572	"SIDT1"
