tf	target	mor	likelihood	state
ADNP	ATF7IP	0.999478650020654	1	activation
ADNP	DYRK1A	0.999981385034473	1	activation
ADNP	TLK1	0.998661687532979	1	activation
ADNP	ZMYM4	0.999967680600733	1	activation
ADNP	ABCC1	0.999962252925816	1	activation
ADNP	ABCC6	-0.0256831582931287	1	inhibition
ADNP	ABHD5	0.99963137972772	1	activation
ADNP	ABT1	0.959787492491951	1	activation
ADNP	ACBD6	0.994546027620165	1	activation
ADNP	ACP7	-0.0427888695554619	1	inhibition
ADNP	ADAMTS10	-0.0459261794690096	1	inhibition
ADNP	ADAMTS14	0.952573603024495	1	activation
ADNP	ADCY7	0.0997384573094936	1	activation
ADNP	ADGRG1	0.519585946000753	1	activation
ADNP	ADGRV1	0.120420012633305	1	activation
ADNP	AHCY	0.760887038890145	1	activation
ADNP	AIF1L	-0.0325326452122891	1	inhibition
ADNP	AKNA	0.57262936262713	1	activation
ADNP	AKT2	0.649148447895627	1	activation
ADNP	ALDH1A1	-0.0178649896940039	1	inhibition
ADNP	ALDH1A2	0.869859058044454	1	activation
ADNP	ALX4	0.0719505565484029	1	activation
ADNP	ANGPT1	0.780185129528506	1	activation
ADNP	ANGPTL2	0.998310446048236	1	activation
ADNP	ANKRD24	-0.0887758332405569	1	inhibition
ADNP	ANO6	0.991626708079172	1	activation
ADNP	ANTXR2	0.99994460668284	1	activation
ADNP	AP1M1	0.770672760912524	1	activation
ADNP	ARHGEF1	0.0499959296249286	1	activation
ADNP	ARHGEF10L	-0.863149843492295	1	inhibition
ADNP	ARHGEF37	0.679989126816051	1	activation
ADNP	ARID3A	0.999818773155911	1	activation
ADNP	ARID5B	0.780185129528506	1	activation
ADNP	ARL5A	0.996249198217917	1	activation
ADNP	ASAP1	0.293476525804713	1	activation
ADNP	ASCC2	0.996005923129445	1	activation
ADNP	ATG14	0.999935537422578	1	activation
ADNP	ATP2B1	0.999478650020654	1	activation
ADNP	ATP8B3	0.492884000267045	1	activation
ADNP	AXL	0.999981385034473	1	activation
ADNP	BBC3	0.598678075294334	1	activation
ADNP	BHLHE40	0.999314676503954	1	activation
ADNP	CACNA1A	0.222920362438351	1	activation
ADNP	CACNA1I	0.986477422507088	1	activation
ADNP	CCDC187	0.921640507921238	1	activation
ADNP	CCDC26	-0.00528350523646042	1	inhibition
ADNP	CCNY	0.934485668155454	1	activation
ADNP	CDCP1	0.998473653343662	1	activation
ADNP	CDH1	0.447052407753504	1	activation
ADNP	CDH23	-0.995840620361295	1	inhibition
ADNP	CDHR3	0.947124512386918	1	activation
ADNP	CDK5RAP2	0.363408787171677	1	activation
ADNP	CEBPB	-0.319095607166024	1	inhibition
ADNP	CERS6	0.99963137972772	1	activation
ADNP	CFAP157	0.872450435840464	1	activation
ADNP	CHST11	0.999985364143604	1	activation
ADNP	CHST3	0.874540039993871	1	activation
ADNP	CIITA	-0.934397476414088	1	inhibition
ADNP	CKM	-0.0379979823090679	1	inhibition
