"name"	"Cluster_NR"	"NR"	"distance"
"112"	"0.0091"	0	0	0.0198
"113"	"0.0092"	0	0	0.0198
"114"	"0.009274"	0	0	0.0198
"115"	"0.0094"	0	0	0.0198
"116"	"0.009442"	0	0	0.0198
"117"	"0.0096"	0	0	0.0198
"118"	"0.0098"	0	0	0.0198
"119"	"0.009898"	0	0	0.0198
"120"	"0.0101"	0	0	0.0198
"121"	"0.0102"	0	0	0.0198
"122"	"0.0105"	0	0.0696900915306984	0.0675
"123"	"0.0109"	0	0.0696900915306984	0.0675
"124"	"0.011"	0	0.0696900915306984	0.0675
"125"	"0.011129"	0	0	0.0198
"126"	"0.0115"	0	0.190954838175743	0.1506
"127"	"0.0116"	0	0.190954838175743	0.1506
"128"	"0.011658"	0	0	0.0198
"129"	"0.0119"	0	0	0.0198
"130"	"0.012056"	0	0	0.0198
"131"	"0.0124"	0	0	0.0198
"132"	"0.013091"	0	0	0.0198
"133"	"0.0131"	0	0	0.0198
"134"	"0.013183"	0	0	0.0198
"135"	"0.0132"	0	0.0696900915306984	0.0675
"136"	"0.0133"	0	0.190954838175743	0.1506
"137"	"0.013306"	0	0	0.0198
"138"	"0.0136"	0	0.0696900915306984	0.0675
"139"	"0.014"	0	0	0.0198
"140"	"0.0141"	0	0	0.0198
"141"	"0.0163"	0	0	0.0198
"142"	"0.016414"	0	0	0.0198
"143"	"0.0166"	0	0	0.0198
"144"	"0.017171"	0	0	0.0198
"145"	"0.0172"	0	0	0.0198
"146"	"0.0174"	0	0	0.0198
"147"	"0.017486"	0	0	0.0198
"148"	"0.0177"	0	0	0.0198
"149"	"0.0178"	0	0.0696900915306984	0.0675
"150"	"0.0179"	0	0	0.0198
"151"	"0.017992"	0	0	0.0198
"152"	"0.0183"	0	0	0.0198
"153"	"0.019"	0	0	0.0198
"154"	"0.0194"	0	0	0.0198
"155"	"0.020051"	0	0	0.0198
"156"	"0.0204"	0	0	0.0198
"157"	"0.020401"	0	0	0.0198
"158"	"0.020403"	0	0	0.0198
"159"	"0.0205"	0	0	0.0198
"160"	"0.0208"	0	0	0.0198
"161"	"0.0215"	0	0.190954838175743	0.1506
"162"	"0.0217"	0	0	0.0198
"163"	"0.0219"	0	0.190954838175743	0.1506
"164"	"0.0221"	0	0	0.0198
"165"	"0.0222"	0	0	0.0198
"166"	"0.0228"	0	0.0696900915306984	0.0675
"167"	"0.0229"	0	0	0.0198
"168"	"0.023315"	0	0	0.0198
"169"	"0.0234"	0	0	0.0198
"170"	"0.0241"	0	0	0.0198
"171"	"0.025"	0	0.190954838175743	0.1506
"172"	"0.0252"	0	0.0696900915306984	0.0675
"173"	"0.0264"	0	0	0.0198
"174"	"0.0266"	0	0	0.0198
"175"	"0.0267"	0	0	0.0198
"176"	"0.0268"	0	0	0.0198
"177"	"0.0269"	0	0	0.0198
"178"	"0.0271"	0	0.0696900915306984	0.0675
"179"	"0.027482"	0	0	0.0198
"180"	"0.0278"	0	0.190954838175743	0.1506
"181"	"0.0281"	0	0	0.0198
"182"	"0.0282"	0	0	0.0198
"183"	"0.0285"	0	0	0.0198
"184"	"0.0286"	0	0	0.0198
"185"	"0.028749"	0	0	0.0198
"186"	"0.0288"	0	0	0.0198
"187"	"0.030815"	0	0	0.0198
"188"	"0.0319"	0	0	0.0198
"189"	"0.0323"	0	0	0.0198
"190"	"0.0327"	0	0	0.0198
"191"	"0.0329"	0	0	0.0198
"192"	"0.0337"	0	0	0.0198
"193"	"0.034"	0	0	0.0198
"194"	"0.0345"	0	0	0.0198
"195"	"0.035"	0	0	0.0198
"196"	"0.0358"	0	0.0696900915306984	0.0675
"197"	"0.036117"	0	0	0.0198
"198"	"0.0368"	0	0	0.0198
"199"	"0.037096"	0	0	0.0198
"200"	"0.0375"	0	0	0.0198
"201"	"0.0384"	0	0	0.0198
"202"	"0.0388"	0	0	0.0198
"203"	"0.039036"	0	0	0.0198
"204"	"0.0395"	0	0	0.0198
"205"	"0.0404"	0	0	0.0198
"206"	"0.0406"	0	0.0696900915306984	0.0675
"207"	"0.0411"	0	0	0.0198
"208"	"0.0428"	0	0	0.0198
"209"	"0.044"	0	0	0.0198
"210"	"0.0442"	0	0	0.0198
"211"	"0.0453"	0	0.0696900915306984	0.0675
"212"	"0.0459"	0	0	0.0198
"213"	"0.046571"	0	0	0.0198
"214"	"0.051"	0	0	0.0198
"215"	"0.0512"	0	0	0.0198
"216"	"0.0518"	0	0.0696900915306984	0.0675
"217"	"0.052"	0	0	0.0198
"218"	"0.0521"	0	0	0.0198
"219"	"0.053446"	0	0	0.0198
"220"	"0.0535"	0	0	0.0198
"221"	"0.0544"	0	0	0.0198
"222"	"0.055374"	0	0	0.0198
"223"	"0.0556"	0	0	0.0198
"224"	"0.0584"	0	0	0.0198
"225"	"0.061"	0	0.0696900915306984	0.0675
"226"	"0.0613"	0	0	0.0198
"227"	"0.0619"	0	0	0.0198
"228"	"0.0661"	0	0	0.0198
"229"	"0.0667"	0	0	0.0198
"230"	"0.0678"	0	0	0.0198
"231"	"0.0692"	0	0	0.0198
"232"	"0.0709"	0	0.0696900915306984	0.0675
"233"	"0.0719"	0	0	0.0198
"234"	"0.0721"	0	0	0.0198
"235"	"0.0741"	0	0	0.0198
"236"	"0.0783"	0	0	0.0198
"237"	"0.0801"	0	0	0.0198
"238"	"0.082"	0	0	0.0198
"239"	"0.0849"	0	0	0.0198
"240"	"0.0865"	0	0	0.0198
"241"	"0.0911"	0	0	0.0198
"242"	"0.0931"	0	0	0.0198
"243"	"0.0998"	0	0	0.0198
"244"	"0.1"	0	0	0.0198
"245"	"0.1083"	0	0.190954838175743	0.1506
"246"	"0.1124"	0	0	0.0198
"247"	"0.1143"	0	0.0696900915306984	0.0675
"248"	"0.1155"	0	0	0.0198
"249"	"0.118"	0	0	0.0198
"250"	"0.11871"	0	0	0.0198
"251"	"0.12"	0	0	0.0198
"252"	"0.122"	0	0	0.0198
"253"	"0.1243"	0	0	0.0198
"254"	"0.12641"	0	0	0.0198
"255"	"0.1271"	0	0.0696900915306984	0.0675
"256"	"0.1312"	0	0	0.0198
"257"	"0.136"	0	0	0.0198
"258"	"0.138"	0	0.0696900915306984	0.0675
"259"	"0.13911"	0	0	0.0198
"260"	"0.143"	0	0	0.0198
"261"	"0.145"	0	0	0.0198
"262"	"0.1498"	0	0.190954838175743	0.1506
"263"	"0.15302"	0	0	0.0198
"264"	"0.15446"	0	0	0.0198
"265"	"0.1545"	0	0.190954838175743	0.1506
"266"	"0.1573"	0	0	0.0198
"267"	"0.15967"	0	0	0.0198
"268"	"0.16"	0	0	0.0198
"269"	"0.16786"	0	0	0.0198
"270"	"0.18"	0	0	0.0198
"271"	"0.182"	0	0	0.0198
"272"	"0.19"	0	0	0.0198
"273"	"0.1905"	0	0	0.0198
"274"	"0.19104"	0	0	0.0198
"275"	"0.1915"	0	0.190954838175743	0.1506
"276"	"0.1958"	0	0.0696900915306984	0.0675
"277"	"0.1983"	0	0	0.0198
"278"	"0.2"	0	0	0.0198
"279"	"0.2005"	0	0	0.0198
"280"	"0.2118"	0	0	0.0198
"281"	"0.2125"	0	0	0.0198
"282"	"0.219"	0	0	0.0198
"283"	"0.2212"	0	0	0.0198
"284"	"0.222"	0	0.190954838175743	0.1506
"285"	"0.2478"	0	0	0.0198
"286"	"0.2479"	0	0.0696900915306984	0.0675
"287"	"0.25947"	0	0	0.0198
"288"	"0.2632"	0	0	0.0198
"289"	"0.26551"	0	0	0.0198
"290"	"0.27"	0	0	0.0198
"291"	"0.27519"	0	0	0.0198
"292"	"0.278"	0	0	0.0198
"293"	"0.2781"	0	0.0696900915306984	0.0675
"294"	"0.27942"	0	0	0.0198
"295"	"0.281"	0	0	0.0198
"296"	"0.28608"	0	0	0.0198
"297"	"0.2881"	0	0	0.0198
"298"	"0.3"	0	0	0.0198
"299"	"0.31269"	0	0	0.0198
"300"	"0.313"	0	0	0.0198
"301"	"0.322"	0	0	0.0198
"302"	"0.324"	0	0	0.0198
"303"	"0.326"	0	0	0.0198
"304"	"0.34"	0	0	0.0198
"305"	"0.35261"	0	0	0.0198
"306"	"0.3553"	0	0	0.0198
"307"	"0.359"	0	0	0.0198
"308"	"0.35926"	0	0	0.0198
"309"	"0.3694"	0	0	0.0198
"310"	"0.377"	0	0	0.0198
"311"	"0.383"	0	0	0.0198
"312"	"0.38587"	0	0	0.0198
"313"	"0.386"	0	0	0.0198
"314"	"0.39253"	0	0	0.0198
"315"	"0.4062"	0	0	0.0198
"316"	"0.41248"	0	0	0.0198
"317"	"0.416"	0	0	0.0198
"318"	"0.4226"	0	0	0.0198
"319"	"0.43"	0	0	0.0198
"320"	"0.44"	0	0	0.0198
"321"	"0.4519"	0	0	0.0198
"322"	"0.4731"	0	0	0.0198
"323"	"0.4835"	0	0	0.0198
"324"	"0.5"	0	0	0.0198
"325"	"0.5029"	0	0	0.0198
"326"	"0.50563"	0	0	0.0198
"327"	"0.5254"	0	0.0696900915306984	0.0675
"328"	"0.538"	0	0	0.0198
"329"	"0.53889"	0	0	0.0198
"330"	"0.54554"	0	0	0.0198
"331"	"0.557"	0	0.0696900915306984	0.0675
"332"	"0.564"	0	0	0.0198
"333"	"0.57"	0	0	0.0198
"334"	"0.59211"	0	0	0.0198
"335"	"0.6"	0	0	0.0198
"336"	"0.64"	0	0	0.0198
"337"	"0.69277"	0	0	0.0198
"338"	"1,1-dichloroethylene"	0	0	0.0198
"339"	"1,2-Diacyl-Sn-Glycerol"	0	0.250753620690846	0.1916
