source	target
SAMD11	LINC02593
SAMD11	237
LINC02593	237
237	SAMD11
237	LINC02593
CPLANE2	HSPB7
CPLANE2	CLCNKA
HSPB7	CLCNKA
FAM131C2P	CLCNKB
FAM131C2P	HSPB7
FAM131C2P	CLCNKA
CLCNKB	HSPB7
CLCNKB	CLCNKA
3464	FAM131C
DDI2	3464
FAM131C	3464
HSPB7	CPLANE2
CLCNKA	CPLANE2
SMPDL3B	RPA2
RPA2	SMPDL3B
NKAIN1	FABP3
TFAP2E	7847
CLIP3	MAP7D1
CLIP3	TRAPPC3
MAP7D1	TRAPPC3
9034	ZFP69
FNBP1L	MTF2
COA6	COA6-AS1
COA6	CCDC18
COA6	TMED5
COA6-AS1	CCDC18
COA6-AS1	TMED5
CCDC18	TMED5
FNBP1L	CCDC18
FNBP1L	TMED5
FNBP1L	BCAR3-AS1
FNBP1L	BCAR3
BCAR3-AS1	BCAR3
FNBP1L	MIR760
BCAR3	MIR760
FNBP1L	DNTTIP2
SORT1	CELSR2
ATXN7L2	CELSR2
PSMA5	CELSR2
GNAI3	CELSR2
SYPL2	CELSR2
CELSR2	ATXN7L2
GSTM4	GPR61
GSTM4	GNAI3
EPS8L3	GSTM4
GPR61	GSTM4
GSTM4	GSTM3
GSTM4	EPS8L3
GSTM4	CSF1
RHOC	PPM1J
RHOC	PPM1J-DT
RHOC	CTTNBP2NL
PPM1J	PPM1J-DT
PPM1J	CTTNBP2NL
PPM1J-DT	CTTNBP2NL
MOV10	CTTNBP2NL
ST7L	CTTNBP2NL
RNU7-70P	CTTNBP2NL
LRIG2	LRIG2-DT
LRIG2	CTTNBP2NL
LRIG2-DT	CTTNBP2NL
WNT2B	CTTNBP2NL
CTTNBP2NL	WNT2B
CTTNBP2NL	ST7L
CTTNBP2NL	RHOC
CTTNBP2NL	PPM1J
CTTNBP2NL	PPM1J-DT
CIART	MRPS21
CIART	CA14
MRPS21	CA14
APH1A	C1orf54
APH1A	CA14
C1orf54	CA14
TARS2	CA14
CIART	APH1A
CIART	C1orf54
MRPS21	APH1A
MRPS21	C1orf54
APH1A	CIART
APH1A	MRPS21
C1orf54	CIART
C1orf54	MRPS21
CA14	CIART
CA14	MRPS21
36314	CIART
36314	MRPS21
TARS2	CIART
TARS2	MRPS21
GABPB2	CDC42SE1
GABPB2	PSMD4
CDC42SE1	PSMD4
SNAPIN	CHTOP
SNAPIN	S100A1
SNAPIN	S100A13
CHTOP	S100A1
CHTOP	S100A13
S100A1	S100A13
SNAPIN	37167
MIR6737	CRTC2
MIR6737	SNAPIN
CRTC2	SNAPIN
SLC20A1	SLC20A1-DT
SLC20A1	SNAPIN
SLC20A1-DT	SNAPIN
37167	SNAPIN
CHTOP	SNAPIN
S100A1	SNAPIN
S100A13	SNAPIN
MIR6737	NPR1
CRTC2	NPR1
MIR6737	37180
CRTC2	37180
SNAPIN	37180
MIR6737	SLC27A3
MIR6737	INTS3
CRTC2	SLC27A3
CRTC2	INTS3
SLC27A3	INTS3
MIR6737	GATAD2B
CRTC2	GATAD2B
MIR6737	DENND4B
CRTC2	DENND4B
RPS27	RAB13
RPS27	MIR6737
RPS27	CRTC2
RAB13	MIR6737
RAB13	CRTC2
SLC27A3	MIR6737
SLC27A3	CRTC2
INTS3	MIR6737
INTS3	CRTC2
CREB3L4	SLC39A1
CREB3L4	MIR6737
CREB3L4	CRTC2
SLC39A1	MIR6737
SLC39A1	CRTC2
NPR1	MIR6737
NPR1	CRTC2
SNAPIN	MIR6737
SNAPIN	CRTC2
DENND4B	MIR6737
DENND4B	CRTC2
GATAD2B	MIR6737
GATAD2B	CRTC2
MIR6737	CREB3L4
MIR6737	SLC39A1
CRTC2	CREB3L4
CRTC2	SLC39A1
SNAPIN	CREB3L4
SNAPIN	SLC39A1
MIR6737	JTB
MIR6737	JTB-DT
CRTC2	JTB
CRTC2	JTB-DT
JTB	CREB3L4
JTB	JTB-DT
CREB3L4	JTB-DT
SNAPIN	RPS27
SNAPIN	RAB13
KRTCAP2	TRIM46
KRTCAP2	EFNA4
TRIM46	EFNA4
KRTCAP2	SLC50A1
TRIM46	SLC50A1
DPM3	HMGN2P18
DPM3	KRTCAP2
DPM3	TRIM46
HMGN2P18	KRTCAP2
HMGN2P18	TRIM46
LRRC71	PEAR1
LRRC71	METTL25B
LRRC71	ISG20L2
PEAR1	METTL25B
PEAR1	ISG20L2
METTL25B	ISG20L2
ARHGEF11	LRRC71
ARHGEF11	PEAR1
METTL25B	LRRC71
METTL25B	PEAR1
ISG20L2	LRRC71
ISG20L2	PEAR1
NTRK1	SH2D2A
NTRK1	LRRC71
NTRK1	PEAR1
SH2D2A	LRRC71
SH2D2A	PEAR1
PEAR1	LRRC71
CFAP126	PPOX
CFAP126	B4GALT3
PPOX	B4GALT3
CFAP126	NDUFS2
CFAP126	ADAMTS4
NDUFS2	ADAMTS4
CFAP126	FCER1G
FCER1G	NDUFS2
CFAP126	APOA2
CFAP126	NR1I3
CFAP126	TOMM40L
CFAP126	MIR5187
NR1I3	TOMM40L
NR1I3	MIR5187
TOMM40L	MIR5187
CFAP126	MPZ
CFAP126	SDHC
NR1I3	CFAP126
TOMM40L	CFAP126
MIR5187	CFAP126
NDUFS2	CFAP126
ADAMTS4	CFAP126
FCER1G	CFAP126
APOA2	CFAP126
PPOX	CFAP126
B4GALT3	CFAP126
DHX9	DHX9-AS1
DHX9	TEDDM1
DHX9-AS1	TEDDM1
ZNF648	TEDDM1
MIXL1	RGS8
RNU6-960P	MIXL1
RGS8	MIXL1
MIXL1	58807
MIXL1	LIN9
COA6	COG2
COA6-AS1	COG2
CCDC18	COA6
CCDC18	COA6-AS1
TMED5	COA6
TMED5	COA6-AS1
COA6	TBCE
COA6	ARID4B
COA6	GGPS1
COA6-AS1	TBCE
COA6-AS1	ARID4B
COA6-AS1	GGPS1
TBCE	ARID4B
TBCE	GGPS1
ARID4B	GGPS1
94136	RNU6-535P
COMMD3	COMMD3-BMI1
COMMD3	MIR1915HG
COMMD3	MIR1915
COMMD3-BMI1	MIR1915HG
COMMD3-BMI1	MIR1915
MIR1915HG	MIR1915
MIR1915HG	COMMD3
MIR1915HG	COMMD3-BMI1
MIR1915	COMMD3
MIR1915	COMMD3-BMI1
DNAJB12	86361
CDC42EP1	PLAU
PRXL2A	TSPAN14
RPS15	DAZAP1
RPS15	MARVELD1
DAZAP1	MARVELD1
RNH1	SCGB1C1
RNH1	ODF3
SCGB1C1	ODF3
RNH1	RIC8A
RNH1	BET1L
RNH1	MIR6743
RIC8A	BET1L
RIC8A	MIR6743
BET1L	MIR6743
SCGB1C1	RNH1
ODF3	RNH1
MIR483	IFITM10
TNNT3	LINC01150
TNNT3	LSP1
TNNT3	MIR7847
TNNT3	PRR33
LINC01150	LSP1
LINC01150	MIR7847
LINC01150	PRR33
LSP1	MIR7847
LSP1	PRR33
MIR7847	PRR33
MRPL23	TNNT3
LINC01150	TNNT3
LSP1	TNNT3
MIR7847	TNNT3
PRR33	TNNT3
TSSC4	IGF2
TSSC4	INS
TSSC4	INS-IGF2
IGF2	INS
IGF2	INS-IGF2
INS	INS-IGF2
TSSC4	TH
TSSC4	MIR4686
TH	MIR4686
TH	TSSC4
MIR4686	TSSC4
CDKN1C	SLC22A18AS
CDKN1C	TSSC4
SLC22A18AS	TSSC4
OR52N4	104804
104804	104857
104804	OR52N4
104804	OR52E4
DKK3	106888
MICAL2	106888
113298	113269
113269	113298
RN7SL605P	TIMM10
RN7SL605P	TNKS1BP1
TIMM10	TNKS1BP1
RN7SL605P	120687
TIMM10	120687
RN7SL605P	120688
TIMM10	120688
RN7SL605P	SSRP1
RN7SL605P	P2RX3
TIMM10	SSRP1
TIMM10	P2RX3
SSRP1	P2RX3
RN7SL605P	SLC43A3
TIMM10	SLC43A3
RN7SL605P	RTN4RL2
RN7SL605P	RN7SKP259
TIMM10	RTN4RL2
TIMM10	RN7SKP259
RTN4RL2	RN7SKP259
RN7SL605P	SLC43A1
TIMM10	SLC43A1
MED19	TMX2
MED19	RN7SL605P
MED19	TIMM10
TMX2	RN7SL605P
TMX2	TIMM10
CLP1	YPEL4
CLP1	MIR130AHG
CLP1	RN7SL605P
CLP1	TIMM10
YPEL4	MIR130AHG
YPEL4	RN7SL605P
YPEL4	TIMM10
MIR130AHG	RN7SL605P
MIR130AHG	TIMM10
SLC43A3	RN7SL605P
SLC43A3	TIMM10
ZDHHC5	RN7SL605P
ZDHHC5	TIMM10
120687	RN7SL605P
120687	TIMM10
RTN4RL2	RN7SL605P
RTN4RL2	TIMM10
RN7SKP259	RN7SL605P
RN7SKP259	TIMM10
SSRP1	RN7SL605P
SSRP1	TIMM10
P2RX3	RN7SL605P
P2RX3	TIMM10
SMTNL1	RN7SL605P
SMTNL1	TIMM10
MIR130A	RN7SL605P
MIR130A	TIMM10
TNKS1BP1	RN7SL605P
TNKS1BP1	TIMM10
120723	RN7SL605P
120723	TIMM10
PRG3	RN7SL605P
PRG3	TIMM10
120788	RN7SL605P
120788	TIMM10
120688	RN7SL605P
120688	TIMM10
RN7SL605P	SERPING1
TIMM10	SERPING1
RN7SL605P	MIR130A
TIMM10	MIR130A
RN7SL605P	CLP1
RN7SL605P	YPEL4
RN7SL605P	MIR130AHG
TIMM10	CLP1
TIMM10	YPEL4
TIMM10	MIR130AHG
RN7SL605P	ZDHHC5
TIMM10	ZDHHC5
RN7SL605P	MED19
RN7SL605P	TMX2
TIMM10	MED19
TIMM10	TMX2
RN7SL605P	120788
TIMM10	120788
NRXN2	MIR1237
NRXN2	SLC22A11
SLC22A11	NRXN2
MIR1237	NRXN2
NAALADL1	NRXN2
POLA2	TM7SF2
POLA2	VPS51
TM7SF2	VPS51
SCYL1	POLA2
TM7SF2	POLA2
VPS51	POLA2
VPS51	TMEM262
VPS51	ZFPL1
TMEM262	ZFPL1
TMEM262	POLA2
ZFPL1	POLA2
CDC42EP2	POLA2
POLA2	DPF2
POLA2	TIGD3
KCTD14	INTS4
KCTD14	125423
125423	KCTD14
125427	125430
125533	KCTD14
KCTD14	125436
KCTD14	125533
NARS2	125533
SIK3	APOA1-AS
SIK3	APOC3
SIK3	APOA4
APOA1-AS	APOC3
APOA1-AS	APOA4
APOC3	APOA4
APOA1-AS	SIK3
APOC3	SIK3
APOA4	SIK3
APOA1-AS	PAFAH1B2
APOC3	PAFAH1B2
APOA4	PAFAH1B2
FXYD6	FXYD6-FXYD2
FXYD6	FXYD2
FXYD6	FXYD6-AS1
