adj.P.Val,AveExpr,B,betweenness,closeness,degree,eigenvalue,EigenVector Dir,id,logFC,name,nes,P.Value,Page_Rank,pval,pval.fdr,selected,shared name,size,t,TF,
"0,1179229","-0,7733898","-2,652583","4475,074",0,2,"-40,46166","4,20E-157",A4GALT,"-3,154313",A4GALT,0,"0,008956897","-7,448812",1,1,FAUX,A4GALT,0,"-2,747919",Gene,"-1,56E+02"
"0,9964008","6,449682","-5,9319",0,0,1,"-40,46166","-1,44E-15",AAK1,"-0,001993043",AAK1,0,"0,9929693","-7,538103",1,1,FAUX,AAK1,0,"-0,008867136",Gene,Err :502
"0,1077282","4,558262","-2,429978",0,0,1,"-40,46166",0,AASDHPPT,"0,4298241",AASDHPPT,0,"0,006901077","-7,529554",1,1,FAUX,AASDHPPT,0,"2,84897",Gene,Err :502
"0,6435942","-4,089429","-5,611039",0,0,1,"-40,46166",0,ABCB1,"-0,5818106",ABCB1,0,"0,4149539","-7,608945",1,1,FAUX,ABCB1,0,"-0,8237845",Gene,Err :502
"0,154217","1,547899","-3,219428",0,0,1,"-40,46166",0,ABCC3,"-1,918772",ABCC3,0,"0,01751578","-7,094736",1,1,FAUX,ABCC3,0,"-2,478528",Gene,Err :502
"0,6978568","5,289299","-5,692751",0,0,1,"-40,46166",0,ABHD12,"0,1093604",ABHD12,0,"0,4815882","-7,622787",1,1,FAUX,ABHD12,0,"0,7103924",Gene,Err :502
"0,08474706","5,050538","-1,813465",0,0,1,"-40,46166",0,ABHD5,"-0,7888037",ABHD5,0,"0,003371373","-7,595318",1,1,FAUX,ABHD5,0,"-3,117915",Gene,Err :502
"0,7045085","2,099638","-5,702588",0,0,1,"-40,46166",0,ABHD8,"0,182388",ABHD8,0,"0,4907471","-7,559381",1,1,FAUX,ABHD8,0,"0,695535",Gene,Err :502
"0,1259305","-0,08991127","-2,787137",0,0,1,"-40,46166",0,ABLIM3,"-2,131801",ABLIM3,0,"0,01049275","-7,094736",1,1,FAUX,ABLIM3,0,"-2,685645",Gene,Err :502
"0,8588694","1,97061","-5,870419",0,0,1,"-40,46166",0,ABO,"0,3953554",ABO,0,"0,7212071","-7,396701",1,1,FAUX,ABO,0,"0,3593756",Gene,Err :502
"0,06279332","5,002374","-1,0336",0,0,1,"-40,46166",0,ACAD10,"0,4795174",ACAD10,0,"0,001374522","-7,318024",1,1,FAUX,ACAD10,0,"3,440224",Gene,Err :502
"0,1420628","5,155726","-3,026217",0,0,1,"-40,46166",0,ACBD6,"0,4174112",ACBD6,0,"0,01391921","-7,48638",1,1,FAUX,ACBD6,0,"2,572523",Gene,Err :502
"0,05587374","-0,1649585","-0,6523517","12592,26",0,5,"-40,46166",0,ACHE,"-3,709534",ACHE,0,"8,89E-04","-6,959821",1,1,FAUX,ACHE,0,"-3,5922",Gene,Err :502
"0,6677194","4,575365","-5,64767",0,0,1,"-40,46166",0,ACO1,"0,1164667",ACO1,0,"0,4429378","-7,552918",1,1,FAUX,ACO1,0,"0,7749416",Gene,Err :502
"0,7273122","6,604202","-5,733211",0,0,1,"-40,46166",0,ACO2,"0,06861734",ACO2,0,"0,5212309","-7,660997",1,1,FAUX,ACO2,0,"0,6471593",Gene,Err :502
"0,3420339","3,794567","-4,832221",0,0,1,"-40,46166",0,ACOT7,"-0,5240163",ACOT7,0,"0,1309807","-7,644828",1,1,FAUX,ACOT7,0,"-1,541914",Gene,Err :502
"0,2391024","3,081721","-4,312506",0,0,1,"-40,46166",0,ACP5,"-0,8273574",ACP5,0,"0,06671047","-7,45514",1,1,FAUX,ACP5,0,"-1,885066",Gene,Err :502
"0,8673613","-2,028869","-5,877176",0,0,1,"-40,46166",0,ACR,"0,2546274",ACR,0,"0,7363606","-7,595318",1,1,FAUX,ACR,0,"0,3390333",Gene,Err :502
"0,2391024","3,798969","-4,235073",0,0,2,"-40,46166",0,ACSL6,"-1,756709",ACSL6,0,"0,06050596","-7,555289",1,1,FAUX,ACSL6,0,"-1,931753",Gene,Err :502
"0,2391024","5,048124","-4,28614",0,0,1,"-40,46166","5,47E-13",ACSS2,"0,4307524",ACSS2,0,"0,06452517","-7,620197",1,1,FAUX,ACSS2,0,"1,901068",Gene,"-1,23E+01"
"0,8794635","-7,509467","-5,884925",0,0,1,"-40,46166","-3,95E-15",ACTB,"0,05371498",ACTB,0,"0,7550815","-7,535991",1,1,FAUX,ACTB,0,"0,3140977",Gene,Err :502
"0,7191628","9,951333","-5,721973",4910,0,2,"-40,46166","-5,71E-159",ACTN4,"0,09720091",ACTN4,0,"0,5096758","-7,417252",1,1,FAUX,ACTN4,0,"0,6653102",Gene,Err :502
"0,1076327","2,118211","-2,423592",0,0,1,"-40,46166","-6,99E-165",ACVR2A,"-1,392004",ACVR2A,0,"0,006849775","-7,552918",1,1,FAUX,ACVR2A,0,"-2,851834",Gene,Err :502
"0,9539347","-7,455198","-5,923486",0,0,1,"-40,46166","2,44E-168",ADAM19,"-0,02977637",ADAM19,0,"0,8947787","-7,660997",1,1,FAUX,ADAM19,0,"-0,133105",Gene,"-1,68E+02"
"0,1746471","3,595722","-3,458283","5366,046",0,2,"-40,46166","1,39E-09",ADD2,"-1,948835",ADD2,0,"0,02332091","-7,398631",1,1,FAUX,ADD2,0,"-2,358679",Gene,"-8,86E+00"
"0,2391024","3,022083","-4,304593",0,0,1,"-40,46166","1,13E-167",ADI1,"0,3758842",ADI1,0,"0,06604648","-7,622787",1,1,FAUX,ADI1,0,"1,88988",Gene,"-1,67E+02"
"0,1091775","5,998642","-2,461358",0,0,1,"-40,46166","4,58E-171",ADK,"0,408863",ADK,0,"0,007158918","-7,396848",1,1,FAUX,ADK,0,"2,834865",Gene,"-1,70E+02"
