"data.key.column","interaction","likelihood","mor","name","selected","shared interaction","shared name","source","state","target"
"344271","interacts with","1","0.9988026","ADNP2 (interacts with) MYL12A","false","interacts with","ADNP2 (interacts with) MYL12A","ADNP2","activation","MYL12A"
"344274","interacts with","1","0.9995806","ADNP2 (interacts with) ZFP90","false","interacts with","ADNP2 (interacts with) ZFP90","ADNP2","activation","ZFP90"
"344277","interacts with","1","0.9983441","ADNP2 (interacts with) ZNF317","false","interacts with","ADNP2 (interacts with) ZNF317","ADNP2","activation","ZNF317"
"344280","interacts with","1","0.7581138","ADNP2 (interacts with) RPAP1","false","interacts with","ADNP2 (interacts with) RPAP1","ADNP2","activation","RPAP1"
"344283","interacts with","1","0.3581169","ADNP2 (interacts with) SCD","false","interacts with","ADNP2 (interacts with) SCD","ADNP2","activation","SCD"
"344286","interacts with","1","0.9360487","ADNP2 (interacts with) SFTPC","false","interacts with","ADNP2 (interacts with) SFTPC","ADNP2","activation","SFTPC"
"344289","interacts with","1","0.8515674","ADNP2 (interacts with) UQCRHL","false","interacts with","ADNP2 (interacts with) UQCRHL","ADNP2","activation","UQCRHL"
"344292","interacts with","1","-0.005544652","ADNP2 (interacts with) LONRF3","false","interacts with","ADNP2 (interacts with) LONRF3","ADNP2","inhibition","LONRF3"
"344295","interacts with","1","-0.9714087","ADNP2 (interacts with) PLEKHJ1","false","interacts with","ADNP2 (interacts with) PLEKHJ1","ADNP2","inhibition","PLEKHJ1"
"344298","interacts with","1","-0.8681588","ADNP2 (interacts with) CMPK2","false","interacts with","ADNP2 (interacts with) CMPK2","ADNP2","inhibition","CMPK2"
"344301","interacts with","1","0.91829","ADNP2 (interacts with) KATNAL1","false","interacts with","ADNP2 (interacts with) KATNAL1","ADNP2","activation","KATNAL1"
"344304","interacts with","1","0.9971658","ADNP2 (interacts with) NUDCD2","false","interacts with","ADNP2 (interacts with) NUDCD2","ADNP2","activation","NUDCD2"
"344307","interacts with","1","0.9410444","ADNP2 (interacts with) SNORD17","false","interacts with","ADNP2 (interacts with) SNORD17","ADNP2","activation","SNORD17"
"344310","interacts with","1","0.3684553","AHCTF1 (interacts with) SNAPC5","false","interacts with","AHCTF1 (interacts with) SNAPC5","AHCTF1","activation","SNAPC5"
"344313","interacts with","1","-0.03889277","AHCTF1 (interacts with) APOBEC3B","false","interacts with","AHCTF1 (interacts with) APOBEC3B","AHCTF1","inhibition","APOBEC3B"
"344316","interacts with","1","-0.003034857","AHR (interacts with) SYCE1L","false","interacts with","AHR (interacts with) SYCE1L","AHR","inhibition","SYCE1L"
"344319","interacts with","1","-0.03572939","AHRR (interacts with) HOXA11","false","interacts with","AHRR (interacts with) HOXA11","AHRR","inhibition","HOXA11"
"344322","interacts with","1","0.1128622","AKAP8 (interacts with) SLC14A2","false","interacts with","AKAP8 (interacts with) SLC14A2","AKAP8","activation","SLC14A2"
"344325","interacts with","1","-0.02853866","AKAP8 (interacts with) KIR3DL1","false","interacts with","AKAP8 (interacts with) KIR3DL1","AKAP8","inhibition","KIR3DL1"
"344328","interacts with","1","-0.9839276","AKAP8L (interacts with) THNSL2","false","interacts with","AKAP8L (interacts with) THNSL2","AKAP8L","inhibition","THNSL2"
"344331","interacts with","1","-0.9162128","AKAP8L (interacts with) KREMEN1","false","interacts with","AKAP8L (interacts with) KREMEN1","AKAP8L","inhibition","KREMEN1"
"344334","interacts with","1","0.9870731","AKAP8L (interacts with) USF2","false","interacts with","AKAP8L (interacts with) USF2","AKAP8L","activation","USF2"
"344337","interacts with","1","0.5030352","AKAP8L (interacts with) ANGPT2","false","interacts with","AKAP8L (interacts with) ANGPT2","AKAP8L","activation","ANGPT2"
"344340","interacts with","1","-0.7779157","AKNA (interacts with) PCSK7","false","interacts with","AKNA (interacts with) PCSK7","AKNA","inhibition","PCSK7"
