"name"	"NR"	"R"	"distance"
"1"	"(10Z)-heptadecenoic"	0.269478240479377	0.254005347121224	-0.019
"2"	"(11Z,14Z)-eicosadienoic"	0.274157276136985	0.261588276319858	-0.0169
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.274171570135241	0.260749212499664	-0.0175
"4"	"(13Z)-eicosenoic"	0.281615373757926	0.26612892516415	-0.0189
"5"	"(13Z)-octadecenoic"	0.277623660283994	0.266213935905628	-0.016
"6"	"(13Z,16Z)-docosadienoic"	0.271952837044249	0.260461843611529	-0.0161
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	-0.0095
"8"	"(1R,2S)-naphthalene"	0.440469315351388	0.426539460922466	-0.0169
"9"	"(1S,2R)-naphthalene"	0	0	-0.0095
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.31332125143252	0.293051277440657	-0.0221
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.328930999081226	0.308792091400112	-0.0219
"12"	"(5-L-glutamyl)-L-amino"	0.293008398458202	0.273696786955131	-0.0216
"13"	"(6Z,9Z)-octadecadienoic"	0.298113388310498	0.281152325283741	-0.0199
"14"	"(7Z)-octadecenoic"	0.355614886651662	0.343498012488769	-0.0161
"15"	"(7Z)-tetradecenoic"	0.269410528427179	0.26128755639428	-0.0138
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.250753620690846	0.221221243047402	-0.0291
"17"	"(9E)-tetradecenoic"	0.295332564476513	0.280707267264844	-0.0182
"18"	"(Glc)3"	0	0	-0.0095
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	-0.0095
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.265289886804982	0.253152989828026	-0.0166
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.300463854652013	0.285675736357699	-0.0183
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0095
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0095
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0095
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0095
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0095
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0095
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	-0.0095
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0095
"30"	"0.0001"	0.0696900915306984	0.0370493369425227	-0.0323
"31"	"0.0002"	0	0	-0.0095
"32"	"0.0003"	0	0	-0.0095
"33"	"0.0004"	0.190954838175743	0.161284470207021	-0.0295
"34"	"0.0005"	0.0696900915306984	0.0370493369425227	-0.0323
"35"	"0.00057356"	0	0	-0.0095
"36"	"0.0006"	0	0	-0.0095
"37"	"0.0007"	0	0	-0.0095
"38"	"0.0008"	0	0	-0.0095
"39"	"0.0009"	0	0	-0.0095
"40"	"0.0009274"	0	0	-0.0095
"41"	"0.001"	0	0	-0.0095
"42"	"0.0011"	0.0696900915306984	0.0370493369425227	-0.0323
"43"	"0.0012"	0	0	-0.0095
"44"	"0.0012056"	0	0	-0.0095
"45"	"0.0012642"	0	0	-0.0095
"46"	"0.0013"	0	0	-0.0095
"47"	"0.0014"	0.190954838175743	0.161284470207021	-0.0295
"48"	"0.0015"	0	0	-0.0095
"49"	"0.0016"	0	0	-0.0095
"50"	"0.0017"	0	0	-0.0095
"51"	"0.0018"	0	0	-0.0095
"52"	"0.0018548"	0	0	-0.0095
"53"	"0.0019"	0	0	-0.0095
"54"	"0.002"	0.0696900915306984	0.0370493369425227	-0.0323
"55"	"0.0021"	0	0	-0.0095
"56"	"0.0022"	0	0	-0.0095
"57"	"0.0023"	0	0	-0.0095
"58"	"0.0024"	0	0	-0.0095
"59"	"0.0024143"	0	0	-0.0095
"60"	"0.0025"	0.190954838175743	0.161284470207021	-0.0295
"61"	"0.0026"	0.0696900915306984	0.0370493369425227	-0.0323
