nodeLabel	flow_class_1	flow_class_2	distance
CLDN24	0	0.157799972832574	0.1108
OR9G1	0	0.157799972832574	0.1108
OVCH2	0	0.119370928026453	0.0837
PRSS51	0	0.119370928026453	0.0837
RP11-274H2.2	0	0.119370928026453	0.0837
ANTXR2	0.0698277381592159	0.157799972832574	0.0612
ASGR2	0.0698277381592159	0.157799972832574	0.0612
CATSPERB	0.0698277381592159	0.157799972832574	0.0612
CHRNA2	0.0698277381592159	0.157799972832574	0.0612
DAZL	0.0698277381592159	0.157799972832574	0.0612
FFAR2	0.0698277381592159	0.157799972832574	0.0612
GLP2R	0.0698277381592159	0.157799972832574	0.0612
GRIA1	0.0698277381592159	0.157799972832574	0.0612
HNRNPM	0.0698277381592159	0.157799972832574	0.0612
IGFL3	0.0698277381592159	0.157799972832574	0.0612
INSC	0.0698277381592159	0.157799972832574	0.0612
IVL	0.0698277381592159	0.157799972832574	0.0612
KCNU1	0.0698277381592159	0.157799972832574	0.0612
LPA	0.0698277381592159	0.157799972832574	0.0612
MAGEL2	0.0698277381592159	0.157799972832574	0.0612
MUC15	0.0698277381592159	0.157799972832574	0.0612
MYH13	0.0698277381592159	0.157799972832574	0.0612
OR10AG1	0.0698277381592159	0.157799972832574	0.0612
OR10S1	0.0698277381592159	0.157799972832574	0.0612
OR10W1	0.0698277381592159	0.157799972832574	0.0612
OR2D2	0.0698277381592159	0.157799972832574	0.0612
OR4C6	0.0698277381592159	0.157799972832574	0.0612
OR52B2	0.0698277381592159	0.157799972832574	0.0612
OR8U1	0.0698277381592159	0.157799972832574	0.0612
OR9Q1	0.0698277381592159	0.157799972832574	0.0612
OR9Q2	0.0698277381592159	0.157799972832574	0.0612
POU5F1	0.0698277381592159	0.157799972832574	0.0612
PRAM1	0.0698277381592159	0.157799972832574	0.0612
PRDM11	0.0698277381592159	0.157799972832574	0.0612
PTPRB	0.0698277381592159	0.157799972832574	0.0612
REG3G	0.0698277381592159	0.157799972832574	0.0612
SYT9	0.0698277381592159	0.157799972832574	0.0612
CFTR	0.157800833296487	0.21574694951493	0.0394
URI1	0.157800833296487	0.21574694951493	0.0394
SNORA62	0.18919964100248	0.238743179527217	0.0333
A2ML1	0	0	-2e-04
A2ML1-AS1	0	0	-2e-04
A2ML1-AS2	0	0	-2e-04
A3GALT2	0	0	-2e-04
AADACL2	0	0	-2e-04
AADACL3	0	0	-2e-04
AADACL4	0	0	-2e-04
AAMDC	0	0	-2e-04
AAMP	0	0	-2e-04
AARS1	0	0	-2e-04
AARS2	0	0	-2e-04
AB019440.1	0	0	-2e-04
AB019440.50	0	0	-2e-04
ABCA10	0	0	-2e-04
ABCA6	0	0	-2e-04
ABCA9	0	0	-2e-04
ABCB10	0	0	-2e-04
ABCB5	0	0	-2e-04
ABI3BP	0	0	-2e-04
AC000003.1	0	0	-2e-04
AC000123.4	0	0	-2e-04
AC002429.5	0	0	-2e-04
AC002511.1	0	0	-2e-04
AC002511.2	0	0	-2e-04
AC002553.1	0	0	-2e-04
AC002558.1	0	0	-2e-04
AC002978.1	0	0	-2e-04
AC002979.1	0	0	-2e-04
AC003104.1	0	0	-2e-04
AC003681.1	0	0	-2e-04
AC003682.16	0	0	-2e-04
AC003958.2	0	0	-2e-04
AC004069.1	0	0	-2e-04
AC004076.9	0	0	-2e-04
AC004160.4	0	0	-2e-04
AC004231.2	0	0	-2e-04
AC004485.3	0	0	-2e-04
AC004492.1	0	0	-2e-04
AC004528.1	0	0	-2e-04
AC004528.4	0	0	-2e-04
AC004593.3	0	0	-2e-04
AC004691.5	0	0	-2e-04
AC004692.4	0	0	-2e-04
AC004699.1	0	0	-2e-04
AC004837.4	0	0	-2e-04
AC004837.5	0	0	-2e-04
AC004893.11	0	0	-2e-04
AC004906.3	0	0	-2e-04
AC004969.1	0	0	-2e-04
AC004988.1	0	0	-2e-04
AC005008.2	0	0	-2e-04
AC005037.1	0	0	-2e-04
AC005037.2	0	0	-2e-04
AC005042.4	0	0	-2e-04
AC005062.2	0	0	-2e-04
AC005071.1	0	0	-2e-04
AC005082.1	0	0	-2e-04
AC005154.6	0	0	-2e-04
AC005162.4	0	0	-2e-04
AC005215.1	0	0	-2e-04
AC005224.2	0	0	-2e-04
AC005237.4	0	0	-2e-04
AC005329.7	0	0	-2e-04
AC005481.5	0	0	-2e-04
AC005493.1	0	0	-2e-04
AC005513.1	0	0	-2e-04
