	tf	target	confidence	mor
1	ADNP	CUX2	D	1
2	ADNP	NEBL	D	1
3	ADNP	PRKAR2B	D	1
4	ADNP	TRPV4	D	1
5	AEBP2	CNRIP1	E	1
6	AEBP2	FZD3	E	1
7	AEBP2	PDE5A	E	1
8	AEBP2	ZNF678	E	1
9	AHRR	NKD2	E	-1
10	AIRE	FAM13C	E	1
11	ALX1	CUX2	E	1
12	ALX1	KIAA1217	E	1
13	ALX1	LAIR2	E	1
14	ALX1	MKRN3	E	1
15	ALX1	RFPL4A	E	1
16	ALX1	SVEP1	E	1
17	ALX1	TMC1	E	1
18	ALX1	ZSCAN10	E	1
19	ALX3	DDIT4L	E	1
20	ALX3	WT1	E	1
21	ALX3	ZNF728	E	1
22	ALX4	KIAA1217	E	1
23	ALX4	LAIR2	E	1
24	ALX4	SPAG6	E	1
25	ALX4	VWF	E	1
26	AR	EGFR	A	1
27	AR	KIAA1217	A	-1
28	AR	SNAI2	A	1
29	ARID3B	KIAA1217	E	1
30	ARID3B	NPC1L1	E	1
31	ARID3B	RFPL4A	E	1
32	ARID3B	SMC1B	E	1
33	ARID5A	CHRDL1	E	-1
34	ARID5A	COL28A1	E	-1
35	ARID5A	CUX2	E	-1
36	ARID5A	DMRTA1	E	-1
37	ARID5A	HAPLN3	E	-1
38	ARID5A	MLF1	E	-1
39	ARID5A	NPAS3	E	-1
40	ARID5A	OXTR	E	-1
41	ARID5A	SLC11A1	E	-1
42	ARID5A	SMARCA1	E	-1
43	ARID5A	YPEL4	E	-1
44	ARID5B	GPRC5B	E	1
45	ARID5B	HBE1	E	1
46	ARID5B	HLA-DQB2	E	1
47	ARID5B	KIAA1217	E	1
48	ARID5B	ZNF571	E	1
49	ARNT2	DLG2	E	1
50	ARNT2	FAM171B	E	1
51	ARNT2	FRAS1	E	1
52	ARNT2	FZD3	E	1
53	ARNT2	GPRC5B	E	1
54	ARNT2	KCNN1	E	1
55	ARNT2	KIAA1549L	E	1
56	ARNT2	MLF1	E	1
57	ARNT2	NPAS3	E	1
58	ARNTL2	GPR85	E	1
59	ARNTL2	HAPLN3	E	1
60	ARNTL2	LCN2	E	1
61	ARNTL2	MDFI	E	1
62	ARNTL2	NXPH4	E	1
63	ARNTL2	PRSS22	E	1
64	ARX	PAX4	E	1
65	ARX	KIAA1217	E	1
66	ARX	VWF	E	1
67	ASCL1	PCSK6	C	-1
68	ASCL1	CPLX2	C	1
69	ASCL2	CMTM5	E	1
70	ASCL2	CTSG	E	1
71	ASCL2	KLK13	E	1
72	ASCL2	TRPV4	E	1
73	ATOH1	KIAA1755	E	1
74	ATOH1	MS4A2	E	1
75	ATOH1	MYH15	E	1
76	ATOH1	NEBL	E	1
77	ATOH1	NPC1L1	E	1
78	ATOH1	PCSK6	E	1
79	ATOH1	SLC25A47	E	1
80	ATOH1	THSD7B	E	1
81	ATOH1	VIL1	E	1
82	ATOH1	VWF	E	1
83	ATOH8	CPM	E	1
84	ATOH8	GALNT18	E	1
85	ATOH8	IGFBP6	E	1
86	ATOH8	MFGE8	E	1
87	ATOH8	OCA2	E	1
88	ATOH8	PIK3R3	E	1
89	ATOH8	SEMA3G	E	1
90	ATOH8	SLC16A12	E	1
91	ATOH8	SVEP1	E	1
92	ATOH8	VWF	E	1
93	BARHL1	COL28A1	E	1
94	BARHL1	DLG2	E	1
95	BARHL1	PCDH15	E	1
96	BARHL1	VLDLR	E	1
97	BARHL2	FRAS1	E	1
98	BARHL2	FZD3	E	1
99	BARX1	ANKFN1	E	1
100	BARX1	DLG2	E	1
101	BARX1	DNASE1L3	E	1
102	BARX1	FRAS1	E	1
103	BARX1	ITLN1	E	1
104	BARX1	PCDH15	E	1
105	BARX1	VLDLR	E	1
106	BARX2	ABCC3	E	1
107	BARX2	BIK	E	1
108	BARX2	C1orf116	E	1
109	BARX2	DEFB1	E	1
110	BARX2	ELF5	E	1
111	BARX2	EVPL	E	1
112	BARX2	GJA3	E	1
113	BARX2	KLK13	E	1
114	BARX2	KRT17	E	1
115	BARX2	LCN2	E	1
116	BARX2	NEBL	E	1
117	BARX2	PRSS22	E	1
118	BARX2	SMPDL3B	E	1
119	BARX2	TRPV4	E	1
120	BATF2	HHIPL1	E	1
121	BATF3	FJX1	E	1
122	BATF3	GPR85	E	1
123	BATF3	HAPLN3	E	1
124	BATF3	KIAA1217	E	1
125	BATF3	MDFI	E	1
126	BATF3	MLF1	E	1
127	BATF3	NKD2	E	1
128	BATF3	PPFIA2	E	1
129	BATF3	SLC11A1	E	1
130	BATF3	SMPDL3B	E	1
131	BATF3	SOX30	E	1
132	BATF3	TMEM255B	E	1
133	BBX	FAM13C	E	1
134	BBX	FZD3	E	1
135	BBX	SMARCA1	E	1
136	BBX	ZNF737	E	1
137	BCL11B	BIK	E	1
138	BCL11B	EVPL	E	1
139	BCL6B	CLECL1	E	1
140	BCL6B	CTSG	E	1
141	BCL6B	ELF5	E	1
142	BCL6B	ESAM	E	1
143	BCL6B	MDFI	E	1
144	BCL6B	PCDH10	E	1
145	BCL6B	SAMD14	E	1
146	BCL6B	TMEM255B	E	1
147	BCL6B	TNFRSF11A	E	1
148	BHLHA15	ANKRD18A	E	1
149	BHLHA15	BIK	E	1
150	BHLHA15	FRAS1	E	1
151	BHLHA15	LCN2	E	1
152	BHLHA15	PAX4	E	1
153	BHLHA15	PCSK1N	E	1
154	BHLHA15	SMAD9	E	1
155	BHLHA15	SMPDL3B	E	1
156	BHLHA15	SVEP1	E	1
157	BHLHA15	ZNF571	E	1
158	BHLHA15	ZNF595	E	1
159	BHLHA15	ZSCAN10	E	1
160	BHLHE23	KDM4E	E	1
161	BHLHE23	MYH15	E	1
