IDH1_Koichi_signature	IDH2_Koichi_signature	IDH1_specific_BEATAML	IDH2_specific_BEATAML	IDH1_BEATAML	IDH2_BEATAML
DPP10	FLT4	SNAI2	HOXA13	FAM84A	FAM84A
DPPA4	NPAS2	CLDN1	LINC01108	AVPR1A	NEK10
GPC6	ESPN	DLX5	RP11-359N11.1	CNTN1	SLC22A10
PCDHA4	IL7	LGI2	SNRPGP5	GPC4	SLC7A2
NKX2-3	NEFM	ENPEP	CYP4F59P	SLC22A10	TRPA1
OR2M1P	CD3D	AC074389.5	SNX18P9	SNAI2	GPC4
DZIP1L	CPA6	NPAS3	RP11-148O21.6	RP13-507P19.2	MGC39584
IRX3	PAK3	TENM2	NAALAD2	EYA1	ABCA9-AS1
PCDHA11	SLAMF7	RP11-462G22.2	CRHR1	SLC7A2	HOXA13
TNNT3	SORD	GPR87	ABCA13	LMO1	CNTN1
GPR85	PPP4R4	TMEM233	SH3GL3	ENPEP	RHOXF2
SRPX	DPP4	MAL2	RPS7P15	KCNJ8	CTD-2544H17.2
PXK	ICOSLG	IGF2	Z69666.2	GULP1	AVPR1A
SORCS2	CACNA1H	TMEM132A	ABCA9-AS1	DLX5	TSPAN12
PCDHA5	CADM3	LINC00857	AC002064.5	MAL2	SCARA3
PCDHA8	SLC4A1AP	RP11-426A6.5	FOXF1	NEK10	TEX101
AVPR1B	CYP26B1	PDE10A	AL360154.1	SHD	NETO1
CAV2	DTX1	ERVMER34-1	RSPO2	GPR87	SH3GL3
BMS1	GIMAP8	PPP1R3C	RP11-250H24.2	NPAS3	EYA1
BMPR1B	DCHS2	RP11-114B7.6	LHX4	CTD-2544H17.2	LINC01107
EREG	FAIM	FAM83A	NEK10	RP11-462G22.2	SHD
PDZRN4	CYP17A1	LMOD1	HOXA11	SCARA3	CCDC3
CDH7	EBF1	CTA-363E6.6	NAV3	GPC6	AC007091.1
DNAJC13	MUC17	ALPP	SPACA6P-AS	TMEM233	RP11-38J22.3
FLNC	TSKS	PMCH	PAICSP3	RP11-38J22.3	GULP1
NLGN1	TMEM203	RP11-325E14.5	RP11-762E8.1	ESRP1	GPC6
NDST3	PLEKHG6	TNFSF18	AC145212.2	GNG4	DEFB1
ADCY3	OLAH	C1orf116	AS3MT	ADAM6	SERTM1
RNF151	GIMAP4	LDHAL6A	FREM1	WDR72	WDR72
GXYLT2	UBB	MYH14	KRT7	LUM	RP13-507P19.2
TM4SF20	CD52	INSRR	PLAG1	CLDN1	DEFA9P
PCDHA3	BTLA	BMPR1B	RP1-124C6.1	TENM2	CHRNA6
GPC5	CCR8	ZBED2	AC145212.3	AC074389.5	TRHDE-AS1
PCDHA6	LEF1	SLC4A1	RP11-377K22.2	SERTM1	RP11-359N11.1
C20orf202	GABBR1	ADAM6	TVP23CP1	ADCY2	LMO1
STON1-GTF2A1L	CD3G	ZNF285B	INA	PMCH	MTMR7
CHRM3	OR2H2	RPL13AP6	COL28A1	TSPAN12	PRR16
CYP4Z2P	FBL	AC009501.4	GPR176	AC073283.4	AC010983.1
ZNF562	MARCO	HSPE1P9	TAS2R41	RIPPLY3	LINC01108
PCDHA13	TSPAN9	ESRP2	RP11-390P2.2	DEFB1	SIX3
KLB	CALY	C4orf45	AC139426.2	ZBED2	RIPPLY3
CTSE	GIMAP7	RPL29P19		CTC-546K23.1	SGPP2
RIMKLA	LYVE1	CLEC3B		FAM83A	RP5-1092A11.2
SLC22A14	CCNI	PRPH		KLHL4	HOXA11
ELN	HNRNPA3	PLA2G4C		CHRNA6	AC114730.5
GLRB	DLG3	CTB-35F21.5		C10orf10	TMEM98
CAMKV	CD8A	ART4		AC092646.1	CRYGEP
PCDHA2	LRFN3	CHN1		TMEM74	CCL1
CYP4F11	CD276	SLFN14		PDE10A	AC073283.4
TRA2A	AASS	FSTL1		BMP10	PARD3-AS1
