	tf	target	confidence	mor
1	ADNP	NEBL	D	1
2	ADNP	RASAL1	D	1
3	AEBP2	MT-ATP8	E	1
4	AIRE	FGFR2	E	1
5	ALX1	FOXP2	E	1
6	ALX1	GPC6	E	1
7	ALX1	IRX5	E	1
8	ALX1	NINL	E	1
9	ALX1	NXF3	E	1
10	ALX1	RFPL4A	E	1
11	ALX1	SCN3A	E	1
12	ALX1	TRIM36	E	1
13	ALX3	AGTR1	E	1
14	ALX3	CTNNA3	E	1
15	ALX3	DDIT4L	E	1
16	ALX3	FOXP2	E	1
17	ALX3	GPR176	E	1
18	ALX3	SYCP2L	E	1
19	ALX4	GPC6	E	1
20	ALX4	IRX5	E	1
21	ALX4	NINL	E	1
22	AR	ORM1	A	1
23	AR	ORM2	A	1
24	ARID3B	RFPL4A	E	1
25	ARID3B	RRH	E	1
26	ARID5A	CLDN5	E	-1
27	ARID5A	CORO2B	E	-1
28	ARID5A	LIF	E	-1
29	ARID5A	RRH	E	-1
30	ARID5A	WFS1	E	-1
31	ARID5B	AVPR1A	E	1
32	ARID5B	KLF6	E	1
33	ARNT	DOCK1	C	1
34	ARNT2	CACNA2D1	E	1
35	ARNT2	CTTNBP2	E	1
36	ARNT2	DOCK1	E	1
37	ARNT2	FRAS1	E	1
38	ARNT2	GPC4	E	1
39	ARNT2	GPR176	E	1
40	ARNT2	IGSF11	E	1
41	ARNT2	KIF1A	E	1
42	ARNT2	SYNM	E	1
43	ARNT2	WFS1	E	1
44	ARNTL2	GJA1	E	1
45	ARNTL2	GPR176	E	1
46	ARNTL2	GPR85	E	1
47	ARNTL2	MDFI	E	1
48	ARNTL2	OSBPL10	E	1
49	ARNTL2	TACSTD2	E	1
50	ARNTL2	WFS1	E	1
51	ARX	LMO1	E	1
52	ARX	FOXJ1	E	1
53	ARX	RGMA	E	1
54	ARX	SEC16B	E	1
55	ARX	TGM5	E	1
56	ASCL1	ST18	C	1
57	ASCL2	FOXJ1	E	1
58	ATF3	KLF6	C	-1
59	ATOH1	CR2	E	1
60	ATOH1	CSRNP3	E	1
61	ATOH1	CYP24A1	E	1
62	ATOH1	FOXP2	E	1
63	ATOH1	HOXA13	E	1
64	ATOH1	IL31RA	E	1
65	ATOH1	LIF	E	1
66	ATOH1	MEOX1	E	1
67	ATOH1	MNX1	E	1
68	ATOH1	MS4A2	E	1
69	ATOH1	NAV2	E	1
70	ATOH1	NEBL	E	1
71	ATOH1	USP6	E	1
72	ATOH1	ZP1	E	1
73	ATOH8	AGTR1	E	1
74	ATOH8	CLDN5	E	1
75	ATOH8	CLEC14A	E	1
76	ATOH8	CPM	E	1
77	ATOH8	MMP28	E	1
78	ATOH8	WFS1	E	1
79	BACH2	OSBPL10	C	1
80	BARHL1	AVPR1A	E	1
81	BARHL1	CAV2	E	1
82	BARHL1	MEOX1	E	1
83	BARHL1	SEC16B	E	1
84	BARHL1	VLDLR	E	1
85	BARHL2	AFF3	E	1
86	BARHL2	COL2A1	E	1
87	BARHL2	CYP2C19	E	1
88	BARHL2	FRAS1	E	1
89	BARHL2	NAV2	E	1
90	BARX1	AVPR1A	E	1
91	BARX1	CPA6	E	1
92	BARX1	FRAS1	E	1
93	BARX1	GNG11	E	1
94	BARX1	VLDLR	E	1
95	BARX2	CYP24A1	E	1
96	BARX2	EPCAM	E	1
97	BARX2	IRX5	E	1
98	BARX2	NEBL	E	1
99	BARX2	RASAL1	E	1
100	BARX2	TACSTD2	E	1
101	BARX2	TP53AIP1	E	1
102	BATF3	GJA1	E	1
103	BATF3	GPR176	E	1
104	BATF3	GPR85	E	1
105	BATF3	LIF	E	1
106	BATF3	MDFI	E	1
107	BATF3	NXF3	E	1
108	BATF3	TACSTD2	E	1
109	BBX	CACNA2D1	E	1
110	BCL11B	FOXJ1	E	1
111	BCL6	OSBPL10	C	-1
112	BCL6B	AFF3	E	1
113	BCL6B	CLDN5	E	1
114	BCL6B	CLEC14A	E	1
115	BCL6B	DLL4	E	1
116	BCL6B	F2RL3	E	1
117	BCL6B	GNG11	E	1
118	BCL6B	GPR176	E	1
119	BCL6B	HOXA13	E	1
120	BCL6B	MDFI	E	1
121	BCL6B	MEOX1	E	1
122	BHLHA15	EGF	E	1
123	BHLHA15	FCRL1	E	1
124	BHLHA15	FRAS1	E	1
125	BHLHE23	CR2	E	1
126	BHLHE23	CSRNP3	E	1
127	BHLHE23	KDM4E	E	1
128	BHLHE23	NAV2	E	1
129	BHLHE23	NEBL	E	1
130	BHLHE41	AFF3	E	-1
131	BHLHE41	DDIT4L	E	-1
132	BNC1	FRAS1	E	1
133	BNC1	GJA1	E	1
134	BNC1	GPR1	E	1
135	BNC1	NDFIP2	E	1
136	BNC1	TFPI2	E	1
137	BNC2	CACNA2D1	E	1
138	BNC2	CHST15	E	1
139	BNC2	CORO2B	E	1
140	BNC2	DDIT4L	E	1
141	BNC2	FNDC1	E	1
142	BNC2	FOXP2	E	1
143	BNC2	GNG11	E	1
144	BNC2	GPC4	E	1
145	BNC2	GPC6	E	1
146	BNC2	RGMA	E	1
147	BRF2	NAV3	D	1
148	BSX	FOXP2	E	1
149	BSX	MEOX1	E	1
150	BSX	SLC18A1	E	1
151	CASZ1	STOX2	E	1
152	CBX2	CLDN5	D	1
153	CBX2	CPM	D	1
154	CBX2	NAV2	D	1
155	CBX2	TMEFF2	D	1
156	CDC5L	CAV2	E	1
157	CDC5L	NDFIP2	E	1
158	CDC5L	THAP10	E	1
159	CEBPA	VLDLR	A	1
160	CENPB	CYP24A1	E	1
161	CENPB	HS3ST1	E	1
162	CIC	RGMA	E	1
163	CLOCK	CORO2B	C	1
164	CREB1	CYP17A1	A	1
165	CREB3	NEBL	C	1
166	CREB3L2	CYP2C19	E	1
167	CREB3L2	NAV2	E	1
168	CREB3L2	PAPPA	E	1
169	CREB3L2	WFS1	E	1
170	CREB3L3	OLFM4	E	1
171	CREB3L3	ORM1	E	1
172	CREB3L3	ORM2	E	1
173	CREB3L4	TRIM36	E	1
174	CREBL2	DOCK1	E	1
175	CREM	NAV2	C	1
176	CRX	AFF3	E	1
177	CRX	GPR85	E	1
178	CRX	NAV2	E	1
179	CRX	OSBPL10	E	1
180	CRX	PLA2G4C	E	1
181	CRX	RGMA	E	1
182	CSRNP1	KLF6	E	1
183	CSRNP3	AASDH	E	1
184	CSRNP3	ABI2	E	1
185	CSRNP3	ACOX2	E	1
186	CSRNP3	ADAM22	E	1
187	CSRNP3	ADAMTS12	E	1
188	CSRNP3	ADGRL2	E	1
189	CSRNP3	AGL	E	1
190	CSRNP3	AKAP6	E	1
191	CSRNP3	ALDH1L2	E	1
192	CSRNP3	ALKBH8	E	1
193	CSRNP3	AMOT	E	1
194	CSRNP3	ANGPT1	E	1
195	CSRNP3	ANK2	E	1
196	CSRNP3	ANKMY2	E	1
197	CSRNP3	ANKRD26	E	1
