	tf	target	confidence	mor
1	ADNP	CNN1	D	1
2	ADNP	CUX2	D	1
3	ADNP	GFI1B	D	1
4	AEBP2	PDE5A	E	1
5	AHR	CREB5	C	1
6	AHRR	TRPM4	E	-1
7	AIRE	CDS1	E	1
8	AIRE	SPARCL1	E	1
9	ALX1	ARMC3	E	1
10	ALX1	CDS1	E	1
11	ALX1	CUX2	E	1
12	ALX1	DAB1	E	1
13	ALX1	LOXHD1	E	1
14	ALX1	NINL	E	1
15	ALX1	NXF3	E	1
16	ALX1	PLEKHA7	E	1
17	ALX1	SVEP1	E	1
18	ALX1	ZSCAN10	E	1
19	ALX3	AGTR1	E	1
20	ALX3	CNTN1	E	1
21	ALX3	CREB5	E	1
22	ALX3	CTNNA3	E	1
23	ALX3	ETV1	E	1
24	ALX3	PDZRN4	E	1
25	ALX3	SYBU	E	1
26	ALX3	SYCP2L	E	1
27	ALX4	ARMC3	E	1
28	ALX4	CDS1	E	1
29	ALX4	NINL	E	1
30	ALX4	SPAG6	E	1
31	ALX4	SV2C	E	1
32	ALX4	ZNF423	E	1
33	AR	EGFR	A	1
34	AR	FOXA1	A	1
35	AR	NLGN4X	A	1
36	AR	SNAI2	A	1
37	ARID3B	CNTN1	E	1
38	ARID3B	CREB5	E	1
39	ARID3B	IZUMO1	E	1
40	ARID3B	OR1D2	E	1
41	ARID3B	OR51Q1	E	1
42	ARID3B	PDZRN4	E	1
43	ARID3B	RRH	E	1
44	ARID5A	ACKR3	E	-1
45	ARID5A	CDC42EP1	E	-1
46	ARID5A	CLDN5	E	-1
47	ARID5A	CREB5	E	-1
48	ARID5A	CUX2	E	-1
49	ARID5A	EGR3	E	-1
50	ARID5A	GPR88	E	-1
51	ARID5A	RRH	E	-1
52	ARID5A	SLC11A1	E	-1
53	ARID5A	SMARCA1	E	-1
54	ARID5A	VNN2	E	-1
55	ARID5A	WFS1	E	-1
56	ARID5B	CREB5	E	1
57	ARID5B	FOXA1	E	1
58	ARID5B	NR2C2	E	1
59	ARID5B	SV2C	E	1
60	ARID5B	YBX2	E	1
61	ARNT2	BVES	E	1
62	ARNT2	CDKL2	E	1
63	ARNT2	CNN1	E	1
64	ARNT2	FAM171A1	E	1
65	ARNT2	GNAI1	E	1
66	ARNT2	IGSF11	E	1
