	tf	target	confidence	mor
1	ADNP	OAS3	D	1
2	ADNP	TPD52L1	D	1
3	ADNP2	KDM7A	E	1
4	AEBP2	KMT2A	E	1
5	AEBP2	LRCH2	E	1
6	AHR	DOCK4	C	1
7	AIRE	CLMN	E	1
8	AIRE	CPEB1	E	1
9	AIRE	SPARCL1	E	1
10	ALX1	LYPD6B	E	1
11	ALX1	NTRK2	E	1
12	ALX1	PRICKLE1	E	1
13	ALX1	SCN3A	E	1
14	ALX1	TAF7L	E	1
15	ALX1	TEK	E	1
16	ALX3	ASB15	E	1
17	ALX3	LRRC6	E	1
18	ALX3	PRR4	E	1
19	ALX3	WT1	E	1
20	ALX4	CALN1	E	1
21	ALX4	NTRK2	E	1
22	ARID3B	KMT2A	E	1
23	ARID5A	CPEB1	E	-1
24	ARID5A	KDM7A	E	-1
25	ARID5A	KMT2A	E	-1
26	ARID5A	PLA2G7	E	-1
27	ARID5A	SOCS3	E	-1
28	ARID5A	TMEM176A	E	-1
29	ARID5B	AVPR1A	E	1
30	ARID5B	CCDC68	E	1
31	ARID5B	FLNC	E	1
32	ARID5B	HBE1	E	1
33	ARID5B	PRSS3	E	1
34	ARID5B	SYNPO2L	E	1
35	ARNT	DOCK4	C	1
36	ARNT2	GNAI1	E	1
37	ARNT2	SPARCL1	E	1
38	ARNTL2	KRT80	E	1
39	ARX	PAX4	E	1
40	ARX	LYPD6B	E	1
41	ASCL1	ST18	C	1
42	ATOH1	HOXA13	E	1
43	ATOH1	KDM7A	E	1
44	ATOH1	SGIP1	E	1
45	ATOH1	SIX6	E	1
46	ATOH1	TAF7L	E	1
47	ATOH1	THSD7B	E	1
48	ATOH8	CCDC68	E	1
49	ATOH8	SEMA3G	E	1
50	ATOH8	SPARCL1	E	1
51	BARHL1	AVPR1A	E	1
52	BARHL1	KRT80	E	1
53	BARHL1	PRSS3	E	1
54	BARHL1	SIX6	E	1
55	BARHL2	ASAP2	E	1
56	BARHL2	LRCH2	E	1
57	BARHL2	SIM1	E	1
58	BARHL2	SIX6	E	1
59	BARX1	AVPR1A	E	1
60	BARX1	HMGA2	E	1
61	BARX1	NRXN1	E	1
62	BARX2	DUOXA1	E	1
63	BARX2	KRT80	E	1
64	BARX2	LYPD6B	E	1
65	BARX2	MSLN	E	1
66	BARX2	PRSS3	E	1
67	BATF2	FCGR1A	E	1
68	BATF2	IRF9	E	1
69	BATF2	OAS3	E	1
70	BATF3	FCGR1A	E	1
71	BATF3	SOCS3	E	1
72	BATF3	TMEM176A	E	1
73	BBX	KMT2A	E	1
74	BBX	LRCH2	E	1
75	BCL11B	DUOXA1	E	1
76	BCL6B	CPEB1	E	1
77	BCL6B	DOCK4	E	1
78	BCL6B	ESM1	E	1
79	BCL6B	HOXA13	E	1
80	BCL6B	NTRK2	E	1
81	BCL6B	OAS3	E	1
82	BCL6B	PRICKLE1	E	1
83	BHLHA15	KDM7A	E	1
84	BHLHA15	LRRC7	E	1
85	BHLHA15	PAX4	E	1
86	BHLHA15	PRSS3	E	1
87	BNC1	DUOXA1	E	1
88	BNC1	MSLN	E	1
89	BNC1	TPD52L1	E	1
90	BNC1	WT1	E	1
91	BNC2	CPEB1	E	1
92	BNC2	DCN	E	1
93	BNC2	FAM124A	E	1
94	BNC2	FLNC	E	1
95	BNC2	FMOD	E	1
96	BNC2	HTR2A	E	1
97	BNC2	LRCH2	E	1
98	BNC2	NTRK2	E	1
99	BNC2	PRICKLE1	E	1
100	BNC2	SLC16A2	E	1
101	BPTF	HOXC8	D	1
102	BRF2	CALN1	D	1
103	BRF2	HMGA2	D	1
104	BRF2	KMT2A	D	1
105	BRF2	LRRC6	D	1
106	BRF2	SGIP1	D	1
107	BSX	KRT80	E	1
108	BSX	PRSS3	E	1
109	BSX	SLC18A1	E	1
110	CASZ1	CGNL1	E	1
111	CASZ1	FLNC	E	1
112	CBX2	CGNL1	D	1
113	CDC5L	GNAI1	E	1
114	CDC5L	TFCP2	E	1
115	CEBPA	EPX	A	1
116	CEBPA	SOCS3	A	1
117	CENPB	CRYGN	E	1
118	CENPB	HOXA11	E	1
119	CENPB	TAF7L	E	1
120	CENPB	TMEM176A	E	1
121	CIC	KMT2A	E	1
122	CREB1	CYP17A1	A	1
123	CREB3L2	ASAP2	E	1
124	CREB3L2	FMOD	E	1
125	CREB3L2	JPH1	E	1
126	CREB3L2	SLC16A2	E	1
127	CREB3L2	UGGT2	E	1
128	CREB3L3	PRSS3	E	1
129	CREB3L3	SCIN	E	1
130	CREB3L4	OPN1SW	E	1
131	CREBZF	KMT2A	E	1
132	CRX	SCIN	E	1
133	CSRNP1	SOCS3	E	1
134	CSRNP2	ZSCAN21	E	1
135	CSRNP3	NRXN1	E	1
136	CSRNP3	SCN3A	E	1
137	CTCF	ASAP2	A	1
138	CTCF	EPX	A	1
139	CTCF	MEG3	A	1
140	CTCF	WT1	A	1
141	CUX2	ALOX15B	E	1
142	CUX2	DOCK4	E	1
143	CUX2	PLA2G7	E	1
144	CUX2	SCIN	E	1
145	CUX2	SGIP1	E	1
146	CXXC1	IRF9	E	1
147	CXXC4	HMGA2	D	1
148	CXXC4	PRICKLE1	D	1
149	CXXC4	WT1	D	1
150	DBP	CPEB1	E	1
151	DBP	NRXN1	E	1
152	DBP	TAF7L	E	1
153	DLX1	GRIK3	E	1
154	DLX1	NRXN1	E	1
155	DLX1	NTRK2	E	1
156	DLX1	SIM1	E	1
157	DLX2	DOCK4	E	1
158	DLX2	SCN3A	E	1
159	DLX3	CPEB1	E	1
160	DLX3	DOCK4	E	1
161	DLX3	DPPA4	E	1
162	DLX3	DUOXA1	E	1
163	DLX3	KRT80	E	1
164	DLX3	NRXN1	E	1
165	DLX3	ST18	E	1
166	DLX3	TEK	E	1
167	DLX3	WNT5B	E	1
168	DLX4	NRXN1	E	-1
169	DLX4	ST18	E	-1
170	DLX4	WNT5B	E	-1
171	DLX6	GRIK3	E	1
172	DLX6	NRXN1	E	1
173	DLX6	ST18	E	1
174	DLX6	WNT5B	E	1
175	DMRT1	SIM1	E	1
176	DMRT1	SIX6	E	1
177	DMRT3	AVPR1A	E	1
178	DMRT3	CPEB1	E	1
179	DMRT3	NETO1	E	1
180	DMRT3	SIX6	E	1
181	DMRTB1	BMP10	E	1
182	DMRTB1	CLC	E	1
183	DMRTB1	SIX6	E	1
184	DMRTB1	WT1	E	1
185	DMRTC2	CLC	E	1
186	DMRTC2	HOXA13	E	1
187	DMRTC2	SIX6	E	1
188	DMTF1	KMT2A	E	1
189	DMTF1	PRR4	E	1
190	DMTF1	SGIP1	E	1
191	DUXA	BMP10	E	1
192	DUXA	CPEB1	E	1
193	DUXA	NETO1	E	1
194	DUXA	NSUN7	E	1
195	DUXA	SGIP1	E	1
196	E2F8	SIX6	E	1
197	E2F8	WNT5B	E	1
198	E4F1	CCR10	E	1
199	EBF1	CLMN	C	1
200	EBF1	WNT5B	C	1
201	EBF2	ADCY1	E	1
202	EBF2	AVPR1A	E	1
203	EBF2	BMPER	E	1
204	EBF2	DCN	E	1
205	EBF2	FAM124A	E	1
206	EBF2	GRIK3	E	1
207	EBF2	NTRK2	E	1
208	EBF2	SCN3A	E	1
209	EBF2	SEMA3G	E	1
210	EBF2	SPARCL1	E	1
211	EBF2	TEK	E	1
212	EBF2	THSD7B	E	1
213	EBF2	WT1	E	1
214	EBF3	AVPR1A	E	1
215	EBF3	CCDC68	E	1
216	EBF3	CPEB1	E	1
217	EBF3	DCN	E	1
218	EBF3	GNAI1	E	1
219	EBF3	GRIK3	E	1
220	EBF3	LRIG3	E	1
221	EBF3	NTRK2	E	1
222	EBF3	SEMA3G	E	1
223	EBF3	TEK	E	1
224	EBF4	CCR10	E	1
225	EBF4	GAS6	E	1
226	EGR1	EPX	A	1
227	EGR1	WT1	A	1
228	EGR3	CLMN	E	1
229	EGR3	FAM124A	E	1
230	EGR3	KDM7A	E	1
231	EGR3	SCIN	E	1
232	EGR3	SOCS3	E	1
233	EGR4	CLC	E	1
234	EGR4	CLMN	E	1
235	EGR4	SCIN	E	1
236	EGR4	SIX6	E	1
237	ELF2	TEK	E	1
238	ELF2	DOCK4	E	1
239	ELF3	DOCK4	C	1
240	ELF4	DOCK4	E	1
241	ELF4	TRPM6	E	1
242	ELF4	ZSCAN21	E	1
243	ELK3	DOCK4	E	-1
244	ELK3	LRCH2	E	-1
245	ELK3	OAS3	E	-1
246	ELK3	PRICKLE1	E	-1
247	ELK3	SPARCL1	E	-1
248	ELK3	TEK	E	-1
249	ELK3	TFCP2	E	-1
250	ELK3	UGGT2	E	-1
251	EMX1	DOCK4	E	1
252	EMX1	NTRK2	E	1
253	EMX2	AVPR1A	E	1
254	EMX2	CPEB1	E	1
255	EMX2	DCN	E	1
256	EMX2	FLNC	E	1
257	EMX2	HOXA11	E	1
258	EMX2	NTRK2	E	1
259	EMX2	SIAH3	E	1
260	EN1	HOXC8	E	1
261	EN1	KRT80	E	1
262	EN1	PRSS3	E	1
263	EN1	SIX6	E	1
264	EN1	SLC18A1	E	1
265	EN2	KRT80	E	1
266	EN2	PRSS3	E	1
267	EN2	SLC18A1	E	1
268	ERF	CCR10	E	-1
269	ERF	TFCP2	E	-1
270	ERF	UGGT2	E	-1
271	ESR1	SOCS3	A	1
272	ESRRA	NRXN1	C	1
273	ESRRB	ASB15	E	1
274	ESRRB	CALN1	E	1
275	ESRRB	CCDC68	E	1
276	ESRRB	FLNC	E	1
277	ESRRB	LRRC7	E	1
278	ESRRB	SCN3A	E	1
279	ESRRB	TAF7L	E	1
280	ESRRG	CCDC68	E	1
281	ESRRG	DUOXA1	E	1
282	ESRRG	LRRC7	E	1
283	ESRRG	NRXN1	E	1
284	ESRRG	RIMKLA	E	1
285	ESRRG	SCN3A	E	1
286	ESRRG	TAF7L	E	1
287	ESX1	KRT80	E	1
288	ESX1	NTRK2	E	1
289	ESX1	PRSS3	E	1
290	ESX1	SIAH3	E	1
291	ESX1	SLC18A1	E	1
292	ETS1	WT1	A	1
293	ETV2	DPPA4	E	1
294	ETV2	SIX6	E	1
295	ETV2	TFCP2	E	1
296	ETV3	TFCP2	E	-1
297	ETV3	UGGT2	E	-1
298	ETV4	WT1	A	1
299	ETV5	CALN1	E	1
300	ETV5	DPPA4	E	1
301	ETV5	FMOD	E	1
302	ETV5	GAS6	E	1
303	ETV5	PAX4	E	1
304	ETV5	TFCP2	E	1
305	ETV5	UGGT2	E	1
306	ETV7	IRF9	E	-1
307	ETV7	OAS3	E	-1
308	ETV7	TMEM176A	E	-1
309	EVX1	CPEB1	E	1
310	EVX1	NTRK2	E	1
311	EVX2	CPEB1	E	1
312	EVX2	GNAI1	E	1
313	EVX2	KRT80	E	1
314	EVX2	NTRK2	E	1
315	EVX2	PRICKLE1	E	1
316	EVX2	RIMKLA	E	1
317	EVX2	SGIP1	E	1
318	EVX2	SLC18A1	E	1
319	EVX2	TAF7L	E	1
320	EVX2	UGGT2	E	1
321	EVX2	WNT5B	E	1
322	FEV	CPEB1	E	-1
323	FEV	TFCP2	E	-1
324	FEV	TPD52L1	E	-1
325	FEV	UGGT2	E	-1
326	FEZF1	CCDC68	E	1
327	FEZF1	CPEB1	E	1
328	FEZF2	SIM1	E	1
329	FEZF2	SIX6	E	1
330	FIGLA	CPEB1	E	1
331	FIGLA	NRXN1	E	1
332	FIGLA	WNT5B	E	1
333	FOSB	PLA2G7	E	1
334	FOSB	SOCS3	E	1
335	FOXB1	HMGA2	E	1
336	FOXC1	AVPR1A	E	1
337	FOXC1	DCN	E	1
338	FOXC1	FMOD	E	1
339	FOXC1	LRRC7	E	1
340	FOXC1	NRXN1	E	1
341	FOXC1	NTRK2	E	1
342	FOXC1	SPARCL1	E	1
343	FOXC2	FLNC	E	1
344	FOXC2	HTR2A	E	1
345	FOXC2	LRRC7	E	1
346	FOXC2	NRXN1	E	1
347	FOXC2	NTRK2	E	1
348	FOXD1	NRXN1	E	1
349	FOXD2	GRIK3	E	1
350	FOXD2	HBE1	E	1
351	FOXD2	IFNE	E	1
352	FOXD2	WNT5B	E	1
353	FOXD3	DOCK4	E	1
354	FOXD3	GRIK3	E	1
355	FOXD3	NRXN1	E	1
356	FOXD3	SYNPO2L	E	1
357	FOXF1	FAM124A	E	1
358	FOXF2	HBE1	E	1
359	FOXG1	CALN1	E	1
360	FOXG1	DCN	E	1
361	FOXG1	NETO1	E	1
362	FOXG1	WT1	E	1
363	FOXH1	CALN1	E	1
364	FOXH1	NETO1	E	1
365	FOXI1	HBE1	E	1
366	FOXI1	IFNE	E	1
367	FOXI1	OR2G3	E	1
368	FOXI1	WNT5B	E	1
369	FOXJ3	KDM7A	E	1
370	FOXJ3	KMT2A	E	1
371	FOXJ3	NRXN1	E	1
372	FOXJ3	TEK	E	1
373	FOXL1	CLMN	E	1
374	FOXL1	FMOD	E	1
375	FOXL1	GRIK3	E	1
376	FOXL1	HBE1	E	1
377	FOXL1	IFNE	E	1
378	FOXL1	NTRK2	E	1
379	FOXL1	SCN3A	E	1
380	FOXL1	TMEM176A	E	1
381	FOXL1	WNT5B	E	1
382	FOXL2	CYP17A1	A	1
383	FOXN1	DUOXA1	E	1
384	FOXN1	KRT80	E	1
385	FOXN1	LYPD6B	E	1
386	FOXN2	TEK	E	1
387	FOXN3	SPARCL1	E	-1
388	FOXO6	CCR10	E	1
389	FOXO6	CPEB1	E	1
390	FOXO6	GAS6	E	1
391	FOXO6	HBE1	E	1
392	FOXO6	IFNE	E	1
393	FOXO6	WNT5B	E	1
394	FOXP1	DOCK4	B	-1
395	FOXP2	NETO1	C	-1
396	FOXQ1	CPA3	E	1
397	FOXQ1	CPEB1	E	1
398	FOXQ1	HBE1	E	1
399	FOXQ1	HMGA2	E	1
400	FOXQ1	KMT2A	E	1
401	FOXQ1	KRT80	E	1
402	FOXQ1	LYPD6B	E	1
403	FOXQ1	TFCP2	E	1
404	FOXQ1	TPD52L1	E	1
405	FOXS1	ALOX15B	E	-1
406	FOXS1	FMOD	E	-1
407	FOXS1	NTRK2	E	-1
408	GABPA	DOCK4	C	1
409	GATA1	WT1	A	1
410	GATA2	WT1	A	1
411	GATA3	NETO1	A	1
412	GATA3	TEK	A	1
413	GATA4	CYP17A1	C	1
414	GATA5	GAS6	E	1
415	GATA5	IFNE	E	1
416	GATA5	PRSS3	E	1
417	GATA5	WNT5B	E	1
418	GATA5	WT1	E	1
419	GATA6	CYP17A1	C	1
420	GATAD2B	KDM7A	E	-1
421	GATAD2B	KMT2A	E	-1
422	GBX1	KRT80	E	1
423	GBX1	NTRK2	E	1
424	GBX1	PRSS3	E	1
425	GBX1	SLC18A1	E	1
426	GBX2	AVPR1A	E	1
427	GBX2	KRT80	E	1
428	GBX2	NTRK2	E	1
429	GBX2	PRSS3	E	1
430	GBX2	SLC18A1	E	1
431	GCM1	PRSS3	E	1
432	GCM1	THSD7B	E	1
433	GCM2	ESM1	E	1
434	GFI1	GNAI1	E	-1
435	GFI1	NRXN1	E	-1
436	GFI1	TRPM6	E	-1
437	GLI1	NTRK2	D	-1
438	GLIS1	CPEB1	E	1
439	GLIS1	NTRK2	E	1
440	GLIS2	CCR10	E	1
441	GLIS2	CGNL1	E	1
442	GLIS2	CHST6	E	1
443	GLIS2	DCN	E	1
444	GLIS2	FLNC	E	1
445	GLIS2	FMOD	E	1
446	GLIS2	GAS6	E	1
447	GLIS2	MSLN	E	1
448	GLIS2	PRICKLE1	E	1
449	GLIS2	SLC16A2	E	1
450	GLIS3	CGNL1	E	1
451	GLIS3	FMOD	E	1
452	GLIS3	GRIK3	E	1
453	GLIS3	HMGA2	E	1
454	GLIS3	HOXC8	E	1
455	GLIS3	LRCH2	E	1
456	GLIS3	MSLN	E	1
457	GLYR1	KMT2A	D	1
458	GMEB1	JPH1	E	1
459	GMEB1	LRRC7	E	1
460	GMEB1	SGIP1	E	1
461	GMEB1	TFCP2	E	1
462	GMEB1	THSD7B	E	1
463	GMEB2	LRRC7	E	1
464	GMEB2	SCN3A	E	1
465	GRHL1	DUOXA1	E	1
466	GRHL1	KRT80	E	1
467	GRHL1	NTRK2	E	1
468	GRHL1	SCN3A	E	1
469	GRHL3	DUOXA1	E	1
470	GRHL3	KRT80	E	1
471	GSC	CCR10	E	1
472	GSC	SGIP1	E	1
473	GSC2	CCR10	E	1
474	GSX2	LRIG3	E	1
475	GSX2	OR2G3	E	1
476	GSX2	PRR4	E	1
477	GTF2B	DOCK4	D	1
478	GTF2B	NRXN1	D	1
479	GTF2B	THSD7B	D	1
480	GTF2B	UGGT2	D	1
481	HAND1	ASB15	E	1
482	HAND1	CLC	E	1
483	HAND1	SIX6	E	1
484	HAND1	WT1	E	1
