"1"	"GSM4849759"	"Beat AML project [09-00705]"
"2"	"GSM4849760"	"Beat AML project [10-00136]"
"3"	"GSM4849761"	"Beat AML project [10-00507]"
"4"	"GSM4849762"	"Beat AML project [10-00669]"
"5"	"GSM4849763"	"Beat AML project [13-00353]"
"6"	"GSM4849764"	"Beat AML project [14-00228]"
"7"	"GSM4849765"	"Beat AML project [15-00276]"
"8"	"GSM4849766"	"Beat AML project [15-00377]"
"9"	"GSM4849767"	"Beat AML project [15-00563]"
"10"	"GSM4849768"	"Beat AML project [15-00653]"
"11"	"GSM4849769"	"Beat AML project [15-00778]"
"12"	"GSM4849770"	"Beat AML project [16-00303]"
"13"	"GSM4849771"	"Beat AML project [16-01022]"
"14"	"GSM4849787"	"Beat AML project [10-00542]"
"15"	"GSM4849788"	"Beat AML project [10-00792]"
"16"	"GSM4849789"	"Beat AML project [11-00295]"
"17"	"GSM4849790"	"Beat AML project [14-00015]"
"18"	"GSM4849791"	"Beat AML project [14-00639]"
"19"	"GSM4849792"	"Beat AML project [15-00482]"
"20"	"GSM4849793"	"Beat AML project [16-00684]"
"21"	"GSM4849794"	"Beat AML project [16-01094]"
"22"	"GSM4849795"	"Beat AML project [16-01097]"
"23"	"GSM4849796"	"Beat AML project [16-01118]"
"24"	"GSM4849797"	"Beat AML project [16-01138]"
"25"	"GSM4849798"	"Beat AML project [17-00350]"
"26"	"GSM4849799"	"Beat AML project [17-00963]"
"27"	"GSM4849842"	"Beat AML project [16-00004]"
"28"	"GSM4849843"	"Beat AML project [16-01005]"
"29"	"GSM4849844"	"Beat AML project [13-00163]"
"30"	"GSM4849845"	"Beat AML project [15-00616]"
"31"	"GSM4849846"	"Beat AML project [16-01098]"
"32"	"GSM4849847"	"Beat AML project [13-00204]"
"33"	"GSM4849848"	"Beat AML project [13-00245]"
"34"	"GSM4849849"	"Beat AML project [13-00544]"
"35"	"GSM4849850"	"Beat AML project [13-00146]"
"36"	"GSM4849851"	"Beat AML project [16-00494]"
"37"	"GSM4849852"	"Beat AML project [15-00248]"
"38"	"GSM4849853"	"Beat AML project [16-00410]"
"39"	"GSM4849854"	"Beat AML project [12-00301]"
"40"	"GSM4849855"	"Beat AML project [12-00127]"
"41"	"GSM4849856"	"Beat AML project [16-00474]"
"42"	"GSM4849857"	"Beat AML project [14-00126]"
"43"	"GSM4849858"	"Beat AML project [15-00734]"
"44"	"GSM4849859"	"Beat AML project [15-00261]"
"45"	"GSM4849860"	"Beat AML project [14-00774]"
"46"	"GSM4849861"	"Beat AML project [14-00289]"
"47"	"GSM4849862"	"Beat AML project [14-00135]"
