"tf"	"target"	"weight_corr"	"weight_corr_scaled"
"ZBED2"	"RASSF6"	0.211138330735624	0.211138330735624
"FOXP2"	"SRBD1"	-0.2888244623908	0.2888244623908
"ZNF69"	"SIGLEC5"	-0.255313536296312	0.255313536296312
"IKZF2"	"ERCC2"	0.0586261603015965	0.0586261603015965
"FOXJ2"	"FOSL2"	-0.14265292953762	0.14265292953762
"ZNF587"	"ITPR3"	-0.0393357853519188	0.0393357853519188
"SCML4"	"SMAD4"	0.19867965477733	0.19867965477733
"E2F2"	"LILRB4"	0.778119309882365	0.778119309882365
"SETBP1"	"MED10"	0.0138687826576288	0.0138687826576288
"RARB"	"RB1CC1"	0.244006230492924	0.244006230492924
"NR5A1"	"RPS21"	0.65094629263262	0.65094629263262
"PCGF2"	"GEMIN7"	0.480191059262122	0.480191059262122
"DMTF1"	"SFT2D1"	0.142450297539141	0.142450297539141
"ZNF776"	"PLCXD1"	0.598275958560588	0.598275958560588
"ZSCAN23"	"SLC35B4"	0.844798155974913	0.844798155974913
"ZNF623"	"KRIT1"	0.614395358013185	0.614395358013185
"TTF1"	"SEMA4B"	0.321820163785762	0.321820163785762
"FBXL19"	"FBXO22"	0.617167249953475	0.617167249953475
"NFIC"	"AP1S3"	-0.0149316008347383	0.0149316008347383
"FOXJ2"	"FOXO3"	-0.204226766265644	0.204226766265644
"ZNF687"	"SNORD116-15"	0.422645770517347	0.422645770517347
"MAX"	"RASAL2"	-0.230351044595212	0.230351044595212
"RELB"	"HLA-G"	0.528980208190304	0.528980208190304
"RXRA"	"KIAA2013"	0.117863768126101	0.117863768126101
"ZBTB46"	"LINS1"	0.108966148802894	0.108966148802894
"ZNF510"	"SRFBP1"	0.23494710413939	0.23494710413939
"ZNF792"	"CSTA"	0.286080808991286	0.286080808991286
"ZNF474"	"PTX3"	-0.159519905150779	0.159519905150779
"ZBTB46"	"LIMK1"	0.215058834253557	0.215058834253557
"TIGD2"	"YIPF4"	0.0716543132469266	0.0716543132469266
"ZNF700"	"FRS2"	0.188725975312682	0.188725975312682
"ZSCAN21"	"CLSTN1"	0.655218285570124	0.655218285570124
"ZNF711"	"SART3"	-0.284759156322469	0.284759156322469
"E2F3"	"CCDC137"	0.524261394115859	0.524261394115859
"RELA"	"NDUFA11"	0.204126443811352	0.204126443811352
"ZNF165"	"UBAC1"	0.299082721922	0.299082721922
"THAP8"	"RAB33A"	0.562236747551284	0.562236747551284
"HOXA11"	"NUMA1"	0.29797168426145	0.29797168426145
"ZNF474"	"SLC16A8"	0.302860286176029	0.302860286176029
"SP140L"	"SPATS2"	0.37704527476628	0.37704527476628
"RBCK1"	"RELL1"	0.093501968878798	0.093501968878798
"ISL2"	"UTP20"	-0.504243610940221	0.504243610940221
"SREBF2"	"GJC2"	0.0405053938199936	0.0405053938199936
"MLXIP"	"FRMD8"	0.42812640130241	0.42812640130241
"SATB2"	"SNORD116-15"	0.36210816722437	0.36210816722437
"HEYL"	"PKD1L1"	-0.31560213982751	0.31560213982751
"LHX4"	"GPSM3"	-0.455948563320654	0.455948563320654
"ZNF334"	"CCNH"	0.479780894384382	0.479780894384382
"THAP5"	"ISOC1"	-0.405445428540811	0.405445428540811
"ZNF334"	"CDH3"	-0.281545029987227	0.281545029987227
"ZNF32"	"PHB2"	0.135016157073937	0.135016157073937
"ZNF546"	"LOXHD1"	-0.0817560520137951	0.0817560520137951
"TBX19"	"NAPSA"	0.12635395892004	0.12635395892004
"GATA3"	"CCDC146"	-0.195958231033876	0.195958231033876
"NR3C1"	"NR3C2"	0.457282553137532	0.457282553137532
"PRDM2"	"WASH3P"	0.412807155758506	0.412807155758506
"ZNF792"	"FAT1"	-0.0842207155484343	0.0842207155484343
"NCOA3"	"TBC1D13"	0.776762822029219	0.776762822029219
"ZNF329"	"SATB2"	0.542909441634062	0.542909441634062
"ZNF24"	"INSC"	-0.121356308252271	0.121356308252271
"PATZ1"	"XIRP1"	-0.194565417460844	0.194565417460844
"NPAS1"	"ZNF486"	-0.366555267085277	0.366555267085277
"RFX2"	"CHD6"	0.313564724141046	0.313564724141046
"ZNF365"	"KLRD1"	0.455562147709136	0.455562147709136
"CEBPA"	"INTS5"	0.367784795040884	0.367784795040884
"ASCL2"	"LTBR"	0.423831091498515	0.423831091498515
"VDR"	"SEC22C"	0.358914004531053	0.358914004531053
"ZNF268"	"POR"	0.197516308053093	0.197516308053093
"GTF2I"	"RCC1"	0.160315913382437	0.160315913382437
"ZNF681"	"LAMA2"	0.174038794743612	0.174038794743612
"GATA3"	"TNFRSF12A"	-0.207489159802274	0.207489159802274
"NFKB2"	"NUP54"	-0.426730944303414	0.426730944303414
"ZNF771"	"GPX2"	0.634768805291454	0.634768805291454
"ZNF35"	"ARGLU1"	-0.0914634556429517	0.0914634556429517
"ZNF831"	"TMPRSS3"	-0.696772557612504	0.696772557612504
"PPARD"	"SERPINA1"	-0.0289268617844236	0.0289268617844236
"GATA3"	"PLXDC1"	0.847300871271568	0.847300871271568
"CREB1"	"CPNE1"	0.0810279163684603	0.0810279163684603
"TCF3"	"LRRC3"	0.734928582831958	0.734928582831958
"STAT1"	"ADRM1"	0.326212524112706	0.326212524112706
"VENTX"	"NAGA"	0.512258636166715	0.512258636166715
"ZNF329"	"CS"	0.747934827017013	0.747934827017013
"AHDC1"	"VPS52"	0.505837050456791	0.505837050456791
"SLC2A4RG"	"OXSM"	-0.48414064697842	0.48414064697842
"ZNF845"	"DPP4"	0.0435711478538705	0.0435711478538705
"ZNF763"	"ADH4"	0.34975759650001	0.34975759650001
"ZNF667"	"ZNF300"	0.309032901137079	0.309032901137079
"ZNF667"	"ZNF467"	0.700043457034786	0.700043457034786
"RORA"	"PROM1"	0.164245446932776	0.164245446932776
"ETS2"	"PTPRN"	0.591509053346076	0.591509053346076
"EGR1"	"ZNF529"	0.296046627745505	0.296046627745505
"ZNF174"	"VPS13B"	0.0383068409322683	0.0383068409322683
"ZNF598"	"POLK"	0.611673680960196	0.611673680960196
"CBX2"	"WBP2NL"	0.0252540093591669	0.0252540093591669
"HEYL"	"DBI"	-0.126874292777662	0.126874292777662
"ZNF415"	"ZDHHC19"	0.84148106415164	0.84148106415164
"ZNF45"	"GJB7"	0.185954079762954	0.185954079762954
"ZNF628"	"BTBD7"	-0.141282484262896	0.141282484262896
"HOXB2"	"MSX2P1"	-0.198539588008611	0.198539588008611
"ZNF555"	"QTRT1"	-0.0182609565857402	0.0182609565857402
"ZNF624"	"MOV10"	0.323119478302657	0.323119478302657
"ZNF440"	"THOC3"	0.0436837157913085	0.0436837157913085
"ZNF699"	"SLC5A3"	0.399564576268068	0.399564576268068
"BAZ2B"	"TTC13"	-0.0344927079118935	0.0344927079118935
"SLC2A4RG"	"OIP5"	-0.522339217506754	0.522339217506754
"ZNF76"	"CC2D1A"	0.171861678924187	0.171861678924187
"MYB"	"PTGDR"	-0.177231961335416	0.177231961335416
"ZBTB24"	"SETDB1"	-0.14111395600771	0.14111395600771
"GATAD2A"	"PGAP1"	-0.461624845145049	0.461624845145049
"TRPS1"	"BCAS3"	-0.153239309507702	0.153239309507702
"RLF"	"TBCC"	0.0956494336037227	0.0956494336037227
"HMGA2"	"TMPRSS6"	-0.340615746256028	0.340615746256028
"EBF1"	"ADAM6"	-0.28530090939412	0.28530090939412
"YY1"	"KNG1"	-0.143984545261474	0.143984545261474
"HEYL"	"HBM"	0.211947610762609	0.211947610762609
"ZFP1"	"B3GAT3"	-0.204446867984713	0.204446867984713
"HEYL"	"LBP"	0.132336144221018	0.132336144221018
"ZNF644"	"ABCA12"	0.472498755786004	0.472498755786004
"MBD1"	"ITSN1"	-0.113070184814206	0.113070184814206
"ARID2"	"AEN"	0.117691761141807	0.117691761141807
"IRF1"	"TXLNA"	-0.632513107717423	0.632513107717423
"ZNF646"	"CMYA5"	0.282362946954376	0.282362946954376
"ZNF311"	"KLHL8"	0.141355494456998	0.141355494456998
"ZNF732"	"TAS2R43"	0.434682894377642	0.434682894377642
"ZNF683"	"FGFBP2"	-0.568269656661992	0.568269656661992
"ZBTB5"	"TTLL3"	-0.111887266524612	0.111887266524612
"GATA3"	"TSC22D2"	0.0754742350556015	0.0754742350556015
"ZNF570"	"PRSS12"	-0.10324124025332	0.10324124025332
"ZNF407"	"OMD"	0.172928532418496	0.172928532418496
"RHOXF2B"	"ATXN10"	-0.270519856388632	0.270519856388632
"ZNF585B"	"SMG6"	0.314866908052947	0.314866908052947
