node	agg	layer1	layer2	layer3	layer4
9361	1	0	0	1	0
9452	0.99788057046204	0	0	0.99823676742904	0
9488	0.993937951189075	0	0.0138302888400105	0.984235377411146	0
9438	0.967173476161286	0	0	0.968480002061608	0
9368	0.95930451511655	0	0	0.961336741180811	0
9935	0.953478146860629	0	0.00445517426818488	0.952095681767225	0
7591	0.943684901221221	0	0.000992613810689549	0.935193802505864	0
9380	0.935076986374835	0	0	0.937075913056659	0
9416	0.928934517630238	0	0	0.930951582093283	0
9390	0.927111306208187	0	0	0.929057198852625	0
9360	0.920702094895967	0	0.00352631230621499	0.920589203752302	0
9592	0.919761690287544	0	0.00139646061123685	0.921257407739903	0
9371	0.916783908123736	0	0	0.916577216397974	0
6059	0.914617317237404	0	0.0119263223858601	0.904513497023337	0
9631	0.913614205681175	0	0	0.915389725123992	0
9457	0.904245969184255	0	0	0.904312803134478	0
9366	0.896313112085412	0	0	0.898037357599211	0
9990	0.895235151422042	0	0	0.897086212390151	0
9512	0.894175482095841	0	1.64256966099681e-06	0.894043156277912	0
9376	0.889944743226413	0	0	0.891957534501517	0
5761	0.886154828070967	0	0.0453383307945418	0.874156763276057	0
9429	0.883954600226852	0	0.00710142058170286	0.878001057864817	0
6080	0.883060184782923	0	0.0468276264486145	0.871106991122136	0
10014	0.882242177700064	0	0	0.883668270243582	0
9393	0.881727370810631	0	0.0044747664465367	0.881580595579798	0
9501	0.875452144928706	0	0	0.877323501356108	0
9373	0.872320736251969	0	0	0.874256738050727	0
9442	0.871656048645033	0	0.00759624849921197	0.863581857450437	0
9401	0.871310588203568	0	0.00121616368943572	0.873100483381061	0
9399	0.868266469616162	0	0	0.869979912031324	0
9443	0.865657064087598	0	0	0.866761705597102	0
9387	0.860448778378581	0	3.70470555738959e-06	0.862298221024429	0
9410	0.857997485817945	0	0	0.860009092079249	0
9415	0.85731891731797	0	0	0.85932895864188	0
9445	0.856070952805801	0	0.000169325261699908	0.857903219992335	0
8604	0.855684209902123	0	0.00259694341240035	0.857207875717079	0
10040	0.855664750877377	0	0	0.857464294983299	0
9389	0.855601587859761	0	0.00150874189908427	0.856993152573867	0
9480	0.853665009164594	0	0	0.855586457965779	0
9656	0.853187735801869	0	0	0.855101213479012	0
9638	0.8501853406831	0	0	0.851967626836458	0
9385	0.847074044070448	0	0	0.849018180544414	0
9321	0.846193642383344	0	2.68942336499817e-05	0.84712819088546	0
9434	0.84554467120677	0	0	0.847541975563211	0
9697	0.843852858017685	0	0	0.845792270991384	0
7242	0.843274942238552	0	0.0151154092508018	0.840512558786328	0
9495	0.843212234539042	0	0	0.845120057789418	0
9477	0.841102016289504	0	0.00710769856977618	0.832281873375761	0
9414	0.838886969789422	0	0	0.840844970600882	0
9717	0.8374209046239	0	0	0.839359586696262	0
9607	0.833645429442967	0	0	0.835368021411261	0
9397	0.832357604828025	0	0	0.83399577689304	0
9476	0.83176396612755	0	0.000312481428857404	0.832587975648033	0
9612	0.826966430114152	0	1.06352973461383e-05	0.828686264888495	0
9460	0.825059292538042	0	0.00812355000376395	0.826029071553985	0
9988	0.823352004527463	0	0	0.824950212380727	0
9556	0.82037749734568	0	0.0017543443418335	0.822155702383628	0
9834	0.818868100020162	0	0	0.820761041633396	0
9468	0.816299703049102	0	0	0.81816320449914	0
6146	0.80493545793606	0	0.0290269362137824	0.797550002632834	0
6807	0.804056406430686	0	0.0217601845522787	0.792829960824009	0
9991	0.802036042422428	0	0	0.803642151582691	0
9640	0.801977453571992	0	0	0.802064351533669	0
5820	0.797799978090175	0	0.0166189226772105	0.783191713852819	0
9628	0.784283613748783	0	3.49729372696689e-06	0.785705342573291	0
9492	0.781059822531174	0	0.000567517367006174	0.782373132114595	0
9506	0.777090811622201	0	0.00169635299709152	0.778545144530599	0
9602	0.776176364878918	0	0	0.777863032057181	0
9504	0.769844609198172	0	0	0.77153387261767	0
9765	0.755235579509808	0	0	0.75671296247084	0
10162	0.75317369102872	0	0	0.754399979140425	0
10156	0.751780730142833	0	0	0.753274894675673	0
9936	0.750746531589713	0	0	0.752062331256302	0
9926	0.750373715817191	0	9.36364615078889e-05	0.751895850103622	0
9639	0.740100795213995	0	0	0.740168295022849	0
10174	0.739691103576552	0	0	0.74095299315602	0
9536	0.73908472636553	0	0	0.740680968819524	0
9951	0.725250460992595	0	0	0.726533156391194	0
9960	0.719344052064636	0	0	0.720837840862888	0
9537	0.716094863108331	0	0.00819090766102437	0.716572383694512	0
6462	0.714968953197151	0	0.00620556350469464	0.713777948159423	0
10052	0.690945696475224	0	0	0.692255447352745	0
9712	0.664799950718112	0	0	0.666089410650663	0
9585	0.657530180820606	0	0	0.658080730177793	0
9682	0.657023714278015	0	6.34763824419341e-05	0.657000201680027	0
9645	0.651518809701761	0	0.00195920577193033	0.651915886996936	0
5798	0.649111993969944	0	0.0358319680382846	0.639128078916066	0
9591	0.645986364757475	0	0	0.647303940708074	0
9600	0.640276648893602	0	0	0.640845324677451	0
9669	0.625122905074067	0	0	0.625086616180057	0
10285	0.623393301538376	0	0	0.624553822217923	0
9821	0.623145910200144	0	0.00088776207970205	0.622606442093092	0
9013	0.615669332780171	0	0.00745629513971471	0.61539832412376	0
9709	0.609415490901602	0	0	0.610702913008979	0
9626	0.609080515206219	0	0	0.610374126666453	0
9873	0.600756803029692	0	0	0.601446180983869	0
9615	0.599924965255686	0	0.00570821652719469	0.599721781427955	0
9647	0.596146775861733	0	9.45476799600091e-08	0.597245390010846	0
10138	0.59523878601676	0	1.08051779335823e-05	0.596070343214632	0
6033	0.593192256932494	0	0.012622872488657	0.59179052569895	0
9742	0.590125174662232	0	0	0.591331727801857	0
10329	0.5901191405217	0	0.000757423809367967	0.591255844360904	0
9727	0.587797233435028	0	0	0.589050325119565	0
9653	0.578276322935578	0	0	0.579446448421181	0
7201	0.568272213697379	0	0.014617250303744	0.564179643339296	0
10103	0.568123806662392	0	2.70316195044603e-05	0.569071379966685	0
8432	0.56657310481423	0	4.83891527815412e-05	0.567576929882097	0
9941	0.561825325428039	0	0	0.56297170683797	0
10185	0.553708414356556	0	0.00825349816123212	0.55410379512206	0
