	2260553_BL	2283265_BL	2480485_BL	2151503_BL	2010157_BL	2150901_BL	2210551_BL	2292915_BL	2382431_BL	2498789_BL	2512641_BL	2583919_BL	2616045_BL	4235533_BL
A1BG	0.0249662198419512	0.106905708803746	0.127027987189707	0.00807030992350833	0.00883885839983783	0.0015003278185178	0.00429182939986628	0.0260544956439995	0.0180517737069593	0.0392372696708993	0.0649137972454916	0.100550001326774	0.00627014992602431	0.0031730476927981
A1CF	0	0	0	0	0	0	0	0	0	4.93816537821157e-05	0	0	0	0
A2ML1	0.00192866378684092	0.00188251710061753	0.0016551387628313	0.00813004675645633	9.2524231440244e-05	0.000165666909541625	0.000160365341581435	0.00150708983915277	0.00155149804818329	0.000221320752084104	0.000220121430839543	0.0435730174218643	0.000433363278496186	0.000823111886477442
A2M	0.0229139413207247	0.00526996900183905	0.103439466797573	0.128114010002004	0.0166395654272253	0.443417106463752	0.000773903844660083	0.0246905533910799	0.0726989729764665	1.15614036861675	0.00306475335174554	0.791253462079917	0.0271638602013901	0.0244102764755741
A4GALT	7.07839183302897e-05	0	4.399980280257e-06	0.000301254077748615	0.00415627466199402	0.001207817442867	0.00137628720352558	0.0019528266397108	0.000876275699666702	0	0.00143835597464214	0.00190445975280419	0.000869924046486081	9.40693692957321e-05
A4GNT	0	0	0	0	0.000141925431397049	0	7.26699469470114e-05	0.000100781188027802	0	0	0.00033516568764327	3.40738562153112e-05	9.57878465135804e-05	7.13180032686088e-05
AAAS	0.85204908868279	0.147061165286237	0.19460974457406	0.549645027319761	0.484107646495335	0.111708356208	0.823578177784503	0.118459687001241	0.610034196919361	1.98709623902188	0.188777053505339	0.0334927676429031	0.343409687646499	0.134688709858443
AACS	0.00536362225376429	0.0228338514917862	0.00813048713624094	0.0891112523811052	0.0787947040663697	0.0147051815095092	0.0137871607623057	0.0888087345074106	0.202384159452962	0.00659598237392764	0.00943028547490832	0.875801497068287	0.0217622530176618	0.0185668920749302
AADACL2	0	0	0	0	0	5.88028326805275e-05	8.0082531117565e-05	0	0	0	0.000158411401420793	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	2.97494913147656e-06	0	0	0	0	0	0	0	0	0	3.68533766632974e-05	0	0.001352398079128	0
AADAT	0.000465380563467188	0.000785991862767959	0.00520252963697056	0.382256537457727	0.202578942444839	0.0505183831650753	0.000558158074348581	0.000181535683515849	0.0172125583863102	0	0.306393716346011	0.0394637724517633	0.00564907686804805	0
AAGAB	0.232145630086342	0.067743454640015	0.0652088131732307	0.913778240381268	0.0468641573966863	0.0903792537962483	0.086010156405802	0.210993888265675	0.191649132205527	0.0814829537209011	3.20310277453849	2.25528758166505	0.0921879451798387	0.0813191064252464
AAK1	0.853023454218171	0.192244933667627	0.0314769668439589	5.27267472914921	0.517488836346874	0.41079327812176	3.41667535828234	0.192336793394166	0.495789337097694	1.99115552240639	0.0546798961748053	3.17462770703853	0.0168114968898461	0.0277584342442055
