	2410163_BL	2450523_BL	2463247_BL	2247707_BL	2620771_BL	2430935_BL	2264225_BL	2297941_BL	2263055_BL	2150901_BL	2370233_BL	2502699_BL	2512641_BL	4128869_BL	4235533_BL	4259035_BL
ABCA1	0.00250112615570461	0.343458995223778	0.494333090132343	3.9567741138217	1.87675502616189	0.505320917810067	0.1626916872302	0.00300650571791864	0.419737344004591	0.446065312692675	0.0302130996822367	0.0355375645918245	0.0622624070599341	0.0519514966418717	0.0974900178026218	0.117365456283736
ABCA2	0.0558196531398651	0.391328558538039	0.566689552224517	1.25486967809465	0.994813233909554	0.342354659511729	6.98950755580343	0.392185210792218	0.229572768953644	0.399911400580326	0.0403033538560872	0.200370630231424	9.67758405835299	2.86837408437959	0.200612267996275	0.05423791651266
ABCA3	0.101221684386349	0.0105511777008006	0.0483770859105861	0.00164086593946964	0.0530375002878041	0.143138084039297	0.719694745917883	0.403144748309952	0.0565925386549559	0.0377320428780697	0.00995760696255538	0.0678557130805992	0.0293760565185926	0.00410615652341496	0.0130487282880696	0.0129407904860099
ABCA4	3.50410365646111e-06	9.00081374700849e-05	0.00049159048889863	0.000447461623710308	4.54790810613964e-05	0.000175493861169615	0.000776928477061406	3.86875785101056e-05	0.000370891381594699	0.000163542087189396	0.000416751920125313	0.000730255761497489	7.16623006427394e-05	0.00809213396999907	0.00036430659090791	0.000255549993725522
ABCA5	0.0081402827922093	0.0112627659113765	0.278776006535756	0.46896843216614	0.00229504032871942	0.0145746165453123	0.156521257508946	0.00502251295512365	0.0241810140014958	0.0668564905424334	0.00988124096149756	0.00224235409018153	0.0041248057762158	0.0487856444729936	0.00704391101474326	0.00189515252333088
ABCA6	0.000279768010727865	0.000716707328603632	0.0171447695419511	0.19462941469786	0.000209190840678042	0.000257604012433288	0.0108769986788597	0.18997222553159	0.000560893641686416	0.0160706287640408	0.000739123493406103	9.70414595741597e-05	0.000974607288741259	0.00552857358151018	0.000284452455833779	0.0197129992805939
ABCA7	0.554990432706283	0.122284767065591	0.456360876178043	0.414814418157675	0.134793828859771	0.179518860198382	3.52957715716653	1.93856228313407	0.0888377686398345	0.0639356291125255	0.0369533743030952	0.0253612631306401	0.0671556887324549	0.693725883313966	0.172106920459341	38.6795452712801
ABCA8	0.00115463031094475	3.59325741573175e-05	0.000977236618382547	0.000102581675692219	0	0	0	0	0	0	0.000623497033455281	9.45909465823758e-05	1.76536447695402e-05	0.00233595548792384	5.62100631560572e-06	0.000257196518967319
ABCA9	0.0161771888290842	0.000702165098082641	0.00267322886340219	0.00731499436420079	0.000578889507860615	0.00100978058543155	0.0129512762712581	0.00194525613489464	0.000986113092633897	0.00925301593585438	0.00276156361083789	0.000675233238667129	7.80522104676587e-05	0.000655081594814984	0.00131585056336021	0.036133876650897
ABCB10	0.260131077334483	0.0579979431490679	0.230823923130075	0.150801513188949	0.0550416338799407	0.26659227045404	1.36084202280486	0.0675439794692321	0.202022082487352	0.0309632811141067	0.188819470110275	1.55939763910233	0.0647982528891639	0.161938521390751	0.0254075309066646	0.839046523374492
ABCB11	0.000159740723804025	0.000317291359889007	0.000238544281723803	7.23808886326944e-05	0	0.00494575167732628	0.000199739190524328	0	0.00144241840836244	0.000900960998828967	0.00216215445499711	1.09006337742384e-05	4.4015029802944e-05	0.000632227511770171	0	4.5057721272786e-05
ABCB1	0.0166669037351196	0.841686855936786	0.233667527017838	0.144973352016141	1.23799784743102	0.529746135217013	1.45172677469029	0.360803503735009	13.0328964714731	0.252337608235487	0.0124220170760617	0.237784277218848	0.00596401298582576	1.67885436733912	0.233941654782544	0.0976152260900998
ABCB4	0.00118593317620837	0.432866931312912	0.0270305733416065	0.0173841746406414	0.00109543350995916	0.0006227553646758	0.0258812670237761	0.00630921674604778	0.0165528953169837	0.015860921235663	0.066943541783542	0.00114693309954764	0.0133778962802098	0.204275443879329	0.00214288312075278	0.0107793369041566
ABCB5	0	0.000340614728783538	0	0.000351877589332141	0	0	6.75680682210751e-05	0	0.0988746018011089	6.34450918874163e-05	0.000760405388567713	0.00237048532312048	0.000779685830993008	0.000327735778375748	1.48062106489801e-05	0.00462651446361782
ABCB6	0.278962554171363	0.00930154247380086	0.0707027871525929	0.0821032942444872	0.0255951388131802	0.00733250105480523	0.181232328202883	0.00233488241642301	0.436169674894692	0.00843504439789403	0.0482987968842481	0.164258591939248	0.0378664514841202	4.05715392068586	0.00832822915815343	0.175032235904947
ABCB7	0.733114526545714	1.2277712174787	0.256756860586055	0.167885795427787	0.536389970685937	0.287387762973636	0.373251350753825	0.180718898784633	0.144735054579432	0.120217968766082	0.0553644564670002	0.453706224742712	0.104026787170517	0.287253988289136	0.0321463662732804	0.252076776126023
ABCB8	0.00961911489929074	0.00647490425602686	0.263498135694562	0.357321841583261	0.0566904997440926	0.00314174167152865	0.0439293366029261	0.084663841039725	0.0360813435377694	0.00499793561757322	0.0189609383379958	0.00764826034735977	0.0673768710568328	0.173778842502845	0.00122026937106058	0.0577170933536948
ABCB9	0.00399110959267312	0.00446919504065351	0.00170585402032025	0.01281007286508	0.0064129723432802	0.000623918004573582	0.0140672594739707	0.0123778673605426	0.0219434015230296	0.0024030771632791	0.00765605774456385	0.0314164202496134	0.00847195640495769	0.0267974266588909	0.0436004220979845	0.0110172607771825
ABCC10	0.116448015068562	0.0532187368293117	0.00588327180403338	0.267486661246577	0.0766302624770654	0.0423748871707989	0.233016609544484	0.0738758887223205	0.0628948795888786	0.106820644442717	0.231464531989558	0.0212224856122019	0.102204064728076	0.0186261140093105	0.0453881175081427	0.206982083105861
ABCC11	0.000188798975771138	0.000123281764443185	1.71847221757248e-05	0.000233724898407483	0	2.31913385344905e-05	0.00250388574321015	0.00106572633319196	0	0	0.000106740692824212	0	0.000102260721945014	9.5383892632996e-05	0.00102491665493635	0.000412302847859244
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0.00234298873244342	0.000180140504319794	0.00129006946033151	6.83767298242864e-06	0.00924756493773042	0.0120842040125825	0	0.00538943038280837	0.000388088452681233	0.00820360978174032	0.0421610833548289	0.00535873182522422	0.00116678803164303	0.000106570290598559	0.0461399567886515
ABCC1	4.76774837923205	0.580682426805296	0.0933339828351569	0.813193989069503	0.175175409163007	0.137486967272871	17.5684815672422	2.80210115098377	1.02518550553263	0.572387808815205	1.28635533139577	17.0204000926513	1.84163066919642	0.190644675574592	0.678286609248443	2.42282352892698
ABCC2	0.0230848528282167	0.00415243793015547	0.0181116605387799	0.0194497562138585	0.0221267245154475	0.0341689050645615	0.908959072511212	0.0907846346442944	0.317986856843609	0.0319317469752419	0.00277906302129274	0.0344104606665346	0.00791375072298606	0.00499787994863749	0.0373826123220651	0.048906533070556
ABCC3	0.00213004589352692	0.00925119785712222	0.011243167973611	0.00956910301285281	0.00184988770286044	1.2704123423452	0.182467105758157	0.121008314522947	0.0301868824673461	0.00270810573278539	0.00309428937258922	0.00218380198481113	0.000170460230229544	0.000666059877200007	0.000191942827202906	0.0921671720763972
ABCC4	0.00998622160535664	0.0419445777572489	0.0687385123894855	0.0451668114385531	0.0617400031803444	1.65013196869113	0.10193444850416	0.106836649325776	0.449192977971341	0.453878176419996	0.063109808720591	0.150516726248229	0.0158203182724127	0.113772629075575	0.0439760915254499	0.296115905332509
ABCC5	0.203413026277425	0.322933814240669	0.201174827969703	0.0635435782462318	0.0837992004264319	0.117837076998621	0.0103313302514428	0.122594420034915	0.928573965498869	0.0166628941385748	0.0386147685256467	0.26934121630793	0.0669869894770759	0.19384645441658	0.110214533540443	0.13534828022795
ABCC6P1	0.0465038010674179	2.31510614013638e-05	0.000172008551798027	3.35734875654633e-05	0	0.00733768277509311	7.1623861816382e-05	3.68662983524224e-05	0	0.00295393184672274	0	3.04785089104086e-05	0.0063448728177042	0	0	0.000162851522697159
ABCC6P2	0.00155589646573154	0	0	0	0	0.000683158165693059	0	0	0	0	0	0	0.00100511985579209	0	0	0
ABCC6	0.0633787694404804	0.0162703896468413	0.0135591505818713	0.0131209291927008	0.00172698001976152	0.0117578291991885	0.00736970362334163	0.00559707251801011	0.0502324067156694	0.0151743099226551	0.0138406351990879	0.00379999524839134	0.240780875502926	0.0194786060437314	0.0807825878981101	0.0445473713651947
ABCC8	0.000557592064273291	0.00121927629936468	0.006818088584509	3.61451509398084e-05	0.000658618003468468	0	3.14919095988164e-05	0	2.22765741218022e-05	2.21429084664363e-05	0.000175015914544252	0.000152508063460892	1.30375627538044e-05	7.20162416793838e-05	4.45138277922715e-05	0
ABCC9	0	0	0.00115300327839034	0	0	0	4.86791013376751e-06	9.4830462765728e-05	0.000140859196418412	0.000863484349241136	0.00012061605430769	0.000139296617497636	0	5.63056045536535e-05	4.44912445505323e-05	0.000494521698843571
ABCD1	1.32186753648345	0.051587588126642	0.131774305960416	0.0700852548294003	0.0591252041098323	0.418549643420942	0.0102064526305461	0.0313926592174099	0.00776734265693157	0.245720627679083	0.00819897791139533	0.0332495915177619	0.0133147490910204	0.0093588745175596	0.101890119221633	1.92470490063184
ABCD2	2.33781181714229e-06	0.00831609257013886	0.00302119304711538	0.00215497175720982	0.000750040202348726	0.0155861774020839	0.000683773836466251	0.0347612322989399	0.000194795636603668	0.0754384791638175	0.0203293174073719	0.0012329533906294	0.000245908538430429	0.00478189682041548	0.00584962371561329	0.00465571417622019
ABCD3	0.11491619097608	0.0687960044578814	0.442715097837098	0.287728537881224	0.240843314520021	0.0802601421351553	0.310027595711168	2.95575226717259	5.82375060476162	0.206074088035511	0.34234943381352	0.131798993175425	0.0539526605894104	0.0527297267167401	0.918794769644995	0.316978429434187
ABCD4	0.0508043521155573	1.89830512481134	0.147761531524776	0.0733019956828268	0.223388564273965	0.0625167432576054	0.0259013103643038	0.0345464726492716	0.576554041506081	0.173897279265086	0.423403757668525	0.0240643653925348	0.00437810721394108	0.104270202298548	0.0975300763098382	0.232425062187066
ABCE1	0.00814333163095662	0.0267602116150584	0.172921446324668	0.0506614941511275	0.127923850851209	0.366413065053972	0.278236569732976	1.10512369050331	2.85505826978379	0.102820857654951	0.0631581458087645	0.0574052009814806	0.0276759510793887	0.282411243882686	0.084943966595746	0.241385128424652
ABCF1	1.42284988085113	0.292220754054169	0.21896108227567	0.266276778682975	0.738239990797095	0.0994334071997674	0.55344935904116	4.28083730392501	1.51233919748325	0.182983971489648	0.0878622787467729	0.177170008161101	0.373784185340848	1.91578197345987	0.1663476778935	0.490687649545992
ABCF2	0.0224578800184921	0.0871277301958386	0.338501051666881	0.430479216863707	0.0702703474984375	0.00957270830197974	0.320177774886127	0.96242969669164	0.102120454475089	0.0387629137429309	0.0566542463962108	0.084562617388762	0.10316009499815	0.778871936399854	0.0886142020128015	0.143215444508868
ABCF3	0.0541769763241351	0.0122702809599731	0.231470287939523	0.0440890617440971	0.0551039066097383	0.383323743063957	0.285115408928031	3.37644898640413	0.0286523511065525	0.462646469120699	0.248302770044544	0.323431223166557	0.120874915450725	1.04770214850778	0.0729903721693425	0.248751188788164
ABCG1	0.0250458189983354	0.165800211313638	0.0958174102510596	0.350505926919883	0.343174570502723	0.195970998799857	0.00932087590686847	0.0657725875670941	0.00910297194797738	0.248504585115341	0.0138872741910567	0.0199732256282217	0.0764275467144153	0.125159756963898	0.0336290054409304	0.191915402364784
ABCG2	0.0143272513859782	0.0281825793569791	0.00568349304997246	0.00316963682387458	0.0104939249838272	0.26089974744168	0.00206127648296062	0.00093092112082174	0.0521126280432599	0.00157679987750565	0.0672193717699936	0.630398394874658	0.029411837763767	0.0241733819188855	0.00233288021726046	0.109890624844489
ABCG4	0	0	0	0	8.6645215362718e-06	0	4.5482241242865e-06	4.04404023604314e-06	0	0	0.000131550979104028	0.000190917287262866	0	0	0	0
ABCG5	0.00202869402324897	0	0.000362038157143965	0.00428117733687439	0	0	2.14234708075361e-05	1.69329527222062e-05	0	0.000180323030509558	3.88465392572942e-05	0	0.00553227373258196	8.35687464732977e-05	0.00051578374650226	0.000650329905328531
ABCG8	0.00165610461686588	7.04225187159782e-05	0.00022919351077259	2.74100080336925e-05	0.00073793844588722	0.00102339482526128	4.38864671922565e-05	1.71123340198926e-05	0.000676008345465461	0.000687617547665392	0.000362478835102457	0.000626853520229346	0.000571630482399157	5.10239715597387e-05	5.7118371793763e-05	0
ABHD10	3.9320813056122	0.166214979533577	0.141363805804804	0.0100605253206019	0.0714890959902707	0.0247813964439505	0.0983273997313202	0.0190841579498543	0.0361208411824509	0.0292224690929159	0.0362393808902948	0.10681961961213	0.421019220965087	0.0126095087331521	0.0418200142359613	0.06181952695113
ABHD11	0.00324577213628386	0.009785509195809	0.0101393033570438	0.0289745564784182	0.000750976227616676	0.0705047793789886	0.00423485086143657	0.00692942220836427	0.00836969576033572	0.00199064980205946	0.0169502222207016	0.00594672142738416	0.0218525807924925	0.018585469986765	0.0182770256047331	0.0270327650379599
ABHD12B	0.00203258156589768	0.0242109345681481	0.0199513281377556	0.020391797034271	0.0655191491756133	0.085519743424021	0.00444665287417855	0.00391356277542788	0.00155762519728553	0.0271853854237324	0.00354193300870085	0.00159663647614617	0.00924293893074688	0.00150490743166076	0.010205252622341	0.0178433146051898
ABHD12	0.0202260261865236	0.0939303739590611	0.372632201841736	0.526186865353922	0.598620626845216	0.00832557812122117	0.451226652059286	0.750896102307769	0.179910726298981	0.0690007481529673	0.208350775927694	0.0600655072945131	0.295633329427085	0.0992433982323154	0.0472429271411174	0.227422021101892
ABHD13	0.00963782237732318	0.0227610409518388	0.0603651469906375	0.0942216313312316	0.0516033421715787	0.126754617359924	0.287642402926629	0.146086222210295	0.0394860273726282	0.0340440175860567	0.000585324157101539	0.505697726591007	0.856454897429242	0.0147652556937898	0.068923977271459	0.0438659599607635
ABHD14A	0.00272296129639153	0.0165217884708866	0.010315776952513	0.0100713706376171	0.00261063842076198	0.00584250891163175	0.0130075726924263	0.00753811895476513	0.00482042069607437	0.00204322676782331	0.00727887746838078	0.00485218748603067	0.047326297498753	0.0152989694574767	0.0259083036511212	0.00674293301168113
ABHD14B	0.00632672014578434	0.0114752191135083	0.0176282388328951	0.0679878464855381	0.0564979266041259	0.00861698542351595	0.0742022896772502	0.0295945905095465	0.0110366045658667	0.0433986416112635	0.102418161019063	0.0230011003849347	0.0688021274054219	0.0135056870744236	0.00521932134429152	0.0266378546126822
ABHD15	0.050511913661923	0.0047099963594386	0.00676887138819763	0.0265363702403776	0.00812529459271888	0.107121555851606	0.0471654716992786	0.00848500293120697	0.0284601057461095	0.0149061314887092	0.0292751886384565	0.00735720475110102	0.062806037395616	0.00137727731436272	0.465413940929256	0.0415340251002497
ABHD1	0.00214377251983859	0.00326831382499245	0.00209611076710411	0.000532686626550253	0.0021621224367202	0.00172845822228577	0.0246025991971261	0.00326864973758502	0.000637652764123752	0.0159181725418268	0.0959069940395149	0.00100307590358064	0.0171593508186413	0.00195807476363565	0.00986868146771447	0.0034940801021161
ABHD2	0.091035841584399	0.107568738831582	0.181666046687482	0.0144178256016682	0.072219916373683	0.0165660416573207	0.777450577416788	0.242714902931891	0.0159458820980377	0.0791254098070291	0.784437846986073	0.599324258595149	0.682256432777992	2.81229186300595	0.564255484839355	0.573188824585057
ABHD3	0.00680791094204116	0.0230697875064603	0.0176832699472332	0.00338616807875759	0.019064114418159	0.169849291455844	0.0946565879057554	0.124686181331672	0.00910400024126849	0.203721265194927	0.0282720057945632	0.011538668359127	0.0914960293116147	0.0924451868507966	0.0367783071553264	0.081204357036179
ABHD4	0.00209794002646716	0.0666887990816492	0.00433132413046156	0.000832578321051214	0.049123340649591	0.239635591312004	0.0914237419857607	0.0299075691366066	0.0782417198078715	0.143928199198492	0.0200461185956743	0.0347929054053224	0.189437044038545	0.00901949594743935	0.0218250404007542	0.128385378186995
ABHD5	0.00653906423736899	0.042755479145737	0.131058424437056	0.00586554346934943	0.0306430962493689	0.110409151440586	0.18490975778513	0.330298170349264	0.232328059750277	0.792449024265043	0.171548922637095	0.017449366955293	0.0772729441393685	1.05759574443544	0.0465019721728741	0.0717162978408907
ABHD6	0.00290215540062694	0.000836405125726193	0.00391523815849766	0.000566849533891575	0.00353744019401129	0.0848648936817622	0.0143323988116466	0.0122852495809801	0.012396085965688	0.0434018795938512	0.00215594189254719	0.0151101069794695	0.000990409660516523	0.00235491402949856	0.000925187704493754	0.014717766635527
ABHD8	0.0045085198580322	0.00878575442817916	0.06218593723546	0.00073816292316398	0.0119089321672589	0.00502228773639598	0.0348888774156379	0.00940249797909434	0.00205407466932156	0.0355518488942489	0.00518494966611795	0.0378261490849969	0.00935649334963179	0.018236776722622	0.0111420549256012	0.0287195307849791
ABI1	0.532644790463119	0.0256102163114764	5.76077830468788	0.289878717110754	0.715009640241272	2.85345576693291	0.581137855772435	0.809436314230791	0.24744420614088	0.240329181557253	0.112993719178651	0.0654322919635234	0.125899032807185	0.13416757901306	0.763541932660676	0.642703999669198
ABI2	0.0220248727057548	0.00122529884794378	0.0244733340483361	0.0110337519716182	0.0825816372814593	0.0690742773964445	0.0230993036672396	0.0615383595575051	0.0160667473193849	0.0878982266999778	0.0567539615178007	0.0368043056603115	0.0262311513362066	1.77438826265641	0.0394357271977553	0.0852268504367207
ABI3BP	0.0151472916341617	0.00148687052376094	0.00434035625216215	0.00053470293222216	0.00207840244676743	0.0078314058440675	0.00112691586402581	0.0239172109484757	0.0230202401985138	0.00258255686100117	0.00566642741836963	0.00259537025891051	0.00248480165638565	0.00996554798747637	0.00162727061631971	0.00397670077830279
ABI3	3.47777756607169e-05	0.0256933088002634	0.00169671134776682	0.0018418324243997	0.0158402663093392	0.211354475312097	0.00544789356453822	0.177769416427118	0.00715565218104578	0.208818914480887	0.0420268772190064	0.0377681395273069	0.0106545115555111	0.00428547721280684	0.00294724619767765	0.0683860248815662
ABL1	0.0361515637103727	0.159973681404018	0.0448563994139356	0.0711168830710926	0.83330147353583	0.247208042932777	0.142676575308013	0.770670902769678	0.131957726170156	0.7939979398139	0.584001476535353	0.208348023066693	0.77748900845105	0.0162872917981418	0.150657776567305	0.366651033105288
ABL2	0.115510482942378	0.102260031223729	0.0231280999928619	0.00368315212887492	0.0576081019655778	0.229689423493932	0.0196636556109607	1.41600751933652	0.0496898293081951	0.0488593814026493	0.451807121307666	0.0411553621329741	0.0333394335345507	0.132461950043655	0.304641788144399	0.147522371696815
ABLIM1	3.34916142070462	0.0292240924606709	0.00860583090515581	0.0144360171702178	0.0187214722046147	0.155281147029042	0.0730667394568814	0.183555815851066	0.646362869403984	0.0253528241457224	0.157955103795443	0.01855440654822	0.00371900209399215	0.0321879595855056	0.678086571714636	0.566199049780188
ABLIM2	0.000494614457750645	0.00102922337984452	0.0115207300990623	1.92830836026065e-05	2.09070796747061e-05	0.000195266298918604	0.000207781969442108	0.0492972623845309	1.00692032250328e-05	0.00343287949863758	0.000528967100398562	2.86646583153017e-05	0.000114723106009592	8.16914418724418e-05	0.000639421743591352	0.00138185592554058
ABLIM3	0.000285479196575287	0.00023287596624582	0.00667119671318443	0.000199220393978133	0.00193816180008488	0.147472169442395	0.00414302481500996	1.14678888603919	0.000886984259126494	0.00319910886198159	0.00217491142982389	0.000440430466982504	1.67896170577138e-05	0.000326619971620508	0.000462291471447306	0.0677368923550214
ABO	1.71300893132179e-05	0.014784529866513	0.00108837809414166	0.00563032196402465	0.146338990097745	0.000796461946251003	0.00475014683050869	0.116507394958111	0.0208806739709914	0.036297299314266	0.00376369852325787	0.0261362074527159	0.0019445073123212	0.270149770849052	0.109108442266255	0.23771299674855
