source	target
TTLL10	TTLL10-AS1
TTLL10	MIR429
TTLL10	MIR200B
TTLL10	MIR200A
TTLL10-AS1	MIR429
TTLL10-AS1	MIR200B
TTLL10-AS1	MIR200A
MIR429	MIR200B
MIR429	MIR200A
MIR200B	MIR200A
UBE2J2	LINC01786
UBE2J2	TTLL10
UBE2J2	TTLL10-AS1
LINC01786	TTLL10
LINC01786	TTLL10-AS1
TNFRSF18	TNFRSF4
TNFRSF18	TTLL10
TNFRSF18	TTLL10-AS1
TNFRSF4	TTLL10
TNFRSF4	TTLL10-AS1
MIR429	TTLL10
MIR429	TTLL10-AS1
MIR200B	TTLL10
MIR200B	TTLL10-AS1
MIR200A	TTLL10
MIR200A	TTLL10-AS1
TTLL10	TNFRSF18
TTLL10	TNFRSF4
TTLL10-AS1	TNFRSF18
TTLL10-AS1	TNFRSF4
TTLL10	UBE2J2
TTLL10	LINC01786
TTLL10-AS1	UBE2J2
TTLL10-AS1	LINC01786
MXRA8	DVL1
MXRA8	PUSL1
MXRA8	MIR6808
MXRA8	ACAP3
MXRA8	INTS11
MXRA8	TAS1R3
MXRA8	CPTP
MXRA8	MIR6727
DVL1	PUSL1
DVL1	MIR6808
DVL1	ACAP3
DVL1	INTS11
DVL1	TAS1R3
DVL1	CPTP
DVL1	MIR6727
PUSL1	MIR6808
PUSL1	ACAP3
PUSL1	INTS11
PUSL1	TAS1R3
PUSL1	CPTP
PUSL1	MIR6727
MIR6808	ACAP3
MIR6808	INTS11
MIR6808	TAS1R3
MIR6808	CPTP
MIR6808	MIR6727
ACAP3	INTS11
ACAP3	TAS1R3
ACAP3	CPTP
ACAP3	MIR6727
INTS11	TAS1R3
INTS11	CPTP
INTS11	MIR6727
TAS1R3	CPTP
TAS1R3	MIR6727
CPTP	MIR6727
PUSL1	DVL1
PUSL1	MXRA8
MIR6808	DVL1
MIR6808	MXRA8
ACAP3	DVL1
ACAP3	MXRA8
INTS11	DVL1
INTS11	MXRA8
TAS1R3	DVL1
TAS1R3	MXRA8
CPTP	DVL1
CPTP	MXRA8
DVL1	MXRA8
MIR6727	MXRA8
MXRA8	282
DVL1	282
RNF207-AS1	RPL22
RNF207-AS1	RNF207
RNF207-AS1	CHD5
RPL22	RNF207
RPL22	CHD5
RNF207	CHD5
ICMT	ICMT-DT
ICMT	RNF207-AS1
ICMT	RPL22
ICMT	RNF207
ICMT-DT	RNF207-AS1
ICMT-DT	RPL22
ICMT-DT	RNF207
ACOT7	RNF207-AS1
ACOT7	RPL22
ACOT7	RNF207
KLHL21	PHF13
KLHL21	RNF207-AS1
KLHL21	RPL22
KLHL21	RNF207
PHF13	RNF207-AS1
PHF13	RPL22
PHF13	RNF207
CHD5	RNF207-AS1
CHD5	RPL22
CHD5	RNF207
GPR153	RNF207-AS1
GPR153	RPL22
GPR153	RNF207
HES3	ICMT-DT
HES3	RNF207-AS1
HES3	RPL22
HES3	RNF207
RNF207-AS1	ICMT
RNF207-AS1	ICMT-DT
RPL22	ICMT
RPL22	ICMT-DT
RNF207	ICMT
RNF207	ICMT-DT
NOL9	RNU6-731P
NOL9	PLEKHG5
RNU6-731P	PLEKHG5
TAS1R1	PLEKHG5
ZBTB48	TAS1R1
TAS1R1	ZBTB48
RNF207-AS1	KLHL21
RNF207-AS1	PHF13
RPL22	KLHL21
RPL22	PHF13
RNF207	KLHL21
RNF207	PHF13
TAS1R1	KLHL21
TAS1R1	PHF13
NOL9	KLHL21
NOL9	PHF13
RNU6-731P	KLHL21
RNU6-731P	PHF13
NOL9	THAP3
RNU6-731P	THAP3
TAS1R1	THAP3
TAS1R1	CAMTA1-DT
RNU5E-1	RNU5E-4P
RNU5E-1	NPPA
RNU5E-4P	NPPA
NPPB	NPPA
NPPA	NPPB
NPPA	RNU5E-1
NPPA	RNU5E-4P
NPPA	PLOD1
CNKSR1	CATSPER4
CNKSR1	CEP85
CATSPER4	CEP85
LIN28A	CEP85
5704	CEP85
YARS1	S100PBP
YARS1	BSDC1
S100PBP	BSDC1
BSDC1	YARS1
BSDC1	S100PBP
INPP5B	MTF1
INPP5B	RNU6-584P
RNU6-584P	INPP5B
RNU6-753P	8401
C6orf136	COL9A2
TMEM125	EBNA1BP2
TMEM125	TIE1
EBNA1BP2	TIE1
TMEM125	MED8
TMEM125	MED8-AS1
EBNA1BP2	MED8
EBNA1BP2	MED8-AS1
MED8	MED8-AS1
TMEM125	SZT2
EBNA1BP2	SZT2
RNU7-80P	RNU6-1031P
RNU6-1031P	RNU7-80P
BRI3BP	CSDE1
TARS2	CA14
TARS2	CIART
TARS2	MRPS21
CIART	MRPS21
TARS2	ECM1
TARS2	ARNT
TARS2	CTXND2
TARS2	RPS27AP6
ARNT	CTXND2
ARNT	RPS27AP6
CTXND2	RPS27AP6
MRPL9	OAZ3
MRPL9	SELENBP1
OAZ3	SELENBP1
MRPL9	CGN
OAZ3	CGN
MRPL9	TUFT1
OAZ3	TUFT1
RORC	TUFT1
MRPL9	MIR554
OAZ3	MIR554
MIR554	TUFT1
RORC	CELF3
RORC	RIIAD1
CELF3	RIIAD1
SELENBP1	MRPL9
SELENBP1	OAZ3
CGN	MRPL9
CGN	OAZ3
TUFT1	MRPL9
TUFT1	OAZ3
THEM4	MRPL9
