source	target
DBT	MFSD14A
MFSD14A	SASS6
SLC30A7	SASS6
RNU6-750P	SASS6
27193	SASS6
DBT	SASS6
CDC14A	TRMT13
DBT	TRMT13
DBT	27305
SHF	DBT
DBT	MIR553
MFSD14A	SLC30A7
MIR553	SLC30A7
DPH5	DPH5-DT
DPH5	SLC30A7
DPH5-DT	SLC30A7
SASS6	SLC30A7
AMY2B	RNPC3
AMY2B	COL11A1
RNPC3	COL11A1
2185	PEX14
2185	DFFA
PEX14	DFFA
CENPS	CENPS-CORT
CENPS	PEX14
CENPS	DFFA
CENPS-CORT	PEX14
CENPS-CORT	DFFA
PRMT6	29517
SEMA6A-AS1	29641
FAM102B	HENMT1
SLC25A24	HENMT1
SLC25A24	PRPF38B
GPSM2	29970
TMEM167B	TMEM167B-DT
TMEM167B	29970
TMEM167B-DT	29970
RNU6-213P	29970
CLCC1	AKNAD1
CLCC1	STXBP3
AKNAD1	STXBP3
GPSM2	SPATA42
GPSM2	AKNAD1
SPATA42	AKNAD1
TAF13	TMEM167B
TAF13	TMEM167B-DT
SPATA42	ELAPOR1
SPATA42	CFAP276
AKNAD1	ELAPOR1
AKNAD1	CFAP276
ELAPOR1	CFAP276
SCARNA2	ELAPOR1
SCARNA2	CFAP276
CLCC1	ELAPOR1
CLCC1	CFAP276
SORT1	30108
ATXN7L2	CELSR2
SORT1	CELSR2
SYPL2	CELSR2
GNAI3	CELSR2
PSMA5	CELSR2
PSMA5	PSRC1
SORT1	PSRC1
PSRC1	SORT1
CELSR2	ATXN7L2
GPR61	CYB561D1
GNAI3	CYB561D1
EPS8L3	GPR61
CYB561D1	GPR61
GSTM4	GPR61
STRIP1	GPR61
AMPD2	GPR61
GSTM4	GNAI3
STRIP1	GNAI3
AHCYL1	GNAI3
AMPD2	GNAT2
AMPD2	GNAI3
GNAT2	GNAI3
EPS8L3	GNAI3
GNAI3	AMPD2
GNAI3	GNAT2
EPS8L3	AMPD2
GPR61	AMPD2
GPR61	GSTM4
EPS8L3	GSTM4
GSTM4	GSTM3
GPR61	EPS8L3
AHCYL1	EPS8L3
AMPD2	EPS8L3
GSTM4	EPS8L3
GNAI3	EPS8L3
CSF1	30264
AMPD2	30264
GSTM4	CSF1
GNAI3	AHCYL1
EPS8L3	AHCYL1
GPR61	STRIP1
GNAI3	STRIP1
MTOR	2204
UBL4B	30306
LINC01397	ALX3
ALX3	LINC01397
GPR61	UBL4B
STRIP1	UBL4B
30306	UBL4B
ALX3	UBL4B
LAMTOR5	LAMTOR5-AS1
LAMTOR5	KCNC4
LAMTOR5	KCNC4-DT
LAMTOR5-AS1	KCNC4
LAMTOR5-AS1	KCNC4-DT
KCNC4	KCNC4-DT
PROK1	LAMTOR5-AS1
PROK1	KCNC4
PROK1	KCNC4-DT
RBM15	RBM15-AS1
RBM15	LAMTOR5-AS1
RBM15	KCNC4
RBM15	KCNC4-DT
RBM15-AS1	LAMTOR5-AS1
RBM15-AS1	KCNC4
RBM15-AS1	KCNC4-DT
11639	KCNC4
11639	KCNC4-DT
KCNC4	RBM15
KCNC4	RBM15-AS1
KCNC4	LAMTOR5-AS1
KCNC4-DT	RBM15
KCNC4-DT	RBM15-AS1
KCNC4-DT	LAMTOR5-AS1
LAMTOR5	RBM15
LAMTOR5	RBM15-AS1
