"source"	"target"
435497	435431
435464	435434
435497	435434
435434	435464
435434	435497
435431	435497
446741	446724
449968	449966
449966	449968
640403	452821
256685	453369
454806	454797
455622	455620
455620	455622
469847	469845
470450	470447
470453	470450
470453	470451
470451	470453
470450	470453
471011	470971
470971	471011
471004	471011
471028	471011
471029	471011
471014	471011
471027	471011
471011	471014
471011	471021
471011	471027
471011	471029
471011	471044
493883	493845
493883	493855
493855	493883
497834	497690
497834	497703
497703	497834
497860	497834
497628	497834
497690	497834
497834	497876
509174	509260
512919	512832
512919	512856
512919	512891
512919	512915
512901	512919
512891	512919
512832	512919
512919	512923
517325	517313
520851	520916
528407	528334
528467	528334
228396	528488
529100	528939
528939	529100
528930	529100
578866	578840
578859	578840
578840	578866
578883	578866
578866	578883
580093	580155
580093	580554
586269	586165
586269	586212
430658	586269
586165	586269
333623	618159
618778	618768
618774	618768
618775	618768
618667	618768
618768	618775
618768	618778
619514	619435
619438	619436
619570	619436
619533	619438
619523	619438
619576	619438
619572	619438
619521	619438
619519	619438
619567	619438
619570	619439
619570	619440
619438	619440
619438	619441
619438	619495
619435	619514
619438	619519
619570	619519
619438	619521
619438	619523
619570	619523
619570	619533
619438	619533
619435	619565
619438	619565
619570	619567
619438	619567
619435	619567
619439	619570
619567	619570
619436	619570
619572	619570
619570	619572
619438	619572
619435	619573
619570	619573
619438	619576
619570	619576
619570	619624
784668	622546
630386	630363
630386	630383
630363	630386
630386	630401
632136	632118
634413	634410
634513	634413
634513	634502
634413	634513
634502	634513
635913	635391
636058	635913
636053	635913
635913	636053
635913	636058
635913	636077
635913	636089
638891	638840
639111	639104
639132	639104
639651	639104
639156	639104
639231	639104
639141	639104
639110	639104
639140	639104
639650	639104
639108	639104
639135	639104
639140	639108
639140	639109
639141	639109
639638	639109
639140	639110
639141	639110
639141	639111
639638	639112
639141	639112
639140	639127
639141	639132
639140	639132
639141	639135
639140	639135
639638	639135
639110	639140
639109	639140
639637	639140
639132	639140
639111	639140
639651	639140
639658	639140
639441	639140
639648	639140
639144	639140
639155	639140
639436	639140
639149	639140
639108	639140
639438	639140
639652	639140
639629	639140
639149	639141
639109	639141
639110	639141
639132	639141
639155	639141
639658	639141
639111	639141
639144	639141
639629	639141
639140	639144
639147	639144
639141	639144
639638	639144
639144	639147
639140	639149
639140	639152
639147	639154
639140	639154
639141	639154
639141	639155
639140	639155
639638	639155
639140	639156
639141	639156
639638	639156
639638	639163
639141	639165
639221	639183
639221	639188
639210	639221
639188	639221
639227	639221
639231	639221
639183	639221
639638	639436
639140	639436
639140	639438
639638	639438
639104	639441
639141	639441
639140	639441
639638	639441
639140	639629
639141	639629
639140	639637
639441	639638
639111	639638
639640	639638
639648	639638
639163	639638
639149	639638
639438	639638
784068	639638
639658	639638
639155	639638
639129	639638
639137	639638
639140	639638
639112	639638
639135	639638
639436	639638
639156	639638
639144	639638
639650	639638
639659	639638
639141	639638
639629	639638
639651	639638
639652	639638
639109	639638
639630	639638
639108	639638
639638	639640
639140	639648
639638	639648
639638	639650
639147	639650
639104	639650
639140	639651
639140	639652
639141	639652
639638	639652
639141	639658
639140	639658
639638	639658
639140	639659
639638	639659
640366	640391
640389	640391
640384	640391
640403	640401
8987	640403
640384	640403
640401	640403
640419	640403
640418	640403
452821	640403
640366	640403
640409	640403
640389	640403
640403	640419
640489	640450
640450	640489
640915	640900
640900	640915
643066	643064
643064	643066
643359	643307
643320	643307
643362	643307
643307	643359
643320	643359
643307	643362
662822	662977
683299	683292
683299	683295
683301	683299
683292	683299
683299	683301
683299	683312
690949	690660
690949	690700
690959	690700
690949	690790
690945	690790
690790	690945
690660	690949
690700	690949
690679	690949
690790	690949
690700	690959
690959	690976
691840	691848
691841	691848
692008	691970
692008	692011
696895	696944
708259	708242
728131	728047
728107	728131
732413	732393
732502	732413
735560	735566
735663	735625
735625	735663
737785	737570
737570	737785
741193	741041
741041	741193
758189	758158
758189	758181
758181	758189
758182	758189
758275	758189
758218	758189
758233	758189
758189	758218
784004	784018
784018	784062
