source	target
C1orf159	TTLL10
TTLL10	RP11-54O7.2
TTLL10	C1orf170
TTLL10	PLEKHN1
C1orf170	PLEKHN1
TTLL10	231
TTLL10	240
TTLL10	241
TTLL10	242
TTLL10	245
TTLL10	251
TTLL10	252
TTLL10	RP5-902P8.10
TTLL10	UBE2J2
RP5-902P8.10	UBE2J2
TNFRSF18	TNFRSF4
TNFRSF18	TTLL10
TNFRSF4	TTLL10
B3GALT6	FAM132A
B3GALT6	RP5-902P8.12
B3GALT6	SDF4
B3GALT6	UBE2J2
B3GALT6	AL645608.1
B3GALT6	RP11-54O7.3
B3GALT6	SAMD11
FAM132A	RP5-902P8.12
FAM132A	SDF4
FAM132A	UBE2J2
FAM132A	AL645608.1
FAM132A	RP11-54O7.3
FAM132A	SAMD11
RP5-902P8.12	SDF4
RP5-902P8.12	UBE2J2
RP5-902P8.12	AL645608.1
RP5-902P8.12	RP11-54O7.3
RP5-902P8.12	SAMD11
SDF4	UBE2J2
SDF4	AL645608.1
SDF4	RP11-54O7.3
SDF4	SAMD11
UBE2J2	AL645608.1
UBE2J2	RP11-54O7.3
UBE2J2	SAMD11
AL645608.1	RP11-54O7.3
AL645608.1	SAMD11
RP11-54O7.3	SAMD11
B3GALT6	C1orf170
B3GALT6	PLEKHN1
FAM132A	C1orf170
FAM132A	PLEKHN1
RP5-902P8.12	C1orf170
RP5-902P8.12	PLEKHN1
SDF4	C1orf170
SDF4	PLEKHN1
UBE2J2	C1orf170
UBE2J2	PLEKHN1
B3GALT6	HES4
B3GALT6	RP11-54O7.17
FAM132A	HES4
FAM132A	RP11-54O7.17
RP5-902P8.12	HES4
RP5-902P8.12	RP11-54O7.17
SDF4	HES4
SDF4	RP11-54O7.17
UBE2J2	HES4
UBE2J2	RP11-54O7.17
HES4	RP11-54O7.17
B3GALT6	240
FAM132A	240
RP5-902P8.12	240
SDF4	240
UBE2J2	240
B3GALT6	ACAP3
B3GALT6	CPSF3L
B3GALT6	GLTPD1
B3GALT6	PUSL1
B3GALT6	RP5-890O3.9
B3GALT6	TAS1R3
FAM132A	ACAP3
FAM132A	CPSF3L
FAM132A	GLTPD1
FAM132A	PUSL1
FAM132A	RP5-890O3.9
FAM132A	TAS1R3
RP5-902P8.12	ACAP3
RP5-902P8.12	CPSF3L
RP5-902P8.12	GLTPD1
RP5-902P8.12	PUSL1
RP5-902P8.12	RP5-890O3.9
RP5-902P8.12	TAS1R3
SDF4	ACAP3
SDF4	CPSF3L
SDF4	GLTPD1
SDF4	PUSL1
SDF4	RP5-890O3.9
SDF4	TAS1R3
UBE2J2	ACAP3
UBE2J2	CPSF3L
UBE2J2	GLTPD1
UBE2J2	PUSL1
UBE2J2	RP5-890O3.9
UBE2J2	TAS1R3
ACAP3	CPSF3L
ACAP3	GLTPD1
ACAP3	PUSL1
ACAP3	RP5-890O3.9
ACAP3	TAS1R3
CPSF3L	GLTPD1
CPSF3L	PUSL1
CPSF3L	RP5-890O3.9
CPSF3L	TAS1R3
GLTPD1	PUSL1
GLTPD1	RP5-890O3.9
GLTPD1	TAS1R3
PUSL1	RP5-890O3.9
PUSL1	TAS1R3
RP5-890O3.9	TAS1R3
RP5-902P8.10	TTLL10
UBE2J2	TTLL10
SCNN1D	TTLL10
SSU72	TMEM240
SSU72	AURKAIP1
TMEM240	AURKAIP1
SSU72	CDK11A
SSU72	RP1-283E3.4
SSU72	RP1-283E3.8
SSU72	SLC35E2
TMEM240	CDK11A
TMEM240	RP1-283E3.4
TMEM240	RP1-283E3.8
TMEM240	SLC35E2
CDK11A	RP1-283E3.4
CDK11A	RP1-283E3.8
CDK11A	SLC35E2
RP1-283E3.4	RP1-283E3.8
RP1-283E3.4	SLC35E2
RP1-283E3.8	SLC35E2
CDK11B	MIB2
CDK11B	MMP23B
CDK11B	CDK11A
CDK11B	RP1-283E3.4
CDK11B	RP1-283E3.8
CDK11B	SLC35E2
MIB2	MMP23B
MIB2	CDK11A
MIB2	RP1-283E3.4
MIB2	RP1-283E3.8
MIB2	SLC35E2
MMP23B	CDK11A
MMP23B	RP1-283E3.4
MMP23B	RP1-283E3.8
MMP23B	SLC35E2
GNB1	NADK
GNB1	327
NADK	327
GNB1	333
NADK	333
GNB1	337
NADK	337
GNB1	RP1-140A9.1
NADK	RP1-140A9.1
GNB1	339
NADK	339
RP1-140A9.1	NADK
CALML6	TMEM52
CALML6	PRKCZ
CALML6	RP11-547D24.3
TMEM52	PRKCZ
TMEM52	RP11-547D24.3
PRKCZ	RP11-547D24.3
PRKCZ	344
RP11-547D24.3	344
PRKCZ	346
RP11-547D24.3	346
PRKCZ	347
RP11-547D24.3	347
CHD5	1167
FAM131C	3477
C1orf134	3477
RSG1	3477
FBXO42	SZRD1
FBXO42	3477
SZRD1	3477
RP1-43E13.2	UBR4
RP1-43E13.2	4217
UBR4	4217
EMC1	MRTO4
EMC1	CAPZB
MRTO4	CAPZB
EMC1	4217
MRTO4	4217
AKR7A2	PQLC2
AKR7A2	RN7SL85P
AKR7A2	RNU6-1099P
AKR7A2	4217
PQLC2	RN7SL85P
PQLC2	RNU6-1099P
PQLC2	4217
RN7SL85P	RNU6-1099P
RN7SL85P	4217
RNU6-1099P	4217
CAPZB	ALDH4A1
CAPZB	MIR1290
ALDH4A1	MIR1290
CAPZB	4052
CAPZB	4142
CAPZB	4144
CAPZB	4145
CAPZB	4146
CAPZB	4147
CAPZB	4148
CAPZB	4149
CAPZB	4150
CAPZB	4151
CAPZB	4152
CAPZB	4153
CAPZB	4154
CAPZB	4155
CAPZB	4156
CAPZB	4157
CAPZB	4158
CAPZB	4159
CAPZB	4160
CAPZB	4161
CAPZB	4162
CAPZB	4163
CAPZB	4164
CAPZB	4166
CAPZB	4167
CAPZB	4168
CAPZB	4169
CAPZB	4172
CAPZB	4173
CAPZB	4174
CAPZB	4175
CAPZB	4176
CAPZB	4177
CAPZB	4179
CAPZB	4180
CAPZB	4181
CAPZB	4182
CAPZB	4186
CAPZB	4187
CAPZB	4188
CAPZB	4200
CAPZB	4201
CAPZB	4202
CAPZB	4203
CAPZB	4204
CAPZB	4205
CAPZB	4206
CAPZB	MINOS1
CAPZB	MINOS1-NBL1
CAPZB	RP5-1056L3.1
MINOS1	MINOS1-NBL1
MINOS1	RP5-1056L3.1
MINOS1-NBL1	RP5-1056L3.1
CAPZB	4208
CAPZB	4209
CAPZB	4210
CAPZB	4211
CAPZB	4212
CAPZB	4213
CAPZB	4214
CAPZB	4215
CAPZB	NBL1
CAPZB	4217
CAPZB	4218
CAPZB	HTR6
MINOS1	CAPZB
MINOS1-NBL1	CAPZB
RP5-1056L3.1	CAPZB
NBL1	CAPZB
MIR3917	STMN1
MIR3917	5646
STMN1	5646
MIR3917	5647
STMN1	5647
MIR3917	5649
STMN1	5649
MIR3917	5650
STMN1	5650
MIR3917	5651
STMN1	5651
MIR3917	5652
STMN1	5652
MIR3917	5653
STMN1	5653
MIR3917	5654
STMN1	5654
MIR3917	5655
STMN1	5655
MIR3917	5657
STMN1	5657
MIR3917	PAFAH2
STMN1	PAFAH2
MIR3917	5659
STMN1	5659
MIR3917	SCARNA17
MIR3917	SCARNA18
STMN1	SCARNA17
STMN1	SCARNA18
SCARNA17	SCARNA18
MIR3917	EXTL1
STMN1	EXTL1
MIR3917	5689
STMN1	5689
PAFAH2	MIR3917
PAFAH2	STMN1
SCARNA17	MIR3917
SCARNA17	STMN1
SCARNA18	MIR3917
SCARNA18	STMN1
C1orf172	RPS6KA1
C1orf172	GPATCH3
C1orf172	NUDC
GPATCH3	NUDC
C1orf172	RP11-40H20.4
C1orf172	WDTC1
RP11-40H20.4	WDTC1
C1orf172	5944
C1orf172	TMEM222
C1orf172	PPP1R8
C1orf172	RNU6-1245P
PPP1R8	RNU6-1245P
CD164L2	FCN3
CD164L2	MAP3K6
CD164L2	5887
FCN3	MAP3K6
FCN3	5887
MAP3K6	5887
CD164L2	5888
FCN3	5888
MAP3K6	5888
CD164L2	5889
FCN3	5889
MAP3K6	5889
CD164L2	5892
FCN3	5892
MAP3K6	5892
CD164L2	5941
FCN3	5941
MAP3K6	5941
CD164L2	5944
FCN3	5944
MAP3K6	5944
CD164L2	AHDC1
FCN3	AHDC1
MAP3K6	AHDC1
CD164L2	6009
FCN3	6009
MAP3K6	6009
CD164L2	RP11-288L9.4
FCN3	RP11-288L9.4
MAP3K6	RP11-288L9.4
AHDC1	CD164L2
AHDC1	FCN3
AHDC1	MAP3K6
SNHG12	YTHDF2
RNU11	RP11-442N24__B.1
RNU11	TAF12
RNU11	YTHDF2
RP11-442N24__B.1	TAF12
RP11-442N24__B.1	YTHDF2
TAF12	YTHDF2
YTHDF2	6154
YTHDF2	6155
YTHDF2	6186
YTHDF2	RNU11
YTHDF2	RP11-442N24__B.1
YTHDF2	TAF12
YTHDF2	RP1-212P9.3
YTHDF2	6255
YTHDF2	6262
YTHDF2	6266
YTHDF2	6267
YTHDF2	6289
YTHDF2	SRSF4
YTHDF2	6292
YTHDF2	6296
YTHDF2	6297
YTHDF2	6299
YTHDF2	6302
YTHDF2	MATN1-AS1
YTHDF2	MATN1
MATN1-AS1	MATN1
SRSF4	YTHDF2
RP11-73M7.1	TINAGL1
RP11-73M7.1	6740
TINAGL1	6740
RP11-73M7.1	6741
TINAGL1	6741
RP11-73M7.1	6742
TINAGL1	6742
RP11-73M7.1	6743
TINAGL1	6743
RP11-73M7.1	6791
TINAGL1	6791
RP11-73M7.1	6839
TINAGL1	6839
RP11-73M7.1	6842
TINAGL1	6842
RP11-73M7.1	6867
TINAGL1	6867
HCRTR1	RP11-73M7.1
HCRTR1	TINAGL1
RP11-84A19.3	RP11-73M7.1
RP11-84A19.3	TINAGL1
TXLNA	RP11-73M7.1
TXLNA	TINAGL1
TXLNA	FAM229A
TXLNA	TSSK3
FAM229A	TSSK3
CCDC28B	FAM229A
CCDC28B	TSSK3
IQCC	RP4-622L5.7
IQCC	FAM229A
IQCC	TSSK3
RP4-622L5.7	FAM229A
RP4-622L5.7	TSSK3
FAM229A	CCDC28B
TSSK3	CCDC28B
FAM229A	IQCC
FAM229A	RP4-622L5.7
TSSK3	IQCC
TSSK3	RP4-622L5.7
FAM229A	DCDC2B
FAM229A	EIF3I
FAM229A	TMEM234
TSSK3	DCDC2B
TSSK3	EIF3I
TSSK3	TMEM234
DCDC2B	EIF3I
DCDC2B	RP4-622L5.7
DCDC2B	TMEM234
EIF3I	RP4-622L5.7
EIF3I	TMEM234
RP4-622L5.7	TMEM234
FAM229A	6963
TSSK3	6963
FAM229A	6964
TSSK3	6964
FAM229A	FAM167B
