"name"	"mIDH2_R140"	"mIDH2_R172"	"distance"
"1"	"(10Z)-heptadecenoic"	0.25768683991416	0.254859030927802	0.0047
"2"	"(11Z,14Z)-eicosadienoic"	0.262051453910498	0.261475846755084	0.0062
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.261818456970971	0.261673844979405	0.0065
"4"	"(13Z)-eicosenoic"	0.268951428660702	0.267429950803849	0.0054
"5"	"(13Z)-octadecenoic"	0.265669281834126	0.266240422436549	0.007
"6"	"(13Z,16Z)-docosadienoic"	0.259988647462586	0.256312825805922	0.0041
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.0112
"8"	"(1R,2S)-naphthalene"	0.430568365932849	0.428572137269028	0.0023
"9"	"(1S,2R)-naphthalene"	0	0	0.0112
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.300786774307596	0.303519506294254	0.0079
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.316114173982024	0.316877074156069	0.0062
"12"	"(5-L-glutamyl)-L-amino"	0.27842816527593	0.280154844737669	0.0076
"13"	"(6Z,9Z)-octadecadienoic"	0.285551554013263	0.280865981908345	0.0029
"14"	"(7Z)-octadecenoic"	0.342858004680626	0.342382269966306	0.0049
"15"	"(7Z)-tetradecenoic"	0.257556839064932	0.259293043796392	0.0079
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.233119884927975	0.230624074631488	0.0054
"17"	"(9E)-tetradecenoic"	0.283094027914937	0.280034820007797	0.0041
"18"	"(Glc)3"	0	0	0.0112
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.0112
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.256675712385264	0.249224991208447	0.0015
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.286319723904914	0.287348315905258	0.0069
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0112
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0112
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0112
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0112
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0112
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0112
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.0112
