"name"	"mIDH2_R"	"mIDH1_R"	"distance"
"1"	"16-5-5"	0.25304856939227	0.266708048132865	0.0169
"2"	"A1BG"	0.399823051145109	0.366267572153099	-0.0189
"3"	"A1CF"	0.555640393621688	0.599039475084432	0.0317
"4"	"A2M"	0.573448289579781	0.521696515607821	-0.035
"5"	"A2ML1"	0.469082965029822	0.473281128998641	0.0061
"6"	"A2ML1-AS1"	0.259098359921397	0.264352279219284	0.0109
"7"	"A2ML1-AS2"	0.278757657711644	0.284198366681286	0.0107
"8"	"A3GALT2"	0.241435378913736	0.248788771931212	0.0127
"9"	"A4GALT"	0.629941344366388	0.622479251824066	-0.0052
"10"	"A4GNT"	0.589691905073931	0.606538114680053	0.0126
"11"	"AAA1"	0.461963065796343	0.496724918758593	0.0275
"12"	"AAAS"	0.635297919543979	0.628844366285861	-0.0046
"13"	"AACS"	0.66557277433902	0.649341844477032	-0.012
"14"	"AADAC"	0.6029644043701	0.607708609645521	0.0039
"15"	"AADACL2"	0.408345308904591	0.444797001327118	0.0298
"16"	"AADACL3"	0.469936891815431	0.506449634396035	0.0286
"17"	"AADACL4"	0.417050391942005	0.372882629442247	-0.0266
"18"	"AADAT"	0.590078767703665	0.603186948902907	0.0099
"19"	"AAG1"	0.548101480196406	0.547283968609725	0.001
"20"	"AAGAB"	0.476647741721208	0.469543541584749	-0.0019
"21"	"AAK1"	0.732504299875906	0.719058279846423	-0.0113
"22"	"AAMDC"	0.263424307212477	0.254412933356207	9e-04
"23"	"AAMP"	0.428085938305238	0.420296905794258	-0.0015
"24"	"AANAT"	0.591104930721921	0.630176594430263	0.028
"25"	"AAR2"	0.311229206670016	0.319253104289361	0.0118
"26"	"AARS"	0.479283133655875	0.489640659332373	0.0102
"27"	"AARS1"	0.445587944506857	0.443950112835295	0.0025
"28"	"AARS2"	0.444093617408641	0.483232204168825	0.0309
"29"	"AARSD1"	0.613652659137656	0.581460780541207	-0.0221
"30"	"AASDH"	0.640056066246402	0.658572247199902	0.0127
