""	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"DOID:0050589"	"DOID:0050589"	"inflammatory bowel disease"	5	0.669054441260745	1.8365734366121	0.012472594942655	0.012472594942655	0.977857785778578	236	"tags=100%, list=34%, signal=67%"	"1045/3481/6583/3557/760"
"DOID:0060058"	"DOID:0060058"	"lymphoma"	5	-0.676782574328564	-1.71645787550496	0.0129629031088	0.0129629031088	0.977857785778578	150	"tags=80%, list=21%, signal=63%"	"55872/5966/4609/5358"
"DOID:0060038"	"DOID:0060038"	"specific developmental disorder"	13	0.400252113646274	1.81778489904525	0.0132304497885419	0.0132304497885419	0.977857785778578	281	"tags=85%, list=40%, signal=52%"	"92745/1013/4128/552/283659/1756/6285/3557/114798/7166/8224"
"DOID:934"	"DOID:934"	"viral infectious disease"	28	0.26091156853626	1.70245796923994	0.01433927487469	0.01433927487469	0.977857785778578	357	"tags=82%, list=51%, signal=42%"	"6356/6102/285/7161/3554/3667/4804/3481/3459/3914/9235/3557/2204/7039/3043/9582/2321/56886/2152/51311/5074/3575/1452"
"DOID:5295"	"DOID:5295"	"intestinal disease"	7	0.481797508475813	1.5867892741983	0.0344435095930455	0.0344435095930455	0.977857785778578	236	"tags=86%, list=34%, signal=58%"	"1045/3481/2674/6583/3557/760"
"DOID:76"	"DOID:76"	"stomach disease"	5	0.578796561604584	1.58881299441389	0.0375020643834558	0.0375020643834558	0.977857785778578	299	"tags=100%, list=43%, signal=58%"	"1045/7161/3557/7039/7498"
"DOID:1781"	"DOID:1781"	"thyroid cancer"	7	0.458622928021296	1.51046431391446	0.0454439939512687	0.0454439939512687	0.977857785778578	246	"tags=86%, list=35%, signal=56%"	"285/5747/2674/6275/7039/2321"
"DOID:3963"	"DOID:3963"	"thyroid carcinoma"	7	0.458622928021296	1.51046431391446	0.0454439939512687	0.0454439939512687	0.977857785778578	246	"tags=86%, list=35%, signal=56%"	"285/5747/2674/6275/7039/2321"
"DOID:5844"	"DOID:5844"	"myocardial infarction"	21	0.26613377058931	1.53705454157251	0.0487020218302934	0.0487020218302934	0.977857785778578	470	"tags=95%, list=67%, signal=33%"	"6356/1573/8842/8742/241/2153/6285/948/3557/2204/5740/2152/5126/2056/2155/1773/10221/8529/3934/5266"
"DOID:0050737"	"DOID:0050737"	"autosomal recessive disease"	23	-0.348363947598213	-1.56793620227006	0.0538461538461538	0.0538461538461538	0.977857785778578	285	"tags=65%, list=41%, signal=40%"	"2623/3934/147138/122481/5266/3040/4363/4057/1277/3811/2121/51327/132884/4609/3039"
"DOID:3393"	"DOID:3393"	"coronary artery disease"	22	0.270197500977813	1.595748049201	0.0573170628438601	0.0573170628438601	0.977857785778578	470	"tags=95%, list=67%, signal=33%"	"6356/1573/8842/8742/241/2153/6285/948/3557/2204/5740/2152/5126/2056/2155/1773/10221/186/8529/3934/5266"
"DOID:583"	"DOID:583"	"hemolytic anemia"	10	-0.457231898125408	-1.50724067539097	0.0719530102790015	0.0719530102790015	0.977857785778578	111	"tags=50%, list=16%, signal=43%"	"2038/5313/1378/53947/286"
"DOID:720"	"DOID:720"	"normocytic anemia"	10	-0.457231898125408	-1.50724067539097	0.0719530102790015	0.0719530102790015	0.977857785778578	111	"tags=50%, list=16%, signal=43%"	"2038/5313/1378/53947/286"
"DOID:1682"	"DOID:1682"	"congenital heart disease"	5	0.540114613180516	1.48262994775752	0.0750670241286863	0.0750670241286863	0.977857785778578	326	"tags=100%, list=46%, signal=54%"	"2153/6285/2152/8854/2657"
"DOID:1059"	"DOID:1059"	"intellectual disability"	5	0.538824750253322	1.47908923740143	0.0750670241286863	0.0750670241286863	0.977857785778578	164	"tags=80%, list=23%, signal=62%"	"92745/1013/4128/1756"
"DOID:331"	"DOID:331"	"central nervous system disease"	57	-0.244920295400034	-1.48531215744522	0.0857787810383747	0.0857787810383747	0.977857785778578	232	"tags=46%, list=33%, signal=33%"	"79152/3485/6374/7226/1910/80142/4363/4057/246/343641/27328/1277/9429/777/25797/4774/1378/6712/3757/4129/23208/3308/3798/57449/43/5358"
"DOID:0050828"	"DOID:0050828"	"artery disease"	59	0.127878930223246	1.23442517238763	0.0928369479123795	0.0928369479123795	0.977857785778578	563	"tags=95%, list=80%, signal=21%"	"6356/1573/285/26585/8842/6521/1114/8742/4128/552/3481/241/2153/6275/3459/6285/384/948/9235/3557/2204/7039/760/5740/2321/9459/2328/5443/7166/2152/7498/5126/119/2056/3575/3579/6536/2155/1773/65266/10221/186/8529/3934/2201/1118/94/5266/1910/79608/633/2947/5196/80332/246/5592"
