"tf"	"target"	"mor"	"likelihood"	"state"
"ADNP"	"SLC12A4"	-0.444552268305898	1	"inhibition"
"ADNP"	"NDRG3"	0.86794777413889	1	"activation"
"ADNP"	"EIF4H"	0.963176637258473	1	"activation"
"ADNP"	"KCNAB3"	-0.0133914267696793	1	"inhibition"
"ADNP"	"TNFRSF1A"	0.0831168698747341	1	"activation"
"ADNP"	"PHF10"	0.811964442048986	1	"activation"
"ADNP"	"DENND5B"	-0.0090604299177697	1	"inhibition"
"ADNP"	"ZNF263"	0.937737323755829	1	"activation"
"ADNP"	"ISCA2"	0.66316511416562	1	"activation"
"ADNP"	"ITM2C"	0.792905177824551	1	"activation"
"ADNP"	"ACER3"	0.200723755137983	1	"activation"
"ADNP"	"C1orf146"	-0.00179812669942536	1	"inhibition"
"ADNP"	"CUTC"	0.911517646450702	1	"activation"
"ADNP"	"FAIM"	-0.0427017795904726	1	"inhibition"
"ADNP"	"CEP97"	0.406464000377686	1	"activation"
"ADNP"	"PER1"	-0.00386229403338036	1	"inhibition"
"ADNP"	"TJP3"	0.813489246250009	1	"activation"
"ADNP"	"SV2A"	0.784545767298484	1	"activation"
"ADNP"	"EIF5AL1"	0.621219227831351	1	"activation"
"ADNP2"	"MYL12A"	0.983151712318189	1	"activation"
"ADNP2"	"ZFP90"	0.995253020027252	1	"activation"
"ADNP2"	"ZNF317"	0.997713294166555	1	"activation"
"ADNP2"	"RPAP1"	-0.00227872007786644	1	"inhibition"
"ADNP2"	"SCD"	0.493263376569014	1	"activation"
"ADNP2"	"SFTPC"	0.674381202310611	1	"activation"
"ADNP2"	"UQCRHL"	0.345369250478133	1	"activation"
"ADNP2"	"LONRF3"	0.0581751937783106	1	"activation"
"ADNP2"	"PLEKHJ1"	-0.988258237218238	1	"inhibition"
"ADNP2"	"CMPK2"	-0.954304195396684	1	"inhibition"
"ADNP2"	"KATNAL1"	0.721182474282661	1	"activation"
"ADNP2"	"NUDCD2"	0.991249723000875	1	"activation"
"ADNP2"	"SNORD17"	0.900473463520665	1	"activation"
"AEBP1"	"CSPG4"	0.064033618213801	1	"activation"
"AEBP1"	"KIR2DL3"	0.162349940208675	1	"activation"
"AEBP1"	"ZNF362"	0.124947914756959	1	"activation"
"AEBP1"	"FRAT2"	0.157970196634787	1	"activation"
"AEBP1"	"ATP6V1G1"	-0.0083692859437546	1	"inhibition"
"AEBP1"	"APTX"	0.277816815921043	1	"activation"
"AEBP1"	"IL15"	0.454706516270605	1	"activation"
"AEBP1"	"ACTR8"	0.0563310744010765	1	"activation"
"AEBP1"	"ST3GAL1"	-0.216674236814786	1	"inhibition"
"AEBP1"	"ZNF354C"	0.292903253929506	1	"activation"
"AEBP1"	"KCTD17"	-0.00253535082967848	1	"inhibition"
"AEBP2"	"NR1D1"	0.998840315670115	1	"activation"
"AEBP2"	"NDUFB3"	-0.052530151658077	1	"inhibition"
"AEBP2"	"FCRLB"	0.933521274175498	1	"activation"
"AEBP2"	"DNAJC19"	0.811964442048986	1	"activation"
"AEBP2"	"STMN1"	0.398960512896229	1	"activation"
"AEBP2"	"TAOK1"	0.441915792964275	1	"activation"
"AEBP2"	"ZSWIM7"	0.500980319950142	1	"activation"
"AEBP2"	"TRPM7"	0.171385139962552	1	"activation"
"AEBP2"	"TPRG1"	0.062688410637042	1	"activation"
"AEBP2"	"ZBTB42"	0.9970200195369	1	"activation"
"AEBP2"	"EBNA1BP2"	0.88003971729097	1	"activation"
"AEBP2"	"ZDHHC2"	0.845930249788	1	"activation"
"AEBP2"	"LRP8"	0.902248903409433	1	"activation"
"AEBP2"	"PPIH"	0.235337785807605	1	"activation"
"AEBP2"	"PPOX"	-0.711338674409552	1	"inhibition"
"AEBP2"	"NDST2"	0.220310293599911	1	"activation"
"AEBP2"	"RTKN"	-0.00183748460542746	1	"inhibition"
"AHCTF1"	"SNAPC5"	0.447025994467685	1	"activation"
"AHCTF1"	"ANKRD13A"	0.991249723000875	1	"activation"
"AHCTF1"	"HIPK1"	0.0682233772934322	1	"activation"
"AHCTF1"	"PSD"	-0.163854532671539	1	"inhibition"
"AHCTF1"	"VTN"	0.993872695930513	1	"activation"
"AHCTF1"	"RNF11"	0.137425155527655	1	"activation"
"AHCTF1"	"CD59"	0.65633992049666	1	"activation"
"AHCTF1"	"PRR7"	0.917753642794916	1	"activation"
"AHCTF1"	"SMCR8"	0.24114064976388	1	"activation"
"AHCTF1"	"ANXA9"	0.775939156229775	1	"activation"
"AHCTF1"	"TRPV1"	0.312929898774853	1	"activation"
"AHCTF1"	"CISD3"	-0.213932078948221	1	"inhibition"
"AHCTF1"	"APOBEC3B"	-0.0268311026456304	1	"inhibition"
"AHCTF1"	"APOBEC3D"	-0.00515634819929477	1	"inhibition"
"AHCTF1"	"FAM149A"	-0.00419671814997631	1	"inhibition"
"AHCTF1"	"SNORA48"	-0.0507648139619546	1	"inhibition"
"AHCTF1"	"ZNF445"	0.87356794124696	1	"activation"
"AHDC1"	"MAMDC2"	0.97199295464326	1	"activation"
"AHDC1"	"WDR83"	0.490690225440338	1	"activation"
"AHDC1"	"TMEM33"	-0.136195225394311	1	"inhibition"
"AHDC1"	"EXD3"	0.999975162199121	1	"activation"
"AHDC1"	"SUMO1P3"	0.144025705959176	1	"activation"
"AHDC1"	"YIPF6"	0.877915003247424	1	"activation"
"AHDC1"	"USP5"	0.988196471068553	1	"activation"
"AHDC1"	"RUVBL2"	0.416525742686894	1	"activation"
"AHDC1"	"LRRC43"	0.997445400055293	1	"activation"
"AHDC1"	"TRIM26"	0.0539534048148106	1	"activation"
