Regulator	Target	MI	pvalue
RFX7	TMED6	1.3760552852604166	2.0196804326566564E-4
ZNF358	MORC3	1.3760552852604166	2.0196804326566564E-4
SP3	TSPAN10	1.3760552852604166	5.427249929468303E-7
NFATC2	ENTPD3	1.3760552852604169	2.478196314825709E-9
ZNF143	DNAJA1	1.3760552852604166	2.0196804326566564E-4
TIGD3	MOAP1	1.3760552852604166	2.0196804326566564E-4
TRAFD1	EIF2B2	1.3760552852604166	2.0196804326566564E-4
HOXA4	LGALS9C	1.3760552852604166	2.0196804326566564E-4
KDM5B	OS9	1.3760552852604166	2.0196804326566564E-4
ZNF181	SFXN5	1.3760552852604166	5.427249929468303E-7
ZBTB38	PPFIA1	1.3760552852604166	2.0196804326566564E-4
ZBTB24	NUP153	1.3760552852604166	2.0196804326566564E-4
HES6	ISCA1	1.3760552852604166	5.427249929468303E-7
JRK	ZNF660	1.3760552852604166	2.0196804326566564E-4
ZNF596	SHQ1	1.3760552852604169	2.478196314825709E-9
KLF3	RAB8A	1.3760552852604166	2.0196804326566564E-4
ZNF474	PPP1R3D	1.3760552852604166	5.427249929468303E-7
EEA1	ADCY6	1.3760552852604166	2.0196804326566564E-4
ZNF385A	MRPS35	1.3760552852604166	2.0196804326566564E-4
RARA	ISG20	1.3760552852604166	5.427249929468303E-7
ZNF576	GPR151	1.3760552852604166	5.427249929468303E-7
PLAGL1	ZFP36L1	1.3760552852604166	2.0196804326566564E-4
PPARA	MOSPD2	1.3760552852604166	5.427249929468303E-7
BBX	P4HTM	1.3760552852604166	2.0196804326566564E-4
ZNF18	ATXN2L	1.3760552852604166	5.427249929468303E-7
HSF2	LDHAL6A	1.3760552852604166	2.0196804326566564E-4
ZNF718	CNOT1	1.3760552852604166	5.427249929468303E-7
ZNF625	NUP50	1.3760552852604166	2.0196804326566564E-4
NFYA	ABCA10	1.3760552852604166	2.0196804326566564E-4
PRDM1	NDUFB8	1.3760552852604166	2.0196804326566564E-4
ZNF512	CRNKL1	1.3760552852604166	2.0196804326566564E-4
VEZF1	RHBDD2	1.3760552852604166	5.427249929468303E-7
ZNF652	CA1	1.3760552852604166	2.0196804326566564E-4
YBX1	AP3B1	1.3760552852604166	2.0196804326566564E-4
HLF	NRSN2	1.3760552852604166	2.0196804326566564E-4
ZNF674	ABCE1	1.3760552852604169	2.478196314825709E-9
RFX5	RPP14	1.3760552852604166	2.0196804326566564E-4
ZNF665	RNF126	1.3760552852604166	5.427249929468303E-7
MAZ	BPHL	1.3760552852604166	2.0196804326566564E-4
RELB	ARIH1	1.3760552852604166	2.0196804326566564E-4
ZNF682	SLU7	1.3760552852604166	2.0196804326566564E-4
ZNF354A	BRMS1L	1.3760552852604166	2.0196804326566564E-4
ZGLP1	THG1L	1.3760552852604166	2.0196804326566564E-4
ZBTB41	ZNF136	1.3760552852604166	2.0196804326566564E-4
EBF4	NDUFB5	1.3760552852604166	2.0196804326566564E-4
ZNF565	NDC80	1.3760552852604166	5.427249929468303E-7
ARNTL	ZNF98	1.3760552852604166	2.0196804326566564E-4
ZNF136	TMEM98	1.3760552852604166	2.0196804326566564E-4
SKI	CDC40	1.3760552852604166	2.0196804326566564E-4
ZNF789	PGF	1.3760552852604166	2.0196804326566564E-4
HNF1A	CABP7	1.3760552852604169	2.478196314825709E-9
ZNF763	CYBRD1	1.3760552852604166	2.0196804326566564E-4
AKAP8L	ZNF607	1.3760552852604166	2.0196804326566564E-4
ZNF507	EXOC1	1.3760552852604166	5.427249929468303E-7
ZNF181	SBDSP1	1.3760552852604166	2.0196804326566564E-4
KLF4	CTDSP2	1.3760552852604166	2.0196804326566564E-4
ARNTL	STAB2	1.3760552852604166	5.427249929468303E-7
HOXB2	DGKQ	1.3760552852604166	2.0196804326566564E-4
HDX	CLCF1	1.3760552852604166	2.0196804326566564E-4
PRDM2	SLCO2A1	1.3760552852604166	2.0196804326566564E-4
ZNF181	ERCC8	1.3760552852604166	2.0196804326566564E-4
ESRRB	FMO5	1.3760552852604166	2.0196804326566564E-4
SP140L	ZNF397	1.3760552852604166	2.0196804326566564E-4
NRL	RPS15AP10	1.3760552852604166	2.0196804326566564E-4
E2F3	ZNF266	1.3760552852604166	2.0196804326566564E-4
SETBP1	TFIP11	1.3760552852604166	5.427249929468303E-7
ZNF396	NAA50	1.3760552852604166	5.427249929468303E-7
ZFP90	RAD51	1.3760552852604166	2.0196804326566564E-4
KLF13	SHOC2	1.3760552852604166	2.0196804326566564E-4
ZMAT1	ABCA12	1.3760552852604169	0.0
CEBPD	ASIP	1.3760552852604169	0.0
ZNF497	TEX261	1.3760552852604166	2.0196804326566564E-4
ZNF438	TMEM63B	1.3760552852604166	5.427249929468303E-7
ZNF785	AKAP8	1.3760552852604166	2.0196804326566564E-4
BAZ2A	KLHL20	1.3760552852604166	5.427249929468303E-7
NFE2	C9orf152	1.3760552852604166	2.0196804326566564E-4
ZNF786	HOPX	1.3760552852604166	2.0196804326566564E-4
ZNF253	PRDX2	1.3760552852604166	2.0196804326566564E-4
NFIA	U2AF2	1.3760552852604166	2.0196804326566564E-4
ZFY	PRKY	1.3760552852604166	2.0196804326566564E-4
MYB	RAP1GAP2	1.3760552852604166	2.0196804326566564E-4
BATF3	FOXD4L1	1.3760552852604166	2.0196804326566564E-4
ZNF575	EPB41L3	1.3760552852604169	2.478196314825709E-9
SOX12	ENG	1.3760552852604166	2.0196804326566564E-4
ZNF8	CMTM3	1.3760552852604166	2.0196804326566564E-4
YY2	AVPI1	1.3760552852604166	2.0196804326566564E-4
PRDM1	OR2A7	1.3760552852604166	2.0196804326566564E-4
LHX4	EIF3D	1.3760552852604166	2.0196804326566564E-4
ZBTB11	CDKN2AIP	1.3760552852604166	2.0196804326566564E-4
ZNF747	RCN2	1.3760552852604166	2.0196804326566564E-4
ZNF14	DCP2	1.3760552852604166	2.0196804326566564E-4
SOX18	ERP29	1.3760552852604166	5.427249929468303E-7
ZNF549	MAL	1.3760552852604166	2.0196804326566564E-4
ZFP91	FYCO1	1.3760552852604166	2.0196804326566564E-4
BCL11A	PRR7	1.3760552852604169	0.0
MAFK	ZNF771	1.3760552852604166	2.0196804326566564E-4
ETS2	BTD	1.3760552852604166	2.0196804326566564E-4
SGSM2	ZNF689	1.3760552852604166	2.0196804326566564E-4
ZNF749	KLHL34	1.3760552852604169	2.478196314825709E-9
ZNF41	LIPJ	1.3760552852604166	2.0196804326566564E-4
DPF1	RPL36AL	1.3760552852604166	2.0196804326566564E-4
ZNF20	PER3	1.3760552852604166	5.427249929468303E-7
OLIG1	CPEB2	1.3760552852604166	2.0196804326566564E-4
CREBZF	GAK	1.3760552852604166	5.427249929468303E-7
SP140	CR1	1.3760552852604166	2.0196804326566564E-4
ZFP30	EPHX1	1.3760552852604166	2.0196804326566564E-4
TFDP1	MAP9	1.3760552852604166	2.0196804326566564E-4
ZFPM1	STK11IP	1.3760552852604166	5.427249929468303E-7
SGSM2	PTX4	1.3760552852604166	5.427249929468303E-7
ZNF337	RAD52	1.3760552852604166	2.0196804326566564E-4
ZNF529	ZNF468	1.3760552852604166	5.427249929468303E-7
HBP1	VAMP2	1.3760552852604166	5.427249929468303E-7
ZNF709	CDKAL1	1.3760552852604166	5.427249929468303E-7
ZNF14	ULK3	1.3760552852604166	2.0196804326566564E-4
ZNF79	ZNF814	1.3760552852604166	2.0196804326566564E-4
HIVEP3	SNORD58A	1.3760552852604166	2.0196804326566564E-4
ZNF578	FRS2	1.3760552852604166	2.0196804326566564E-4
ZNF771	FGD6	1.3760552852604166	2.0196804326566564E-4
ETV7	NR2C2AP	1.3760552852604166	2.0196804326566564E-4
PRDM2	STK31	1.3760552852604166	2.0196804326566564E-4
ZNF568	CD300LB	1.3760552852604166	2.0196804326566564E-4
ZNF799	PHLDA1	1.3760552852604166	5.427249929468303E-7
AEBP1	FLAD1	1.3760552852604166	5.427249929468303E-7
ZNF26	ERN2	1.3760552852604169	2.478196314825709E-9
ZNF696	KCNQ1OT1	1.3760552852604166	5.427249929468303E-7
ZNF821	PGF	1.3760552852604166	2.0196804326566564E-4
CREB3L2	KPNA3	1.3760552852604166	5.427249929468303E-7
SP140L	E2F3	1.3760552852604166	2.0196804326566564E-4
ZNF202	SCML2	1.3760552852604166	2.0196804326566564E-4
YY2	CMTM6	1.3760552852604166	2.0196804326566564E-4
RFX3	TPPP3	1.3760552852604166	2.0196804326566564E-4
ZFP3	NUBP2	1.3760552852604166	5.427249929468303E-7
