name	pvalue	mean.diff
MAR00057	0.0375035077	 0.0442998302
MAR00095	0.0027326333	 0.0334434245
MAR00156	0.0409348860	 0.0085055556
MAR00167	0.0451873826	 0.0067675950
MAR00180	0.0409348860	 0.0085055556
MAR00583	0.0165670248	 0.0064822985
MAR00611	0.0207139782	 0.0091063376
MAR00617	0.0409710647	 0.0077536066
MAR00624	0.0300177519	 0.0085487858
MAR00625	0.0003904412	 0.0041148915
MAR00639	0.0204158222	 0.0091036927
MAR00650	0.0094998363	 0.0084995101
MAR00661	0.0317754596	 0.0032900198
MAR00730	0.0003677855	 0.0041235715
MAR00736	0.0003904412	 0.0041148915
MAR00763	0.0003677855	 0.0041235715
MAR00771	0.0003677855	 0.0041235715
MAR01045	0.0179158512	 0.0013441198
MAR01339	0.0153979033	 0.0035631008
MAR01369	0.0494808743	 0.0013000513
MAR01581	0.0118003057	 0.0080951872
MAR01584	0.0141210966	 0.0080950200
MAR01585	0.0118000653	 0.0080952281
MAR01975	0.0396442413	-0.0153919760
MAR02341	0.0396442413	-0.0153919760
MAR02358	0.0283482194	-0.0543213838
MAR02591	0.0327541783	 0.0428976072
MAR02778	0.0375035077	 0.0442998302
MAR02780	0.0375035077	 0.0442998302
MAR03030	0.0244120669	 0.0132102483
MAR03035	0.0434612409	 0.0142695563
MAR03037	0.0434612409	 0.0142695563
MAR03043	0.0244687731	 0.0038907613
MAR03106	0.0244120669	 0.0132102483
MAR03273	0.0481702294	 0.0201588425
MAR03769	0.0272290968	 0.0789798192
MAR03770	0.0272290968	 0.0789798192
MAR03796	0.0241648475	 0.0456731965
MAR03797	0.0241648475	 0.0456731965
MAR03818	0.0492819655	 0.0360778066
MAR03819	0.0492819655	 0.0360778066
MAR03838	0.0265458176	 0.2554699538
MAR03925	0.0327567911	 0.0513387573
MAR03995	0.0353130365	-0.0071146949
MAR04118	0.0353130365	-0.0071146949
MAR04165	0.0442642450	 0.1384174074
MAR04166	0.0442642450	 0.1384174074
MAR04167	0.0442642450	 0.1384174074
MAR04353	0.0244687731	 0.0038907613
MAR04409	0.0179158512	 0.0013441198
MAR04457	0.0204158222	 0.0091036927
MAR04460	0.0241648475	 0.0456731965
MAR04476	0.0079779809	 0.0026590883
MAR04523	0.0327567911	 0.0513387573
MAR04531	0.0220364184	 0.0164924059
MAR04532	0.0220364184	 0.0164924059
MAR04533	0.0220364184	 0.0164924059
MAR04534	0.0214558320	 0.0165138291
MAR04535	0.0220318420	 0.0250746184
MAR04536	0.0220318420	 0.0250746184
MAR04572	0.0450043130	 0.0543990681
MAR04583	0.0265806864	 0.0085340330
MAR04637	0.0293727267	 0.0256878870
MAR04769	0.0071266115	 0.0068604210
MAR04813	0.0311021315	 0.0164272870
MAR04837	0.0333547585	-0.0141753551
MAR04859	0.0204158222	 0.0091036927
MAR04886	0.0397521738	 0.0072596392
MAR04889	0.0267590393	 0.0079103204
MAR04899	0.0204158222	 0.0091036927
MAR04915	0.0237149852	 0.0132320617
MAR04918	0.0204158222	 0.0091036927
MAR04936	0.0311021315	 0.0164272870
MAR04941	0.0003677855	 0.0041235715
MAR04998	0.0302003794	 0.0165363690
MAR05023	0.0185341789	-0.0299140396
MAR05304	0.0328223990	 0.0251098261
