"Entrez" "group"
"186" "NINJ1" "IDH1"
"187" "ATP7A" "IDH1"
"188" "CPVL" "IDH1"
"189" "PLEKHA2" "IDH1"
"190" "PSPN" "IDH1"
"191" "YOD1" "IDH1"
"192" "KCTD2" "IDH1"
"193" "PCYT2" "IDH1"
"194" "ASGR1" "IDH1"
"195" "SV2A" "IDH1"
"196" "PAK6" "IDH1"
"197" "TREM2" "IDH1"
"198" "CDK2AP1" "IDH1"
"199" "NTHL1" "IDH1"
"200" "MOSPD3" "IDH1"
"201" "TSPAN7" "IDH1"
"202" "SMARCA1" "IDH1"
"203" "LYST" "IDH1"
"204" "DAPL1" "IDH1"
"205" "RNF112" "IDH1"
"206" "HTN1" "IDH1"
"207" "RAPGEF4" "IDH1"
"208" "SCOC" "IDH1"
"209" "GABRG2" "IDH1"
"210" "LMBRD1" "IDH1"
"211" "FBLN5" "IDH1"
"212" "CTBS" "IDH1"
"213" "ABI3" "IDH1"
"214" "TEX12" "IDH1"
"215" "MYO1D" "IDH1"
"216" "HSD17B3" "IDH1"
"217" "PRDM7" "IDH1"
"218" "GAS2L3" "IDH1"
"219" "NADK" "IDH1"
"220" "CCDC73" "IDH1"
"221" "SEMA3B" "IDH1"
"222" "PEA15" "IDH1"
"223" "CCDC158" "IDH1"
"224" "HSDL2" "IDH1"
"225" "ATCAY" "IDH1"
"226" "CLEC2B" "IDH1"
"227" "TMEM219" "IDH1"
"228" "GPSM2" "IDH1"
"229" "TBC1D9" "IDH1"
"230" "EEPD1" "IDH1"
"231" "SLC25A28" "IDH1"
"232" "GRN" "IDH1"
"233" "TMEM132D" "IDH1"
"234" "TNK2" "IDH1"
"235" "WNT2" "IDH1"
"236" "TMSB15B" "IDH1"
"237" "TMEM167B" "IDH1"
"238" "QRFPR" "IDH1"
"239" "VKORC1" "IDH1"
"240" "C19orf38" "IDH1"
"241" "RGS14" "IDH1"
"242" "HMBOX1" "IDH1"
"243" "TGIF2LX" "IDH1"
"244" "GUF1" "IDH1"
"245" "HDHD2" "IDH1"
"246" "MYRIP" "IDH1"
"247" "STRN3" "IDH1"
"248" "TBC1D2" "IDH1"
"249" "ST7" "IDH1"
"250" "TYMP" "IDH1"
"251" "HSPA12A" "IDH1"
"252" "PTGIS" "IDH1"
"253" "TNFAIP8L2" "IDH1"
"254" "KIAA1143" "IDH1"
"255" "DDIT4" "IDH1"
"256" "TRHR" "IDH1"
"257" "GOLPH3L" "IDH1"
"258" "CAPSL" "IDH1"
"259" "CHRNA10" "IDH1"
"260" "PLEKHH2" "IDH1"
"261" "MAP3K8" "IDH1"
"262" "RAP2A" "IDH1"
"263" "WNK1" "IDH1"
"264" "PTPN21" "IDH1"
"265" "INA" "IDH1"
"266" "ANKMY2" "IDH1"
"267" "ZNF165" "IDH1"
"268" "HEY2" "IDH1"
"269" "OTUD5" "IDH1"
"270" "CFP" "IDH1"
"271" "THAP6" "IDH1"
