"Entrez" "group"
"1" "KRTAP13-5P" "Responder"
"2" "ZSWIM8-AS1" "Responder"
"3" "RNU1-125P" "Responder"
"4" "RNU1-49P" "Responder"
"5" "RNU6-321P" "Responder"
"6" "RNU6-1175P" "Responder"
"7" "RNU6-1129P" "Responder"
"8" "RPL18AP17" "Responder"
"9" "RNU6-328P" "Responder"
"10" "RNU6-699P" "Responder"
"11" "SHANK2-AS2" "Responder"
"12" "C1QTNF1-AS1" "Responder"
"13" "RNU7-126P" "Responder"
"14" "RNU4-71P" "Responder"
"15" "RNU6-160P" "Responder"
"16" "CEP128" "Responder"
"17" "RNU6-262P" "Responder"
"18" "RNU6-1150P" "Responder"
"19" "KRTAP19-4" "Responder"
"20" "LINC00967" "Responder"
"21" "RNU7-60P" "Responder"
"22" "PEX5L-AS1" "Responder"
"23" "RNU6-406P" "Responder"
"24" "TPRG1-AS2" "Responder"
"25" "RNU6-1194P" "Responder"
"26" "RNU6-668P" "Responder"
"27" "RNU7-127P" "Responder"
"28" "RNU6-364P" "Responder"
"29" "MYRFL" "Responder"
"30" "CECR3" "Responder"
"31" "RNU6-550P" "Responder"
"32" "EGFLAM-AS1" "Responder"
"33" "RNU7-63P" "Responder"
"34" "RNU6-393P" "Responder"
"35" "OCIAD1-AS1" "Responder"
"36" "RNU1-76P" "Responder"
"37" "LACTBL1" "Responder"
"38" "RNU6-899P" "Responder"
"39" "RNU6-755P" "Responder"
"40" "SNORA80B" "Responder"
"41" "MRPL2P1" "Responder"
"42" "RNU6-148P" "Responder"
"43" "RNU6-724P" "Responder"
"44" "RNU2-43P" "Responder"
"45" "TMEM114" "Responder"
"46" "GUF1" "Responder"
"47" "OR5BN1P" "Responder"
"48" "MS4A4A" "Responder"
"49" "GMNC" "Responder"
"50" "KIAA1586" "Responder"
"51" "PHF7" "Responder"
"52" "RIMKLB" "Responder"
"53" "ANKIB1" "Responder"
"54" "LCN10" "Responder"
"55" "NINJ1" "Responder"
"56" "CCDC86" "Responder"
"57" "EGFL8" "Responder"
"58" "KRTAP8-1" "Responder"
"59" "LRRC40" "Responder"
"60" "TMTC3" "Responder"
"61" "MEX3B" "Responder"
"62" "TMEM87B" "Responder"
"63" "KCNQ5" "Responder"
"64" "CCDC138" "Responder"
"65" "SNX11" "Responder"
"66" "SPATA20" "Responder"
"67" "PPFIBP2" "Responder"
"68" "PM20D2" "Responder"
"69" "SASS6" "Responder"
"70" "TTC7B" "Responder"
"71" "KCNC3" "Responder"
"72" "PRR15" "Responder"
"73" "FAM50A" "Responder"
"74" "TACSTD2" "Responder"
"75" "SLC31A1" "Responder"
"76" "PUS1" "Responder"
"77" "MS4A7" "Responder"
"78" "SNURF" "Responder"
"79" "HSDL2" "Responder"
"80" "OR9G1" "Responder"
"81" "KCTD12" "Responder"
"82" "DEFA6" "Responder"
"83" "VWCE" "Responder"
"84" "AOAH" "Responder"
"85" "CDH24" "Responder"
"86" "MR1" "Responder"
"87" "SUCNR1" "Responder"
"88" "C5AR2" "Responder"
"89" "GABBR2" "Responder"
"90" "CSPP1" "Responder"
"91" "HSPA4L" "Responder"
"92" "TMEM169" "Responder"
"93" "ZIC4" "Responder"
"94" "DUS4L" "Responder"
"95" "C19orf53" "Responder"
"96" "CATSPER1" "Responder"
"97" "C18orf54" "Responder"
"98" "BTN3A3" "Responder"
"99" "VAT1" "Responder"
"100" "PCMT1" "Responder"
"101" "SARS2" "Responder"
"102" "PMP22" "Responder"
"103" "PRDM11" "Responder"
"104" "PMS1" "Responder"
"105" "RHBDD2" "Responder"
"106" "TIGIT" "Responder"
"107" "C17orf80" "Responder"
"108" "CDKAL1" "Responder"
"109" "ST7" "Responder"
"110" "GEN1" "Responder"
"111" "ZNF525" "Responder"
"112" "SLC25A38" "Responder"
"113" "PELI3" "Responder"
"114" "SCRN2" "Responder"
"115" "MAP7" "Responder"
"116" "SHPK" "Responder"
"117" "NUDT10" "Responder"
"118" "MS4A6A" "Responder"
"119" "USP29" "Responder"
"120" "USP4" "Responder"
"121" "SH2D4B" "Responder"
"122" "PPM1M" "Responder"
"123" "LRRC4B" "Responder"
"124" "KIAA0586" "Responder"
"125" "LARP1B" "Responder"
"126" "TNFAIP2" "Responder"
"127" "TARS2" "Responder"
"128" "THYN1" "Responder"
"129" "MTG1" "Responder"
"130" "LY9" "Responder"
"131" "PIBF1" "Responder"
"132" "FPR1" "Responder"
"133" "GREB1L" "Responder"
"134" "MEGF8" "Responder"
"135" "CABLES1" "Responder"
"136" "PLEKHA4" "Responder"
"137" "MYO7A" "Responder"
"138" "SCGB1D1" "Responder"
"139" "AMN1" "Responder"
"140" "PLEKHA2" "Responder"
"141" "TDO2" "Responder"
"142" "HTN1" "Responder"
"143" "DHX33" "Responder"
"144" "SATL1" "Responder"
"145" "ADAMTS3" "Responder"
"146" "BSPRY" "Responder"
"147" "PHF14" "Responder"
"148" "TMEM106A" "Responder"
"149" "CD1D" "Responder"
"150" "LY86" "Responder"
"151" "DNAH2" "Responder"
"152" "CCDC51" "Responder"
"153" "TEX12" "Responder"
"154" "OGFRL1" "Responder"
"155" "TRUB2" "Responder"
"156" "ABCB7" "Responder"
"157" "RANBP3" "Responder"
"158" "PSMG4" "Responder"
"159" "C11orf58" "Responder"
"160" "CD300C" "Responder"
"161" "MT1B" "Responder"
"162" "MYH3" "Responder"
"163" "PCA3" "Responder"
"164" "SIGLEC10" "Responder"
"165" "MX2" "Responder"
"166" "HPS4" "Responder"
"167" "C1orf54" "Responder"
"168" "IGSF6" "Responder"
"169" "CD320" "Responder"
"170" "PKIB" "Responder"
"171" "MS4A14" "Responder"
"172" "OAF" "Responder"
"173" "LFNG" "Responder"
"174" "C16orf92" "Responder"
"175" "USP3" "Responder"
"176" "NPEPL1" "Responder"
"177" "STK33" "Responder"
"178" "DHRS7B" "Responder"
"179" "CXCL12" "Responder"
"180" "DTWD1" "Responder"
"181" "UBXN11" "Responder"
"182" "PID1" "Responder"
"183" "LCE3C" "Responder"
"184" "IFT122" "Responder"
"185" "GTF2A1L" "Responder"
"186" "PHACTR2" "Responder"
"187" "SHKBP1" "Responder"
"188" "PRELID1" "Responder"
"189" "CATSPERB" "Responder"
"190" "ANGEL1" "Responder"
"191" "ODF2L" "Responder"
"192" "RNF13" "Responder"
"193" "SPATA16" "Responder"
"194" "ADAM19" "Responder"
"195" "PHF8" "Responder"
"196" "TECTA" "Responder"
"197" "GDPD4" "Responder"
"198" "PAICS" "Responder"
"199" "PRSS27" "Responder"
"200" "RNASET2" "Responder"
"201" "FAM98C" "Responder"
"202" "GALE" "Responder"
"203" "PPM1H" "Responder"
"204" "VSIG2" "Responder"
"205" "NPL" "Responder"
"206" "STOX2" "Responder"
"207" "HYI" "Responder"
"208" "PPT2" "Responder"
"209" "SMC6" "Responder"
